date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,198153600032.0,1.3528,,,,,0.0430,1.6037,,,,,1.6037,,,,,5.3696,,,,,5.7315,,,,
2026-07-02,198028818168.0,1.3520,,,,,0.0430,1.6027,,,,,1.6027,,,,,5.3662,,,,,5.7278,,,,
2026-07-01,203955956708.0,1.3924,,,,,0.0418,1.6507,,,,,1.6507,,,,,5.5268,,,,,5.8993,,,,
2026-06-30,186112150156.0,1.2706,,,,,0.0458,1.5063,,,,,1.5063,,,,,5.0433,,,,,5.3832,,,,
2026-06-29,188701373834.0,1.2883,,,,,0.0451,1.5272,,,,,1.5272,,,,,5.1134,,,,,5.4581,,,,
2026-06-26,185924977360.0,1.2693,,,,,0.0458,1.5048,,,,,1.5048,,,,,5.0382,,,,,5.3778,,,,
2026-06-25,197904036304.0,1.3511,,,,,0.0430,1.6017,,,,,1.6017,,,,,5.3628,,,,,5.7242,,,,
2026-06-24,192943957210.0,1.3172,,,,,0.0441,1.5616,,,,,1.5616,,,,,5.2284,,,,,5.5808,,,,
2026-06-23,194410144112.0,1.3272,,,,,0.0438,1.5734,,,,,1.5734,,,,,5.2681,,,,,5.6232,,,,
2026-06-22,197498495246.0,1.3483,,,,,0.0431,1.5984,,,,,1.5984,,,,,5.3518,,,,,5.7125,,,,
2026-06-18,179529906830.0,1.2257,,,,,0.0474,1.4530,,,,,1.4530,,,,,4.8649,,,,,5.1928,,,,
2026-06-17,192632002550.0,1.3151,,,,,0.0442,1.5591,,,,,1.5591,,,,,5.2200,,,,,5.5717,,,,
2026-06-16,193349498268.0,1.3200,,,,,0.0440,1.5649,,,,,1.5649,,,,,5.2394,,,,,5.5925,,,,
2026-06-15,197155345120.0,1.3460,,,,,0.0432,1.5957,,,,,1.5957,,,,,5.3425,,,,,5.7026,,,,
2026-06-12,191727334036.0,1.3089,,,,,0.0444,1.5517,,,,,1.5517,,,,,5.1954,,,,,5.5456,,,,
2026-06-11,184739549652.0,1.2612,,,,,0.0461,1.4952,,,,,1.4952,,,,,5.0061,,,,,5.3435,,,,
2026-06-10,181027289198.0,1.2359,,,,,0.0470,1.4651,,,,,1.4651,,,,,4.9055,,,,,5.2361,,,,
2026-06-09,174289068542.0,1.1899,,,,,0.0489,1.4106,,,,,1.4106,,,,,4.7229,,,,,5.0412,,,,
2026-06-08,172916468038.0,1.1805,,,,,0.0493,1.3995,,,,,1.3995,,,,,4.6857,,,,,5.0015,,,,
