date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2026-03-31,36311000000,0.0811,112100000000,3.079
2025-12-31,110916000000,0.1519,109443000000,3.0565
2025-09-30,90174000000,0.0156,96523000000,2.5429
2025-06-30,58719000000,-0.0391,93137000000,3.1354
2025-03-31,33588000000,-0.1081,91398000000,3.3938
2024-12-31,96290000000,0.0518,95201000000,3.6706
2024-09-30,88788000000,0.1153,99204000000,5.073
2024-06-30,61107000000,-0.0672,85250000000,8.8735
2024-03-31,37658000000,-0.015,88969000000,13.4955
2023-12-31,91548000000,0.0242,89487000000,10.5034
2023-09-30,79611000000,0.1016,93025000000,6.6784
2023-06-30,65508000000,0.1534,96041000000,6.6787
2023-03-31,38233000000,0.0796,90086000000,5.9399
2022-12-31,89385000000,0.2103,87598000000,9.0968
2022-09-30,74309000000,0.2857,87240000000,11.0388
2022-06-30,57271000000,0.3614,85664000000,9.2844
2022-03-31,36149000000,0.3881,80308000000,8.4043
2021-12-31,73853000000,0.0993,70602000000,4.9397
2021-09-30,57798000000,0.0393,66377000000,4.5796
2021-06-30,42068000000,-0.016,63507000000,3.9996
2021-03-31,26043000000,-0.0925,61595000000,4.0411
2020-12-31,67179000000,0.5956,64145000000,4.6988
2020-09-30,55610000000,0.9798,65896000000,5.4982
2020-06-30,42750000000,1.4376,62820000000,5.5027
2020-03-31,28697000000,1.9316,56016000000,3.8546
2019-12-31,42102000000,2.058,37101000000,2.8916
2019-09-30,28088000000,1.6221,25058000000,2.3551
2019-06-30,17538000000,3.2414,21209000000,2.1447
2019-03-31,9789000000,21.0184,17313000000,2.77
2018-12-31,13768000000,0.7505,5964000000,1.7377
2018-09-30,10712000000,1.4716,7964000000,1.7706
2018-06-30,4135000000,1.9829,9872000000,2.0394
2018-03-31,-489000000,0.9002,7268000000,1.9938
2017-12-31,7865000000,0.073,4280000000,1.4608
2017-09-30,4334000000,-0.5586,-694000000,0.3549
2017-06-30,-4207000000,-1.4757,-7321000000,-1.1804
2017-03-31,-4900000000,-2.0155,-4114000000,-0.5004
2016-12-31,7330000000,-0.016,5401000000,1.4829
2016-09-30,9819000000,0.7062,8960000000,2.4269
