公司,日期,PE-TTM,PE分位,PB,PB分位,PS-TTM,PS分位,股息率
新华保险,2026-04-21,5.4956,0.0161,1.7876,0.4584,1.2641,0.7766,0.0427
三美股份,2026-04-21,21.2076,0.2341,5.038,0.9596,7.0649,0.9128,0.0122
蜜雪集团,2026-03-16,23.6555,0.051,5.7335,0.0392,4.2749,0.051,0.0
中国中车,2026-04-21,13.2597,0.0546,1.0154,0.0964,0.6401,0.0083,0.0378
贵州茅台,2026-04-21,21.4798,0.1068,7.2279,0.1472,10.2771,0.1142,0.0368
美的集团,2026-04-21,13.7548,0.4196,2.7079,0.1999,1.3183,0.5059,0.0542
立讯精密,2026-04-21,28.859,0.3827,5.6764,0.5134,1.4414,0.3814,0.0046
三花智控,2026-04-21,47.757,0.7726,6.1114,0.5854,6.2567,0.8706,0.0087
比亚迪,2026-04-21,28.3782,0.2589,4.0681,0.4312,1.1514,0.2469,0.0035
五粮液,2026-04-21,13.8125,0.0041,2.9643,0.0511,4.7776,0.0091,0.0568
招商银行,2026-04-21,6.6954,0.2168,0.9398,0.1261,2.979,0.4378,0.0506
伊利股份,2026-04-21,20.1831,0.2552,3.0348,0.02,1.3783,0.082,0.0665
中际旭创,2026-04-21,64.2832,0.6266,27.0031,0.9974,18.8195,0.8122,0.0016
恒瑞医药,2026-04-21,47.9862,0.1488,6.039,0.0326,11.6987,0.3207,0.0036
宁德时代,2026-04-21,25.867,0.3227,5.7182,0.5016,4.3639,0.4491,0.0178
