公司,营业收入,净利润,经营现金流,自由现金流
新华保险,157745000000,36284000000,110916000000,109443000000
三美股份,4429051151,1590955092,1560924441.0,663312858.0
蜜雪集团,,,,
中国中车,273063098000,13181015000,24185716000.0,15709832000.0
贵州茅台,168838102515,82320067102,61522204989,58394766023
美的集团,456451731000,43945411000,53345930000.0,42679565000.0
立讯精密,332344443143,16599769786,17325329534.0,-324921015.0
三花智控,31011744510,4062891412,5090762718,1978602954
比亚迪,803964958000,32619022000,59135544000,-95574651000
五粮液,60945321084,21511276550,28247488417,29890128971
招商银行,337532000000,150181000000,451457000000,436390000000
伊利股份,90340548118,10426102617,9399863343,14168279416
中际旭创,19496398084,5734501527,3367573677,7827738011
恒瑞医药,31629416194,7711054812,11235378131,8292383631
宁德时代,129131041000,20737710000,33680852000,89808505000.0
