日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-03,=69.1800,=69.1800,=69.1800,=69.1800,=216566027086.68,=216566027087.0,=125943505872.78,,=16.4528,,,,
2026-07-02,=68.6000,=68.6000,=68.6000,=68.6000,=214750353543.6,=214750353544.0,=124887604840.6,,=16.3149,,,,
2026-07-01,=68.2900,=68.2900,=68.2900,=68.2900,=213779907339.54,=213779907340.0,=124323243944.09,,=16.2412,,,,
2026-06-30,=68.4100,=68.4100,=68.4100,=68.4100,=214155563934.66,=214155563935.0,=124541706226.61,,=16.2697,,,,
2026-06-29,=71.9300,=71.9300,=71.9300,=71.9300,=225174824058.18,=225174824058.0,=130949933180.53,,=17.1069,,,,
2026-06-26,=71.7900,=71.7900,=71.7900,=71.7900,=224736558030.54,=224736558031.0,=130695060517.59,,=17.0736,,,,
2026-06-25,=73.6100,=73.6100,=73.6100,=73.6100,=230434016389.86,=230434016390.0,=134008405135.81,,=17.5064,,,,
2026-06-24,=74.7000,=74.7000,=74.7000,=74.7000,=233846230462.2,=233846230462.0,=135992770868.7,,=17.7656,,,,
2026-06-23,=72.8000,=72.8000,=72.8000,=72.8000,=227898334372.8,=227898334373.0,=132533784728.8,,=17.3138,,,,
2026-06-22,=74.3000,=74.3000,=74.3000,=74.3000,=232594041811.8,=232594041812.0,=135264563260.3,,=17.6705,,,,
2026-06-18,=69.0500,=69.0500,=69.0500,=69.0500,=216159065775.3,=216159065775.0,=125706838400.05,,=16.4219,,,,
2026-06-17,=70.7900,=70.7900,=70.7900,=70.7900,=221606086404.54,=221606086405.0,=128874541496.59,,=16.8357,,,,
2026-06-16,=70.0700,=70.0700,=70.0700,=70.0700,=219352146833.82,=219352146834.0,=127563767801.47,,=16.6645,,,,
2026-06-15,=73.5000,=73.5000,=73.5000,=73.5000,=230089664511.0,=230089664511.0,=133808148043.5,,=17.4802,,,,
2026-06-12,=71.6700,=71.6700,=71.6700,=71.6700,=224360901435.42,=224360901435.0,=130476598235.07,,=17.0450,,,,
2026-06-11,=67.1500,=67.1500,=67.1500,=67.1500,=210211169685.9,=210211169686.0,=122247852260.15,,=15.9700,,,,
2026-06-10,=67.9000,=67.9000,=67.9000,=67.9000,=212559023405.4,=212559023405.0,=123613241525.9,,=16.1484,,,,
2026-06-09,=69.2500,=69.2500,=69.2500,=69.2500,=216785160100.5,=216785160101.0,=126070942204.25,,=16.4695,,,,
2026-06-08,=69.7500,=69.7500,=69.7500,=69.7500,=218350395913.5,=218350395914.0,=126981201714.75,,=16.5884,,,,
2026-06-05,=72.4600,=72.4600,=72.4600,=72.4600,=226833974019.96,=226833974020.0,=131914808261.66,,=17.2329,,,,
2026-06-04,=72.1700,=72.1700,=72.1700,=72.1700,=225926137248.42,=225926137248.0,=131386857745.57,,=17.1639,,,,
2026-06-03,=74.1700,=74.1700,=74.1700,=74.1700,=232187080500.42,=232187080500.0,=135027895787.57,,=17.6396,,,,
