date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,888904145534.55,6.6944,,,,,0.9010,,,,,0.9372,,,,,0.0550,6.4682,,,,,0.8579,,,,
2026-07-02,885825846395.4,6.6712,,,,,0.8978,,,,,0.9339,,,,,0.0552,6.4458,,,,,0.8550,,,,
2026-07-01,896871508012.35,6.7544,,,,,0.9090,,,,,0.9456,,,,,0.0545,6.5262,,,,,0.8656,,,,
2026-06-30,864458828841.3,6.5103,,,,,0.8762,,,,,0.9114,,,,,0.0566,6.2904,,,,,0.8343,,,,
2026-06-29,880031400957.0,6.6275,,,,,0.8920,,,,,0.9278,,,,,0.0556,6.4037,,,,,0.8494,,,,
2026-06-26,855223931423.85,6.4407,,,,,0.8668,,,,,0.9017,,,,,0.0572,6.2232,,,,,0.8254,,,,
2026-06-25,892706750353.5,6.7230,,,,,0.9048,,,,,0.9412,,,,,0.0548,6.4959,,,,,0.8616,,,,
2026-06-24,889447374794.3999,6.6985,,,,,0.9015,,,,,0.9377,,,,,0.0550,6.4722,,,,,0.8584,,,,
2026-06-23,912625156548.0,6.8730,,,,,0.9250,,,,,0.9622,,,,,0.0536,6.6408,,,,,0.8808,,,,
2026-06-22,941235230900.1,7.0885,,,,,0.9540,,,,,0.9923,,,,,0.0519,6.8490,,,,,0.9084,,,,
2026-06-18,894155361713.1001,6.7339,,,,,0.9063,,,,,0.9427,,,,,0.0547,6.5064,,,,,0.8630,,,,
2026-06-17,955359191656.2,7.1948,,,,,0.9683,,,,,1.0072,,,,,0.0512,6.9518,,,,,0.9221,,,,
2026-06-16,959523949315.05,7.2262,,,,,0.9725,,,,,1.0116,,,,,0.0510,6.9821,,,,,0.9261,,,,
2026-06-15,981977425388.85,7.3953,,,,,0.9953,,,,,1.0353,,,,,0.0498,7.1455,,,,,0.9478,,,,
2026-06-12,977993744149.95,7.3653,,,,,0.9913,,,,,1.0311,,,,,0.0500,7.1165,,,,,0.9439,,,,
2026-06-11,953186274616.8,7.1785,,,,,0.9661,,,,,1.0049,,,,,0.0513,6.9360,,,,,0.9200,,,,
2026-06-10,963688706973.9,7.2576,,,,,0.9768,,,,,1.0160,,,,,0.0507,7.0124,,,,,0.9301,,,,
2026-06-09,976545132790.35,7.3544,,,,,0.9590,,,,,0.9963,,,,,0.0501,7.1060,,,,,0.9425,,,,
2026-06-08,966585929693.1,7.2794,,,,,0.9492,,,,,0.9861,,,,,0.0506,7.0335,,,,,0.9329,,,,
