date,内含价值(EV),新业务价值(NBV)
2026-03-31,,15574000000.0
2025-12-31,1504288000000.0,36897000000.0
2025-09-30,,35724000000.0
2025-06-30,1501349000000.0,22335000000.0
2025-03-31,,12891000000.0
2024-12-31,1422602000000.0,28534000000.0
2024-09-30,,35160000000.0
2024-06-30,1476108000000.0,22320000000.0
2024-03-31,,12890000000.0
2023-12-31,1390126000000.0,31080000000.0
2023-09-30,,33574000000.0
2023-06-30,1492923000000.0,25960000000.0
2023-03-31,,13702000000.0
2022-12-31,1423763000000.0,28820000000.0
2022-09-30,,25848000000.0
2022-06-30,1441261000000.0,19573000000.0
2022-03-31,,12589000000.0
2021-12-31,1395509000000.0,37898000000.0
2021-09-30,,35237000000.0
2021-06-30,1377953000000.0,27387000000.0
2021-03-31,,18980000000.0
2020-12-31,1328112000000.0,49575000000.0
2020-09-30,,42844000000.0
2020-06-30,1257092000000.0,31031000000.0
2020-03-31,,16453000000.0
2019-12-31,1200533000000.0,75945000000.0
2019-09-30,,58805000000.0
2019-06-30,1113181000000.0,41052000000.0
2019-03-31,,21642000000.0
2018-12-31,1002456000000.0,72294000000.0
2018-09-30,,55425000000.0
2018-06-30,927376000000.0,38757000000.0
2018-03-31,,19897000000.0
2017-12-31,825173000000.0,67357000000.0
2017-09-30,,53738000000.0
2017-06-30,739144000000.0,38551000000.0
2017-03-31,,21264000000.0
2016-12-31,637703000000.0,50805000000.0
2016-09-30,,35348000000.0
