date,市值(元),股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,888904145534.55,0.0550,6.6944,,,,,0.8579,,,,,6.4682,,,,,0.9372,,,,,0.9010,,,,
2026-07-02,885825846395.4,0.0552,6.6712,,,,,0.8550,,,,,6.4458,,,,,0.9339,,,,,0.8978,,,,
2026-07-01,896871508012.35,0.0545,6.7544,,,,,0.8656,,,,,6.5262,,,,,0.9456,,,,,0.9090,,,,
2026-06-30,864458828841.3,0.0566,6.5103,,,,,0.8343,,,,,6.2904,,,,,0.9114,,,,,0.8762,,,,
2026-06-29,880031400957.0,0.0556,6.6275,,,,,0.8494,,,,,6.4037,,,,,0.9278,,,,,0.8920,,,,
2026-06-26,855223931423.85,0.0572,6.4407,,,,,0.8254,,,,,6.2232,,,,,0.9017,,,,,0.8668,,,,
2026-06-25,892706750353.5,0.0548,6.7230,,,,,0.8616,,,,,6.4959,,,,,0.9412,,,,,0.9048,,,,
2026-06-24,889447374794.3999,0.0550,6.6985,,,,,0.8584,,,,,6.4722,,,,,0.9377,,,,,0.9015,,,,
2026-06-23,912625156548.0,0.0536,6.8730,,,,,0.8808,,,,,6.6408,,,,,0.9622,,,,,0.9250,,,,
2026-06-22,941235230900.1,0.0519,7.0885,,,,,0.9084,,,,,6.8490,,,,,0.9923,,,,,0.9540,,,,
2026-06-18,894155361713.1001,0.0547,6.7339,,,,,0.8630,,,,,6.5064,,,,,0.9427,,,,,0.9063,,,,
2026-06-17,955359191656.2,0.0512,7.1948,,,,,0.9221,,,,,6.9518,,,,,1.0072,,,,,0.9683,,,,
2026-06-16,959523949315.05,0.0510,7.2262,,,,,0.9261,,,,,6.9821,,,,,1.0116,,,,,0.9725,,,,
2026-06-15,981977425388.85,0.0498,7.3953,,,,,0.9478,,,,,7.1455,,,,,1.0353,,,,,0.9953,,,,
2026-06-12,977993744149.95,0.0500,7.3653,,,,,0.9439,,,,,7.1165,,,,,1.0311,,,,,0.9913,,,,
2026-06-11,953186274616.8,0.0513,7.1785,,,,,0.9200,,,,,6.9360,,,,,1.0049,,,,,0.9661,,,,
2026-06-10,963688706973.9,0.0507,7.2576,,,,,0.9301,,,,,7.0124,,,,,1.0160,,,,,0.9768,,,,
2026-06-09,976545132790.35,0.0501,7.3544,,,,,0.9425,,,,,7.1060,,,,,0.9963,,,,,0.9590,,,,
2026-06-08,966585929693.1,0.0506,7.2794,,,,,0.9329,,,,,7.0335,,,,,0.9861,,,,,0.9492,,,,
2026-06-05,968396693892.6,0.0505,7.2930,,,,,0.9346,,,,,7.0467,,,,,0.9880,,,,,0.9510,,,,
2026-06-04,963869783393.85,0.0507,7.2589,,,,,0.9303,,,,,7.0137,,,,,0.9833,,,,,0.9465,,,,
2026-06-03,972380375131.5,0.0503,7.3230,,,,,0.9385,,,,,7.0757,,,,,0.9920,,,,,0.9549,,,,
2026-06-02,979261279089.6,0.0499,7.3748,,,,,0.9451,,,,,7.1257,,,,,0.9990,,,,,0.9617,,,,
2026-06-01,975096521430.75,0.0501,7.3435,,,,,0.9411,,,,,7.0954,,,,,0.9948,,,,,0.9576,,,,
2026-05-29,968758846732.5,0.0505,7.2957,,,,,0.9350,,,,,7.0493,,,,,0.9883,,,,,0.9513,,,,
2026-05-28,950107975477.65,0.0515,7.1553,,,,,0.9170,,,,,6.9136,,,,,0.9693,,,,,0.9330,,,,
2026-05-27,964594089073.65,0.0507,7.2644,,,,,0.9310,,,,,7.0190,,,,,0.9841,,,,,0.9472,,,,
2026-05-26,982701731068.65,0.0498,7.4008,,,,,0.9485,,,,,7.1508,,,,,1.0026,,,,,0.9650,,,,
2026-05-25,981796348968.9,0.0498,7.3939,,,,,0.9476,,,,,7.1442,,,,,1.0016,,,,,0.9641,,,,
2026-05-22,972018222291.6,0.0503,7.3203,,,,,0.9381,,,,,7.0730,,,,,0.9917,,,,,0.9545,,,,
2026-05-21,973466833651.2,0.0502,7.3312,,,,,0.9395,,,,,7.0836,,,,,0.9931,,,,,0.9560,,,,
2026-05-20,979804508349.45,0.0499,7.3789,,,,,0.9457,,,,,7.1297,,,,,0.9996,,,,,0.9622,,,,
2026-05-19,986504335887.6,0.0496,7.4294,,,,,0.9521,,,,,7.1784,,,,,1.0064,,,,,0.9688,,,,
2026-05-18,993928469105.55,0.0492,7.4853,,,,,0.9593,,,,,7.2325,,,,,1.0140,,,,,0.9761,,,,
2026-05-15,1004974130722.5,0.0486,7.5685,,,,,0.9699,,,,,7.3128,,,,,1.0253,,,,,0.9869,,,,
2026-05-14,1030324829515.5,0.0475,7.7594,,,,,0.9944,,,,,7.4973,,,,,1.0511,,,,,1.0118,,,,
2026-05-13,1050967541389.8,0.0465,7.9149,,,,,1.0143,,,,,7.6475,,,,,1.0722,,,,,1.0321,,,,
2026-05-12,1075593934503.0,0.0455,8.1003,,,,,1.0381,,,,,7.8267,,,,,1.0973,,,,,1.0563,,,,
2026-05-11,1088269283899.5,0.0449,8.1958,,,,,1.0503,,,,,7.9189,,,,,1.1103,,,,,1.0687,,,,
2026-05-08,1087544978219.7,0.0450,8.1903,,,,,1.0496,,,,,7.9137,,,,,1.1095,,,,,1.0680,,,,
2026-05-07,1087182825379.8,0.0450,8.1876,,,,,1.0493,,,,,7.9110,,,,,1.1091,,,,,1.0676,,,,
2026-05-06,1074869628823.2,0.0455,8.0949,,,,,1.0374,,,,,7.8214,,,,,1.0966,,,,,1.0555,,,,
2026-04-30,1075050705243.15,0.0455,8.0962,,,,,1.0376,,,,,7.8228,,,,,1.0968,,,,,1.0557,,,,
2026-04-29,1076137163762.85,0.0454,8.1044,,,,,1.0386,,,,,7.8307,,,,,1.0979,,,,,1.0568,,,,
2026-04-28,1043543408171.85,0.0469,7.7427,,,,,0.9934,,,,,7.2583,,,,,1.0844,,,,,1.0431,,,,
2026-04-27,1042094796812.25,0.0469,7.7319,,,,,0.9920,,,,,7.2482,,,,,1.0829,,,,,1.0417,,,,
2026-04-24,1046259554471.1,0.0467,7.7628,,,,,0.9960,,,,,7.2772,,,,,1.0873,,,,,1.0458,,,,
2026-04-23,1048070318670.6,0.0466,7.7763,,,,,0.9977,,,,,7.2898,,,,,1.0891,,,,,1.0476,,,,
2026-04-22,1050786464969.85,0.0465,7.7964,,,,,1.0003,,,,,7.3086,,,,,1.0920,,,,,1.0503,,,,
2026-04-21,1050786464969.85,0.0465,7.7964,,,,,1.0003,,,,,7.3086,,,,,1.0920,,,,,1.0503,,,,
2026-04-20,1060021362387.3,0.0461,7.8649,,,,,1.0091,,,,,7.3729,,,,,1.1016,,,,,1.0596,,,,
2026-04-17,1048794624350.4,0.0466,7.7816,,,,,0.9984,,,,,7.2948,,,,,1.0899,,,,,1.0484,,,,
2026-04-16,1059659209547.4,0.0461,7.8623,,,,,1.0087,,,,,7.3704,,,,,1.1012,,,,,1.0592,,,,
2026-04-15,1062918585106.5,0.0460,7.8864,,,,,1.0118,,,,,7.3930,,,,,1.1046,,,,,1.0625,,,,
2026-04-14,1067807648445.15,0.0458,7.9227,,,,,1.0165,,,,,7.4270,,,,,1.1097,,,,,1.0674,,,,
