date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.303,0.371,2781171173,20715444491
2025-12-31,1.546,0.192,14195371894,92507796070
2025-09-30,1.014,0.1549,9319124728,65757782457
2025-06-30,0.615,0.141,5657349799,41818040088
2025-03-31,0.221,0.0676,2038683389,18531863691
2024-12-31,1.297,-0.1467,11977327024,92495525118
2024-09-30,0.878,-0.0748,8107748494,64991467788
2024-06-30,0.539,-0.0511,5064118857,41209096206
2024-03-31,0.208,0.0612,1915903200,17817550424
2023-12-31,1.52,0.1095,14107621360,89339856856
2023-09-30,0.949,0.0117,8851167117,61275164194
2023-06-30,0.568,-0.0658,5337868017,37570786398
2023-03-31,0.196,-0.2065,1811255388,16201189413
2022-12-31,1.37,-0.2431,12837342061,83166321681
2022-09-30,0.938,-0.2044,8840255887,59721536892
2022-06-30,0.608,-0.1252,5759254775,37257516591
2022-03-31,0.247,0.0511,2284174956,16521549351
2021-12-31,1.81,0.2526,16800411032,81420053539
2021-09-30,1.179,0.297,10965641158,55629267491
2021-06-30,0.695,0.4097,6481424653,33902098368
2021-03-31,0.235,0.4417,2169440312,13988385532
2020-12-31,1.445,0.0759,13385526714,63503450892
2020-09-30,0.909,0.057,8438951477,42021194890
2020-06-30,0.493,0.1104,4623972831,24271159244
2020-03-31,0.163,-0.0298,1496269608,9428902974
2019-12-31,1.343,0.0831,12414587690,57658110065
2019-09-30,0.86,0.067,8027334165,39838916229
2019-06-30,0.444,-0.0111,4216755210,23923273425
2019-03-31,0.168,-0.1558,1536118223,9942448619
2018-12-31,1.24,0.2039,11352869241,49837132482
2018-09-30,0.806,0.2012,7395803151,33802691201
2018-06-30,0.449,0.2577,4147395536,20875758225
2018-03-31,0.199,0.2209,1815964570,9364828201
2017-12-31,1.03,0.2592,9410855085,41905476572
2017-09-30,0.671,0.2472,6152814187,27729742158
2017-06-30,0.357,0.2353,3291546057,16447539737
2017-03-31,0.245,0.2895,1480816885,7043724102
2016-12-31,1.227,0.2559,7422261983,31924020872
2016-09-30,0.81,0.2857,4849957525,21136468969
