date,毛利率(GM),资本回报率(ROIC),净资产收益率(ROE),净利润率,总资产收益率(ROA)
2026-03-31,0.4677,0.1689,0.1797,0.1739,0.1261
2025-12-31,0.4588,0.1612,0.1727,0.1668,0.1143
2025-09-30,0.4427,0.1595,0.1713,0.1553,0.1141
2025-06-30,0.439,0.149,0.1663,0.148,0.1093
2025-03-31,0.4368,0.136,0.1516,0.1411,0.1019
2024-12-31,0.4383,0.1393,0.1549,0.1421,0.097
2024-09-30,0.4439,0.1614,0.1821,0.1565,0.1158
2024-06-30,0.4441,0.1694,0.197,0.1618,0.1219
2024-03-31,0.4457,0.1665,0.1929,0.1696,0.1237
2023-12-31,0.4444,0.1692,0.1954,0.1696,0.1174
2023-09-30,0.441,0.1619,0.1891,0.1615,0.1151
2023-06-30,0.4321,0.1662,0.1921,0.1578,0.1177
2023-03-31,0.4257,0.1602,0.1826,0.158,0.1181
2022-12-31,0.4229,0.1748,0.196,0.163,0.1215
2022-09-30,0.4164,0.2117,0.2425,0.1799,0.149
2022-06-30,0.4302,0.248,0.2837,0.1981,0.1749
2022-03-31,0.4379,0.2465,0.28,0.2084,0.1833
2021-12-31,0.4433,0.2576,0.2922,0.2151,0.1819
2021-09-30,0.4574,0.2664,0.3091,0.2152,0.1892
2021-06-30,0.4535,0.2762,0.323,0.2169,0.1995
2021-03-31,0.4647,0.242,0.2802,0.2139,0.1826
2020-12-31,0.4653,0.2374,0.2737,0.2154,0.1667
2020-09-30,0.469,0.2451,0.2898,0.2164,0.1756
2020-06-30,0.4743,0.2623,0.318,0.2225,0.1894
2020-03-31,0.4642,0.2457,0.2888,0.2188,0.1871
2019-12-31,0.4599,0.2583,0.2988,0.2162,0.1796
2019-09-30,0.4595,0.2749,0.3252,0.2171,0.1968
2019-06-30,0.4566,,0.3424,0.2174,0.2011
2019-03-31,0.4481,,0.3087,0.2205,0.2008
2018-12-31,0.4485,0.2848,0.332,0.2284,0.1978
2018-09-30,0.4453,,0.3491,0.221,0.2137
2018-06-30,0.4468,,0.3749,0.2203,0.223
2018-03-31,0.4442,,0.3312,0.2189,0.2085
2017-12-31,0.44,,0.3404,0.2238,0.2019
2017-09-30,0.4347,,0.3562,0.2257,0.2152
2017-06-30,0.4262,,0.3726,0.2257,0.2201
2017-03-31,0.4179,,0.334,0.2298,0.2103
2016-12-31,0.4158,,0.3389,0.2324,0.2071
2016-09-30,0.4025,,0.3584,0.2337,0.2243
