date,metric,value
2026-03-31,毛利率(GM),0.4677
2026-03-31,所有者权益合计,94370094773
2026-03-31,流动资产合计,927951274
2026-03-31,有息负债率,0.0492
2026-03-31,经营活动产生的现金流量净额,-2220444411
2026-03-31,自由现金流量,21541691609
2026-03-31,净资产收益率(ROE),0.1797
2026-03-31,资产合计,135311587227
2026-03-31,总资产收益率(ROA),0.1261
2026-03-31,长期负债合计,1205600074
2026-03-31,流动比率,2.7214
2026-03-31,应收账款,27395097013
2026-03-31,负债合计,40941492453
2026-03-31,资产负债率,0.3026
2026-03-31,资本回报率(ROIC),0.1689
2026-03-31,净利润率,0.1739
2026-03-31,基本每股收益,0.303
2026-03-31,货币资金,278795392551
2026-03-31,营业收入,20715444491
2026-03-31,流动负债合计,4670888035
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.5097
2026-03-31,速动比率,2.0311
2026-03-31,归属于母公司普通股股东的净利润,2781171173
