代码,名称,权重(%),调整因子
019547,21国债02,12.50,1.00
019666,22国债02,11.20,1.00
019735,22国债15,10.80,1.00
019665,22国债01,9.50,1.00
210024,21附息国债24,8.50,1.00
220003,22附息国债03,7.80,1.00
220012,22附息国债12,7.20,1.00
210016,21附息国债16,6.50,1.00
220019,22附息国债19,6.00,1.00
230004,23附息国债04,5.50,1.00
200006,20附息国债06,5.00,1.00
190015,19附息国债15,4.80,1.00
210011,21附息国债11,4.20,1.00
230009,23附息国债09,3.80,1.00
220023,22附息国债23,3.50,1.00
