date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-04-30,5.4440,0.0144,21.9888,11.1908,7.7148,0.0424,1.3715,0.8801,1.2896,0.9402,0.6937,1.6260,0.3964,2.3356,1.8830,1.0325
2026-04-29,5.5110,0.0202,21.9888,11.1927,7.7159,0.0426,1.2676,0.7811,1.2893,0.9402,0.6937,1.7927,0.4650,2.3356,1.8839,1.0325
2026-04-28,5.3572,0.0103,21.9888,11.2014,7.7159,0.0438,1.2322,0.7589,1.2893,0.9398,0.6937,1.7426,0.4427,2.3356,1.8843,1.0325
2026-04-27,5.3460,0.0087,21.9888,11.2041,7.7226,0.0439,1.2297,0.7560,1.2893,0.9397,0.6937,1.7390,0.4390,2.3356,1.8869,1.0325
2026-04-24,5.3658,0.0103,21.9863,11.2080,7.7247,0.0437,1.2342,0.7599,1.2892,0.9391,0.6942,1.7454,0.4428,2.3351,1.8884,1.0329
2026-04-23,5.4036,0.0107,21.9888,11.2200,7.7247,0.0434,1.2429,0.7635,1.2893,0.9390,0.6937,1.7577,0.4442,2.3356,1.8884,1.0325
2026-04-22,5.4758,0.0153,21.9888,11.2321,7.7266,0.0429,1.2595,0.7737,1.2893,0.9389,0.6937,1.7812,0.4559,2.3356,1.8884,1.0325
2026-04-21,5.4956,0.0161,21.9888,11.2580,7.7274,0.0427,1.2641,0.7766,1.2893,0.9389,0.6937,1.7876,0.4584,2.3356,1.8892,1.0325
2026-04-20,5.5437,0.0202,21.9888,11.2644,7.7336,0.0423,1.2751,0.7881,1.2893,0.9387,0.6937,1.8033,0.4695,2.3356,1.8894,1.0325
2026-04-17,5.5257,0.0185,21.9863,11.3146,7.7435,0.0425,1.2710,0.7825,1.2892,0.9385,0.6942,1.7974,0.4654,2.3351,1.8917,1.0329
2026-04-16,5.4930,0.0157,21.9888,11.3182,7.7435,0.0427,1.2635,0.7775,1.2893,0.9383,0.6937,1.7868,0.4578,2.3356,1.8919,1.0325
2026-04-15,5.3013,0.0045,21.9888,11.3217,7.7446,0.0443,1.2194,0.7535,1.2893,0.9382,0.6937,1.7244,0.4299,2.3356,1.8921,1.0325
2026-04-14,5.3443,0.0078,21.9888,11.3217,7.7467,0.0439,1.2293,0.7589,1.2893,0.9377,0.6937,1.7384,0.4378,2.3356,1.8925,1.0325
2026-04-13,5.2712,0.0037,21.9888,11.3223,7.7473,0.0445,1.2125,0.7510,1.2893,0.9375,0.6937,1.7147,0.4258,2.3356,1.8944,1.0325
2026-04-10,5.3563,0.0082,21.9863,11.3288,7.7578,0.0438,1.2320,0.7615,1.2892,0.9368,0.6942,1.7423,0.4403,2.3351,1.8962,1.0329
2026-04-09,5.2566,0.0029,21.9888,11.3351,7.7578,0.0447,1.2091,0.7499,1.2893,0.9366,0.6937,1.7099,0.4248,2.3356,1.8965,1.0325
