date,总资产收益率(ROA),净利润率,净资产收益率(ROE),毛利率(GM)
2025-12-31,0.0202,0.23,0.3492,
2025-09-30,0.0219,0.2359,0.4009,
2025-06-30,0.0183,0.2037,0.3453,
2025-03-31,0.0171,0.1948,0.3125,
2024-12-31,0.0169,0.1979,0.2606,
2024-09-30,0.0131,0.1702,0.1991,
2024-06-30,0.007,0.1256,0.0971,
2024-03-31,0.005,0.0977,0.0625,
2023-12-31,0.0066,0.1218,0.0838,
2023-09-30,0.0111,0.135,0.1361,
2023-06-30,0.0117,0.1056,0.1348,
2023-03-31,0.0127,0.0915,0.1378,
2022-12-31,0.0082,0.0458,0.093,
2022-09-30,0.0073,0.0391,0.0799,
2022-06-30,0.0087,0.0446,0.0909,
2022-03-31,0.0093,0.0463,0.0971,
2021-12-31,0.014,0.0672,0.1423,
2021-09-30,0.0151,0.0686,0.1525,
2021-06-30,0.017,0.0756,0.1682,
2021-03-31,0.0165,0.0727,0.1668,
2020-12-31,0.0152,0.0692,0.1536,
2020-09-30,0.0144,0.0599,0.1458,
2020-06-30,0.014,0.0603,0.1458,
2020-03-31,0.0185,0.0819,0.1968,
2019-12-31,0.0181,0.0834,0.1941,
2019-09-30,0.0168,0.0809,0.1806,
2019-06-30,0.0162,0.0788,0.178,
2019-03-31,0.0117,0.0551,0.1252,
2018-12-31,0.011,0.0514,0.1225,
2018-09-30,0.011,0.0529,0.1235,
2018-06-30,0.0109,0.0527,0.1246,
2018-03-31,0.0086,0.0423,0.0969,
2017-12-31,0.0076,0.0374,0.0877,
2017-09-30,0.0074,0.0361,0.0843,
2017-06-30,0.007,0.0357,0.0811,
2017-03-31,0.007,0.0353,0.0805,
2016-12-31,0.0073,0.0338,0.0845,
2016-09-30,0.0072,0.0334,0.0833,
2016-06-30,0.0077,0.0365,0.0904,
