date,流动比率,资产负债率,新华保险 - 资产负债率,保险(申万) - 资产负债率,有息负债率,速动比率
2025-12-31,,0.9413,0.9413,0.8988,,
2025-09-30,,0.9452,0.9452,0.8977,,
2025-06-30,,0.9531,0.9531,0.9031,,
2025-03-31,,0.9544,0.9544,0.9010,,
2024-12-31,,0.9431,0.9431,0.8998,,
2024-09-30,,0.9454,0.9454,0.8955,,
2024-06-30,,0.9398,0.9398,0.8963,,
2024-03-31,,0.9342,0.9342,0.8960,,
2023-12-31,,0.9251,0.9251,0.8944,,
2023-09-30,,0.9206,0.9206,0.8943,,
2023-06-30,,0.9142,0.9142,0.8920,,
2023-03-31,,0.9052,0.9052,0.8886,,
2022-12-31,,0.918,0.9180,0.8939,,
2022-09-30,,0.9163,0.9163,0.8935,,
2022-06-30,,0.9121,0.9121,0.8911,,
2022-03-31,,0.9109,0.9109,0.8905,,
2021-12-31,,0.9038,0.9038,0.8865,,
2021-09-30,,0.9013,0.9013,0.8873,,
2021-06-30,,0.8958,0.8958,0.8865,,
2021-03-31,,0.8961,0.8961,0.8858,,
2020-12-31,,0.8988,0.8988,0.8850,,
2020-09-30,,0.9001,0.9001,0.8869,,
2020-06-30,,0.9029,0.9029,0.8883,,
2020-03-31,,0.9067,0.9067,0.8844,,
2019-12-31,,0.9039,0.9039,0.8835,,
2019-09-30,,0.9029,0.9029,0.8848,,
2019-06-30,,0.9052,0.9052,0.8864,,
2019-03-31,,0.9046,0.9046,0.8863,,
2018-12-31,,0.9106,0.9106,0.8922,,
2018-09-30,,0.9116,0.9116,0.8986,,
2018-06-30,,0.9129,0.9129,0.8999,,
2018-03-31,,0.9093,0.9093,0.8978,,
2017-12-31,,0.9103,0.9103,0.8992,,
2017-09-30,,0.911,0.9110,0.8991,,
2017-06-30,,0.9125,0.9125,0.9021,,
2017-03-31,,0.9133,0.9133,0.9007,,
2016-12-31,,0.9154,0.9154,0.9015,,
2016-09-30,,0.9133,0.9133,0.8982,,
2016-06-30,,0.9159,0.9159,0.8994,,
