日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-03,=8.8600,=8.8600,=8.8600,=8.8600,=182232498375.64,=167305903922.0,=167305903921.62,,=22.1381,,,,
2026-07-02,=8.8100,=8.8100,=8.8100,=8.8100,=181204098271.94,=166361739678.0,=166361739678.27,,=22.0131,,,,
2026-07-01,=8.8400,=8.8400,=8.8400,=8.8400,=181821138334.16,=166928238224.0,=166928238224.28,,=22.0881,,,,
2026-06-30,=9.0300,=9.0300,=9.0300,=9.0300,=185729058728.22,=170516062349.0,=170516062349.01,,=22.5628,,,,
2026-06-29,=9.0600,=9.0600,=9.0600,=9.0600,=186346098790.44,=171082560895.0,=171082560895.02,,=22.6378,,,,
2026-06-26,=8.9300,=8.9300,=8.9300,=8.9300,=183672258520.82,=168627733862.0,=168627733862.31,,=22.3130,,,,
2026-06-25,=8.9800,=8.9800,=8.9800,=8.9800,=184700658624.52,=169571898106.0,=169571898105.66,,=22.4379,,,,
2026-06-24,=8.8100,=8.8100,=8.8100,=8.8100,=181204098271.94,=166361739678.0,=166361739678.27,,=22.0131,,,,
2026-06-23,=9.0300,=9.0300,=9.0300,=9.0300,=185729058728.22,=170516062349.0,=170516062349.01,,=22.5628,,,,
2026-06-22,=9.0800,=9.0800,=9.0800,=9.0800,=186757458831.92,=171460226592.0,=171460226592.36,,=22.6878,,,,
2026-06-18,=9.1200,=9.1200,=9.1200,=9.1200,=187580178914.88,=172215557987.0,=172215557987.04,,=22.7877,,,,
2026-06-17,=9.3000,=9.3000,=9.3000,=9.3000,=191282419288.2,=175614549263.0,=175614549263.1,,=23.2375,,,,
2026-06-16,=9.2300,=9.2300,=9.2300,=9.2300,=189842659143.02,=174292719322.0,=174292719322.41,,=23.0626,,,,
2026-06-15,=9.2500,=9.2500,=9.2500,=9.2500,=190254019184.5,=174670385020.0,=174670385019.75,,=23.1125,,,,
2026-06-12,=9.2400,=9.2400,=9.2400,=9.2400,=190048339163.76,=174481552171.0,=174481552171.08,,=23.0876,,,,
2026-06-11,=9.1200,=9.1200,=9.1200,=9.1200,=187580178914.88,=172215557987.0,=172215557987.04,,=22.7877,,,,
