date,metric,value
2026-03-31,所有者权益合计,39138221825
2026-03-31,流动负债合计,736081278
2026-03-31,毛利率(GM),0.3769
2026-03-31,资本回报率(ROIC),0.1638
2026-03-31,归属于母公司普通股股东的净利润,1711539612
2026-03-31,净利润率,0.1944
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.1563
2026-03-31,有息负债率,0.2785
2026-03-31,负债合计,34200373794
2026-03-31,速动比率,1.4833
2026-03-31,基本每股收益,0.66
2026-03-31,营业收入,10413026492
2026-03-31,货币资金,148755381324
2026-03-31,长期负债合计,7293169499
2026-03-31,经营活动产生的现金流量净额,357002919
2026-03-31,资产负债率,0.4663
2026-03-31,净资产收益率(ROE),0.2341
2026-03-31,应收账款,6360195689
2026-03-31,流动比率,1.7908
2026-03-31,总资产收益率(ROA),0.1292
2026-03-31,流动资产合计,0
2026-03-31,自由现金流量,4373703598
2026-03-31,资产合计,73338595619
