date,总资产收益率(ROA),毛利率(GM),资本回报率(ROIC),净资产收益率(ROE),净利润率
2026-03-31,0.1292,0.3769,0.1638,0.2341,0.1944
2025-12-31,0.1398,0.3727,0.183,0.2544,0.2035
2025-09-30,0.1377,0.3607,0.1829,0.264,0.2054
2025-06-30,0.14,0.3619,0.1796,0.262,0.208
2025-03-31,0.1297,0.359,0.1635,0.2309,0.202
2024-12-31,0.1252,0.3623,0.161,0.2237,0.1912
2024-09-30,0.1185,0.375,0.1506,0.2201,0.1855
2024-06-30,0.109,0.3686,0.1377,0.2084,0.1726
2024-03-31,0.1077,0.362,0.1355,0.1949,0.1746
2023-12-31,0.1048,0.3539,0.1363,0.1864,0.1698
2023-09-30,0.0924,0.3443,0.1198,0.1703,0.1582
2023-06-30,0.1005,0.3401,0.1279,0.1883,0.1723
2023-03-31,0.0954,0.3343,0.121,0.1685,0.1677
2022-12-31,0.0995,0.3403,0.13,0.1719,0.1691
2022-09-30,0.0926,0.3186,0.1219,0.164,0.1654
2022-06-30,0.0812,0.3285,0.1073,0.1459,0.1505
2022-03-31,0.0728,0.3477,0.0958,0.1272,0.1292
2021-12-31,0.0755,0.359,0.1003,0.1313,0.1332
2021-09-30,0.0822,0.4113,0.1098,0.1483,0.149
2021-06-30,0.0777,0.4137,0.1053,0.1497,0.1459
2021-03-31,0.0733,0.4078,0.0969,0.1349,0.1396
2020-12-31,0.0673,0.3951,0.0906,0.121,0.1305
2020-09-30,0.057,0.3791,0.0806,0.1086,0.1181
2020-06-30,0.0569,0.3669,0.0816,0.1166,0.1244
2020-03-31,0.0678,0.3645,0.0927,0.1292,0.1353
2019-12-31,0.0791,0.3746,0.1077,0.1395,0.1373
2019-09-30,0.0835,0.3867,0.1182,0.154,0.1541
2019-06-30,0.1,0.4039,,0.1924,0.1833
2019-03-31,0.1139,0.4194,,0.2071,0.2033
2018-12-31,0.1241,0.4263,0.16,0.2096,0.2031
2018-09-30,0.1271,0.4267,,0.2203,0.2086
2018-06-30,0.1099,0.4226,,0.1992,0.1808
2018-03-31,0.0946,0.4225,,0.1584,0.1567
2017-12-31,0.1023,0.4276,,0.17,0.1682
2017-09-30,0.1054,0.4292,,0.178,0.1688
2017-06-30,0.1046,0.4296,,0.1831,0.1729
2017-03-31,0.1145,0.431,,0.1819,0.1885
2016-12-31,0.1149,0.4307,,0.1824,0.1891
2016-09-30,0.1122,0.4306,,0.1801,0.1895
