date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.66,-0.1538,1711539612,10413026492
2025-12-31,3.57,0.2439,9312304150,45787435563
2025-09-30,2.71,0.2905,7063854155,33301907930
2025-06-30,1.84,0.3731,4804711711,21447391716
2025-03-31,0.78,0.4717,2029740416,9910012731
2024-12-31,2.87,0.3287,7497976123,39251657267
2024-09-30,2.1,0.3291,5478784237,28313511824
2024-06-30,1.34,0.2294,3498605735,18339730232
2024-03-31,0.53,0.5143,1387825463,8835664711
2023-12-31,2.16,0.1868,5629256054,33160996641
2023-09-30,1.58,0.0604,4125932922,23825860896
2023-06-30,1.09,0.1978,2836242717,15031258928
2023-03-31,0.35,0.0606,914508612,7052428277
2022-12-31,1.82,0.4797,4755595541,28098754166
2022-09-30,1.49,0.4608,3900828613,20440069167
2022-06-30,0.91,0.3,2381898947,12903699060
2022-03-31,0.33,-0.0294,871181319,6547759461
2021-12-31,1.23,0.1827,3146167091,23603063361
2021-09-30,1.02,0.4783,2595768110,17152931389
2021-06-30,0.7,0.8421,1769247466,11543168420
2021-03-31,0.34,0.8889,855254275,5705966779
2020-12-31,1.04,-0.1034,2600776459,19906593468
2020-09-30,0.69,-0.266,1722903942,13776355613
2020-06-30,0.38,-0.3667,963966743,8121267140
2020-03-31,0.18,-0.25,459956420,4170497650
2019-12-31,1.16,-0.2927,2898433273,21103877523
2019-09-30,0.94,-0.2769,2346531432,15633674294
2019-06-30,0.6,-0.1892,1505572431,10287362662
2019-03-31,0.24,0.0909,606046927,4933498402
2018-12-31,1.64,0.3016,4120487402,20224985720
2018-09-30,1.3,0.5294,3262092870,15122436925
2018-06-30,0.74,0.3455,1868620621,10085174554
2018-03-31,0.22,-0.2143,562617916,4747842101
2017-12-31,1.26,0.008,3148748043,18715608755
2017-09-30,0.85,-0.023,2143549923,13399533416
2017-06-30,0.55,-0.0517,1386186828,8713962625
2017-03-31,0.28,0.2174,692879063,4197598309
2016-12-31,1.25,0.1364,3144227339,16621336273
2016-09-30,0.87,0.1013,2175402903,11590552414
