date,流动负债合计,速动比率,资产合计,所有者权益合计,货币资金,有息负债率,资产负债率,负债合计,应收账款,流动资产合计,流动比率,长期负债合计
2026-03-31,6809432419,0.5074,347671953730,124061543730,248715970685.7,0.4182,0.6432,223610409999,15042627538,0,0.7235,48476026201
2025-12-31,5723203491,0.3983,323009018442,120128744108,240044564281.68,0.3376,0.6281,202880274334,15872973091,0,0.616,45829109950
2025-09-30,6574057848,0.4576,328323752608,116330912266,208426800859.08,0.3684,0.6457,211992840342,15368318730,0,0.6713,52765386127
2025-06-30,5517423091,0.4164,315955471006,108054051884,170362651926.76,0.4289,0.658,207901419122,14718517496,0,0.6221,53095019378
2025-03-31,5889537884,0.4245,317521218713,107482068587,211022370733.46,0.424,0.6615,210039150126,14175208542,0,0.6377,51642044993
2024-12-31,5193897683,0.3471,293333349744,103500149867,224020921765.1,0.3578,0.6472,189833199878,12318995367,0,0.5551,48176160956
2024-09-30,5917931484,0.4556,309641134355,101600950497,286721661886.32,0.398,0.6719,208040183857,12150845156,0,0.6594,53241608996
2024-06-30,5565703145,0.4225,294239807610,99626367421,253879912178.36,0.3848,0.6614,194613440189,13318643082,0,0.6307,51071727856
2024-03-31,5796031719,0.4416,279122454360,99010202517,259971020632.8,0.4164,0.6453,180112251844,11734858885,0,0.6457,46087284939
2023-12-31,5674050867,0.359,253040390845,94454215734,241195335809.32,0.3924,0.6267,158586175112,9144253100,0,0.5694,39810792851
2023-09-30,5440589051,0.4628,256098527649,89703220077,277302422008.32,0.4898,0.6497,166395307572,9482567037,0,0.6351,35249636743
2023-06-30,5094547429,0.4423,245242927241,86687318073,275795343627.84,0.4545,0.6465,158555609168,11160279898,0,0.625,31811840804
2023-03-31,5508633780,0.4782,237793786466,85774779187,301038906500.88,0.4284,0.6393,152019007279,12012981243,0,0.6444,21714933031
2022-12-31,5391914942,0.3375,200843198875,81336987661,290897524898.9,0.3448,0.595,119506211214,9060251937,0,0.5423,15968336388
2022-09-30,5246153551,0.5006,215869831656,77976940723,289170664254.6,0.3905,0.6388,137892890933,10275750612,0,0.6957,20662166929
2022-06-30,5283100573,0.4919,207296274820,74449906033,304524025255.74,0.3703,0.6409,132846368787,12425349051,0,0.7098,18331446990
2022-03-31,5551095734,0.5659,207985215916,77137387607,253974104577.14,0.3848,0.6291,130847828309,10800911517,0,0.7855,16518224189
2021-12-31,4433834214,0.5372,190309582269,71695667032,317114409226,0.4017,0.6233,118613915237,8646177732,0,0.7377,15643752279
2021-09-30,5526161265,0.5536,181404050897,67220888828,335167952325.5,0.4024,0.6294,114183162069,9392734193,0,0.7477,15534290750
2021-06-30,5193254871,0.5289,167302615764,60667309492,341667227841.32,0.3999,0.6374,106635306272,9887906163,0,0.7223,14940473537
2021-03-31,4021434862,0.5174,150950578862,57895557028,331557243705.6,0.3917,0.6165,93055021834,8445024209,0,0.6978,13177786174
2020-12-31,2878652144,0.4556,133752669388,51650773757,285842532831.04,0.3794,0.6138,82101895632,6309034174,0,0.5948,11821926162
2020-09-30,2313355574,0.4354,125987046150,46012334080,217584441181.8,0.3776,0.6348,79974712069,5064853427,0,0.5699,9168244402
2020-06-30,2071762994,0.3795,114699498465,42727809819,156955934033.7,0.3798,0.6275,71971688647,4234666518,0,0.532,7939776345
2020-03-31,2456862528,0.3778,107754196134,45374726157,129514548487.5,0.321,0.5789,62379469977,5138575614,0,0.5807,5256152738
2019-12-31,0,0.3227,96865322655,43931258972,176359568207.1,0.3031,0.5465,52934063684,4433077610,0,0.5242,5962595246
2019-09-30,0,0.3807,96484599726,41972354217,138619813714.5,0.3327,0.565,54512245508,4968780306,0,0.5946,4255293739
2019-06-30,0,0.4402,96013385014,39732275780,134349758297.7,0.3502,0.5862,56281109234,4711364263,0,0.6321,3472354076
2019-03-31,0,0.5651,92337626464,42554253911,142952664063.9,0.326,0.5391,49783372553,4412654609,0,0.7655,4507035123
2018-12-31,0,0.6527,76912659202,39250411663,76525018272,0.3012,0.4897,37662247538,2542568582,0,0.9019,3817505000
2018-09-30,0,0.5966,71993552678,37289331916,116113523616,0.2644,0.482,34704220762,3091664568,0,0.9027,4635674286
2018-06-30,0,0.6293,68092765755,34579356676,124178861376,0.3284,0.4922,33513409079,3287381488,0,0.9181,5238643571
2018-03-31,0,0.5931,66423338187,30778130185,103728445632,0.3597,0.5366,35645208002,3257748491,0,0.89,6456812857
2017-12-31,0,0.6369,65827732248,30754126558,103728445632,0.3298,0.5328,35073605690,2832792897,0,0.9058,6321648809
2017-09-30,0,0.6076,62752997595,26687174094,115238639520,0.3759,0.5747,36065823501,3281025591,0,0.8543,7186001560
2017-06-30,0,0.5734,59988083047,24886251358,78302126592,0.4086,0.5851,35101831690,3177102783,0,0.8373,7829437381
2017-03-31,0,0.5499,56918093537,23380532948,61765905840,0.3836,0.5892,33537560589,2769860214,0,0.8157,9029286666
2016-12-31,0,0.3831,50765015455,18333937056,46555066521.6,0.4312,0.6388,32431078399,1714873634,0,0.5856,9333345000
2016-09-30,0,0.3889,51585065616,16796809546,44457601843.2,0.447,0.6744,34788256070,1772975710,0,0.6293,11201345000
