date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,2.6211,13244759205,6856917191,10.7987
2025-12-31,2.3579,2906345015,33105189456,0.1015
2025-09-30,2.2077,-1442429707,17021574672,-0.1183
2025-06-30,2.4165,-1944250291,10528103971,0.023
2025-03-31,2.0251,-6081034760,581158510,-0.8115
2024-12-31,2.0318,-5306745096,30053435178,0.1215
2024-09-30,1.7299,-14097703573,19305479618,0.1265
2024-06-30,1.4354,-17002176543,10291272116,-0.0829
2024-03-31,1.3918,-17547414378,3083663689,-0.26
2023-12-31,1.4643,-16273708492,26796752553,-0.2625
2023-09-30,2.0122,-7405222160,17136871562,-0.1407
2023-06-30,2.1462,-5669776199,11221814118,-0.2143
2023-03-31,2.2915,-1012007150,4166884643,0.0287
2022-12-31,2.1322,3722529291,36336824920,0.3014
2022-09-30,1.5669,1357585620,19943927733,0.1408
2022-06-30,1.4114,1976358639,14283353016,0.2885
2022-03-31,1.2159,2499725867,4050753250,0.3418
2021-12-31,1.1151,1076870323,27922292185,0.6571
2021-09-30,1.0682,1707932972,17482586357,1.1932
2021-06-30,1.0226,-2014112856,11085244968,0.7625
2021-03-31,1.0849,-7037885459,3018987568,0.0519
2020-12-31,1.6178,-6269258514,16849705991,-0.3503
2020-09-30,2.6199,-1019201546,7971343740,-0.3925
2020-06-30,3.0911,4114043948,6289469002,-0.2409
2020-03-31,2.6544,5631819833,2870117078,-0.363
2019-12-31,2.448,8135569083,25932941201,0.1336
2019-09-30,1.6443,342083020,13121575384,-0.3332
2019-06-30,1.823,4297895837,8284937691,-0.2613
2019-03-31,1.7346,7110635475,4505571786,-0.0969
2018-12-31,1.501,9014359150,19257494429,0.7985
2018-09-30,1.3486,11003275695,15519427615,1.7558
2018-06-30,1.094,9700988735,8445172019,4.8302
2018-03-31,0.8973,7202080553,3590001797,6.5888
2017-12-31,0.7673,4295472262,10212146595,0.3896
2017-09-30,0.7167,2577466424,5631450899,0.0802
2017-06-30,0.6419,1211358571,1448528031,-0.5469
2017-03-31,0.914,1287394991,473064822,-0.7369
2016-12-31,1.6158,3237213879,7348843879,0.5967
2016-09-30,1.9818,2979931595,5213297121,0.5982
