date,营业收入,累积同比,基本每股收益,归属于母公司普通股股东的净利润
2026-03-31,54052165361,0.255,1.19,3717707874
2025-12-31,203234573814,0.1162,3.99,12527201094
2025-09-30,144225795451,-0.0229,2.92,9157288305
2025-06-30,90901436923,-0.0635,1.95,6122729613
2025-03-31,43067850762,-0.067,0.98,3082066208
2024-12-31,182069119161,0.0383,4.15,13033066613
2024-09-30,147604150411,0.1135,3.53,11093324150
2024-06-30,97067363557,0.1077,2.6,8174372560
2024-03-31,46161004693,0.1007,1.32,4157379176
2023-12-31,175360935668,0.0592,5.36,16815755534
2023-09-30,132554140992,0.0164,4.05,12703183328
2023-06-30,87626375827,-0.0167,2.73,8568236438
2023-03-31,41939325956,0.0037,1.29,4053161512
2022-12-31,165565484374,0.1376,5.17,16233626024
2022-09-30,130420439347,0.2153,4.33,13608249924
2022-06-30,89118765298,0.3172,3.31,10383021457
2022-03-31,41784424325,0.3344,1.71,5373995040
2021-12-31,145537817629,0.9819,7.85,24648748123
2021-09-30,107318461437,1.1799,6.22,19541760750
2021-06-30,67657002327,1.1891,4.31,13530397801
2021-03-31,31312426109,1.0408,2.11,6621369973
2020-12-31,73432968476,0.0791,3.2,10041428015
2020-09-30,49231686513,0.0143,1.7,5349173376
2020-06-30,30906682480,-0.02,0.9,2835296712
2020-03-31,15343054664,-0.0382,0.44,1377088601
2019-12-31,68050668651,-0.0657,3.23,10129985098
2019-09-30,48539171300,-0.1248,2.52,7899299228
2019-06-30,31538997771,-0.1535,1.79,5621102649
2019-03-31,15952006780,-0.083,0.89,2795804828
2018-12-31,60621193437,0.1411,3.88,10610379859
2018-09-30,45923234744,0.1786,3.3,9021021454
2018-06-30,30054174639,0.2302,2.54,6949934414
2018-03-31,13601913515,0.2357,1.3,3545722178
2017-12-31,53123173259,0.7649,4.09,11134790282
2017-09-30,38963503949,0.8614,2.87,7810995979
2017-06-30,24430086477,0.9582,1.79,4861037879
2017-03-31,11007048625,1.077,0.96,2195059806
2016-12-31,30099861530,0.5442,1.7,3679421832
2016-09-30,20932181907,0.4155,1.16,2500252821
