date,净资产收益率(ROE),资本回报率(ROIC),净利润率,总资产收益率(ROA),毛利率(GM)
2026-03-31,0.1298,0.0694,0.0701,0.0452,0.1347
2025-12-31,0.1256,0.0769,0.0691,0.0456,0.1361
2025-09-30,0.1154,0.0667,0.0704,0.0394,0.1461
2025-06-30,0.1207,0.0672,0.0713,0.0411,0.1482
2025-03-31,0.1318,0.0723,0.076,0.0456,0.1567
2024-12-31,0.1494,0.0873,0.0812,0.0541,0.1616
2024-09-30,0.1751,0.0898,0.0879,0.0592,0.1571
2024-06-30,0.1934,0.1029,0.0975,0.0668,0.1676
2024-03-31,0.2,0.1062,0.1029,0.0715,0.1683
2023-12-31,0.2082,0.1235,0.1044,0.0806,0.1679
2023-09-30,0.1988,0.1016,0.0994,0.0706,0.166
2023-06-30,0.1924,0.1018,0.0945,0.0685,0.1547
2023-03-31,0.1953,0.1047,0.096,0.0714,0.1581
2022-12-31,0.2227,0.1272,0.1029,0.0871,0.1657
2022-09-30,0.2671,0.1413,0.115,0.0976,0.168
2022-06-30,0.3264,0.1725,0.132,0.1177,0.2014
2022-03-31,0.3527,0.1891,0.1526,0.1327,0.2355
2021-12-31,0.406,0.2138,0.172,0.1545,0.2626
2021-09-30,0.4359,0.2258,0.1876,0.1606,0.306
2021-06-30,0.4095,0.2119,0.1921,0.1501,0.313
2021-03-31,0.3035,0.1708,0.1753,0.1211,0.298
2020-12-31,0.2179,0.1308,0.1418,0.0903,0.2678
2020-09-30,0.1803,0.1052,0.1154,0.0713,0.2283
2020-06-30,0.1878,0.108,0.1149,0.0735,0.2275
2020-03-31,0.2082,0.1326,0.1357,0.0915,0.256
2019-12-31,0.2547,0.1715,0.1557,0.1219,0.28
2019-09-30,0.2587,0.1805,0.1621,0.1217,0.2858
2019-06-30,0.2819,,0.1687,0.1277,0.2956
2019-03-31,0.3172,,0.1847,0.1465,0.31
2018-12-31,0.3665,0.2359,0.2116,0.1798,0.3383
2018-09-30,0.4659,,0.2481,0.2212,0.3794
2018-06-30,0.529,,0.2678,0.2456,0.4028
2018-03-31,0.5486,,0.2666,0.2409,0.4061
2017-12-31,0.5423,,0.2505,0.2283,0.397
2017-09-30,0.4984,,0.2252,0.1896,0.3792
2017-06-30,0.4312,,0.2075,0.1581,0.3618
2017-03-31,0.3441,,0.1841,0.1244,0.3419
2016-12-31,0.2743,,0.1511,0.0923,0.3108
2016-09-30,0.2115,,0.129,0.0675,0.2919
