date,资产负债率
2026-03-31,0.933
2025-12-31,0.9315
2025-09-30,0.929
2025-06-30,0.9291
2025-03-31,0.9305
2024-12-31,0.925
2024-09-30,0.9272
2024-06-30,0.9275
2024-03-31,0.9269
2023-12-31,0.9254
2023-09-30,0.9265
2023-06-30,0.9294
2023-03-31,0.9306
2022-12-31,0.9288
2022-09-30,0.9284
2022-06-30,0.9276
2022-03-31,0.9297
2021-12-31,0.9256
2021-09-30,0.9303
2021-06-30,0.9294
2021-03-31,0.9282
2020-12-31,0.9269
2020-09-30,0.9249
2020-06-30,0.9223
2020-03-31,0.926
2019-12-31,0.9236
2019-09-30,0.9211
2019-06-30,0.9237
2019-03-31,0.9254
2018-12-31,0.9272
2018-09-30,0.9374
2018-06-30,0.94
2018-03-31,0.9432
2017-12-31,0.9446
2017-09-30,0.9433
2017-06-30,0.9431
2017-03-31,0.9438
2016-12-31,0.9431
2016-09-30,0.9399
2016-06-30,0.941
