date,资产合计,有息负债率,所有者权益合计,速动比率,流动负债合计,流动比率,流动资产合计,长期负债合计,资产负债率,负债合计
2026-03-31,135311587227,0.0492,94370094773,2.0311,4670888035,2.7214,927951274,1205600074,0.3026,40941492453
2025-12-31,138049655335,0.059,91216863355,1.9117,4200490873,2.4186,974450160,1210564814,0.3392,46832791980
2025-09-30,129863372986,0.0537,85971502691,1.8919,3596901370,2.4265,958384100,1357343269,0.338,43891870294
2025-06-30,124414765281,0.0578,85808878856,2.0605,3380938673,2.6413,916055436,1227788621,0.3103,38605886426
2025-03-31,125735528055,0.0594,88877266726,2.4612,3266516789,3.1452,965373065,4587103096,0.2931,36858261328
2024-12-31,132016200156,0.0553,87500294748,2.1708,3353943054,2.7223,985822786,5119185000,0.3372,44515905408
2024-09-30,124094298497,0.0677,83194000716,2.2063,3235944809,2.8525,992428761,5667258530,0.3296,40900297781
2024-06-30,127786046731,0.1206,79947505879,1.9814,3071483494,2.4952,1195004401,5680041584,0.3744,47838540852
2024-03-31,132259649298,0.1277,84654444767,2.2112,3136124458,2.7695,1175454915,5968656279,0.3599,47605204531
2023-12-31,138848007549,0.1243,82163611878,2.0773,2977990775,2.5477,1173312415,8940122961,0.4082,56684395671
2023-09-30,127457393562,0.1372,76790846417,2.1301,3094814815,2.6974,1154739957,9251855308,0.3975,50666547145
2023-06-30,118917248075,0.1291,72779403225,2.2105,2770165431,2.8908,1872717726,9698069195,0.388,46137844851
2023-03-31,117177724893,0.1233,75360607665,2.7586,2686194706,3.5625,2065108385,10674015568,0.3569,41817117229
2022-12-31,119233282761,0.1013,72970153968,2.2196,2644496508,2.8498,2118223371,7522315342,0.388,46263128794
2022-09-30,110264398003,0.1084,67882161886,2.2427,2492365487,2.9501,1364895196,7497879117,0.3844,42382236116
2022-06-30,104894333860,0.0997,64390185636,1.9861,2385309266,2.7053,1351087066,4730784322,0.3861,40504148224
2022-03-31,104433154852,0.0934,68029499829,2.3359,2351116067,3.0681,1496973175,3568900791,0.3486,36403655023
2021-12-31,103864543195,0.0797,65394642276,1.9863,2580894227,2.5838,1411372625,3284371643,0.3704,38469900919
2021-09-30,96268052569,0.0967,59046544392,1.7783,2611871267,2.3685,282869179,2128684837,0.3866,37221508177
2021-06-30,87118829064,0.1008,53981943926,1.8833,2490674993,2.4043,184239074,1911015151,0.3804,33136885138
2021-03-31,86378576574,0.1081,56916721065,2.2163,2036442723,2.7435,196024032,1938063535,0.3411,29461855509
2020-12-31,88701682384,0.1068,54479743401,2.0094,2161166671,2.3943,245754511,1961167761,0.3858,34221938984
2020-09-30,79216734278,0.118,48354335199,2.231,1352215377,2.7077,126490278,4797581206,0.3896,30862399079
2020-06-30,71938322381,0.1304,44246355256,2.2375,1172844149,2.7904,111392632,4771375714,0.3849,27691967125
2020-03-31,73083912948,0.118,46988926714,2.4068,1328269264,3.0923,684021983,4624468571,0.3571,26094986235
2019-12-31,75358000240,0.0973,45472858885,2.2299,0,2.7221,0,4604168571,0.3966,29885141355
2019-09-30,68288828836,0.121,41014833541,2.0978,0,2.571,0,4530620000,0.3994,27273995295
2019-06-30,64344901613,0.143,36932366849,1.9934,0,2.4077,0,4631400000,0.426,27412534764
2019-03-31,60547762105,0.131,39585781552,2.7013,0,3.0978,0,4240800000,0.3462,20961980552
2018-12-31,63484352233,0.1116,37964136376,1.92,0,2.1703,0,440000000,0.402,25520215857
2018-09-30,54932903679,0.1353,33580866129,1.9119,0,2.2108,0,190000000,0.3887,21352037549
2018-06-30,50019711617,0.15,30232786510,1.8509,0,2.1563,0,190000000,0.3956,19786925107
2018-03-31,50208262129,0.1278,32443058821,2.1069,0,2.4418,0,190000000,0.3538,17765203308
2017-12-31,51570963467,0.1022,30604121438,2.278,0,2.5959,0,490000000,0.4066,20966842029
2017-09-30,44304408733,0.1319,27170454186,2.5897,0,3.0502,0,1310990201,0.3867,17133954547
2017-06-30,41524934461,0.1714,24236835572,2.4148,0,2.8211,0,1319408176,0.4163,17288098889
2017-03-31,42657819050,0.1745,25999847708,2.7895,0,3.1918,0,1844041517,0.3905,16657971342
2016-12-31,41339007815,0.116,24486673925,2.6758,0,3.0145,0,1722207584,0.4077,16852333890
2016-09-30,36494321201,0.1155,21639291047,2.544,0,2.971,0,759028249,0.4071,14855030154
2016-06-30,31958335117,0.122,19160653330,2.626,0,3.053,0,501722274,0.4004,12797681788
