date,净利润率,总资产收益率(ROA),毛利率(GM),净资产收益率(ROE),资本回报率(ROIC)
2026-03-31,0.1739,0.1261,0.4677,0.1797,0.1689
2025-12-31,0.1668,0.1143,0.4588,0.1727,0.1612
2025-09-30,0.1553,0.1141,0.4427,0.1713,0.1595
2025-06-30,0.148,0.1093,0.439,0.1663,0.149
2025-03-31,0.1411,0.1019,0.4368,0.1516,0.136
2024-12-31,0.1421,0.097,0.4383,0.1549,0.1393
2024-09-30,0.1565,0.1158,0.4439,0.1821,0.1614
2024-06-30,0.1618,0.1219,0.4441,0.197,0.1694
2024-03-31,0.1696,0.1237,0.4457,0.1929,0.1665
2023-12-31,0.1696,0.1174,0.4444,0.1954,0.1692
2023-09-30,0.1615,0.1151,0.441,0.1891,0.1619
2023-06-30,0.1578,0.1177,0.4321,0.1921,0.1662
2023-03-31,0.158,0.1181,0.4257,0.1826,0.1602
2022-12-31,0.163,0.1215,0.4229,0.196,0.1748
2022-09-30,0.1799,0.149,0.4164,0.2425,0.2117
2022-06-30,0.1981,0.1749,0.4302,0.2837,0.248
2022-03-31,0.2084,0.1833,0.4379,0.28,0.2465
2021-12-31,0.2151,0.1819,0.4433,0.2922,0.2576
2021-09-30,0.2152,0.1892,0.4574,0.3091,0.2664
2021-06-30,0.2169,0.1995,0.4535,0.323,0.2762
2021-03-31,0.2139,0.1826,0.4647,0.2802,0.242
2020-12-31,0.2154,0.1667,0.4653,0.2737,0.2374
2020-09-30,0.2164,0.1756,0.469,0.2898,0.2451
2020-06-30,0.2225,0.1894,0.4743,0.318,0.2623
2020-03-31,0.2188,0.1871,0.4642,0.2888,0.2457
2019-12-31,0.2162,0.1796,0.4599,0.2988,0.2583
2019-09-30,0.2171,0.1968,0.4595,0.3252,0.2749
2019-06-30,0.2174,0.2011,0.4566,0.3424,
2019-03-31,0.2205,0.2008,0.4481,0.3087,
2018-12-31,0.2284,0.1978,0.4485,0.332,0.2848
2018-09-30,0.221,0.2137,0.4453,0.3491,
2018-06-30,0.2203,0.223,0.4468,0.3749,
2018-03-31,0.2189,0.2085,0.4442,0.3312,
2017-12-31,0.2238,0.2019,0.44,0.3404,
2017-09-30,0.2257,0.2152,0.4347,0.3562,
2017-06-30,0.2257,0.2201,0.4262,0.3726,
2017-03-31,0.2298,0.2103,0.4179,0.334,
2016-12-31,0.2324,0.2071,0.4158,0.3389,
2016-09-30,0.2337,0.2243,0.4025,0.3584,
2016-06-30,0.2239,0.2275,0.3911,0.3616,
