date,市值(元),股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-02,202941289057.92,0.0392,4.8294,0.0000,20.7566,13.8217,7.9512,6.8591,0.0140,16.2422,11.0541,8.0041,27.8772,0.0000,61.1707,45.6746,33.9268
2026-06-01,208968668750.24,0.0381,4.9728,0.0021,20.7566,13.8217,7.9521,7.0629,0.0512,16.2422,11.0541,8.0041,28.7052,0.0021,61.1707,45.6746,33.9268
2026-05-29,210197551988.48,0.0378,5.0020,0.0029,20.7566,13.8081,7.9583,7.1044,0.0577,16.2422,11.0456,8.0009,28.8740,0.0029,61.1707,45.6593,33.9092
2026-05-28,206510902273.76,0.0385,4.9143,0.0000,20.7566,13.8149,7.9583,6.9798,0.0367,16.2422,11.0498,8.0020,28.3675,0.0000,61.1707,45.6670,33.9211
2026-05-27,209787924242.4,0.0379,4.9923,0.0017,20.7566,13.8217,7.9626,7.0906,0.0557,16.2422,11.0541,8.0041,28.8177,0.0017,61.1707,45.6746,33.9268
2026-05-26,208500522754.72,0.0381,4.9616,0.0008,20.7566,13.8217,7.9638,7.0470,0.0491,16.2422,11.0541,8.0041,28.6409,0.0008,61.1707,45.6746,33.9268
2026-05-25,208617559253.6,0.0381,4.9644,0.0008,20.7566,13.8217,7.9666,7.0510,0.0499,16.2422,11.0541,8.0041,28.6569,0.0008,61.1707,45.6746,33.9268
2026-05-22,206510902273.76,0.0385,4.9143,0.0000,20.7566,13.8081,7.9728,6.9798,0.0383,16.2422,11.0456,8.0009,28.3675,0.0000,61.1707,45.6593,33.9092
2026-05-21,206803493520.96,0.0385,4.9213,0.0000,20.7566,13.8149,7.9739,6.9897,0.0396,16.2422,11.0498,8.0020,28.4077,0.0000,61.1707,45.6670,33.9211
2026-05-20,209963478990.72,0.0379,4.9965,0.0000,20.7566,13.8217,7.9740,7.0965,0.0565,16.2422,11.0541,8.0041,28.8418,0.0000,61.1707,45.6746,33.9268
