date,营业收入,累积同比,基本每股收益,归属于母公司普通股股东的净利润
2026-03-31,54649000000,0.0523,0.36,20098000000
2025-12-31,212475000000,-0.0055,1.2,70618000000
2025-09-30,156598000000,-0.0346,0.89,53391000000
2025-06-30,105762000000,-0.0299,0.62,36478000000
2025-03-31,51770000000,-0.0372,0.36,19509000000
2024-12-31,213646000000,0.0376,1.22,68576000000
2024-09-30,162210000000,0.0383,0.94,51826000000
2024-06-30,109019000000,0.0268,0.66,35490000000
2024-03-31,53770000000,0.0469,0.39,19191000000
2023-12-31,205896000000,-0.026,1.27,67016000000
2023-09-30,156228000000,-0.0262,0.99,51433000000
2023-06-30,106174000000,-0.0205,0.7,36067000000
2023-03-31,51363000000,-0.0494,0.39,19144000000
2022-12-31,211392000000,0.0334,1.17,62103000000
2022-09-30,160426000000,0.0337,0.9,47103000000
2022-06-30,108394000000,0.0265,0.63,32524000000
2022-03-31,54030000000,0.0408,0.35,17350000000
2021-12-31,204557000000,0.0505,1.08,55641000000
2021-09-30,155198000000,0.0404,0.83,41756000000
2021-06-30,105592000000,0.0351,0.59,29031000000
2021-03-31,51914000000,0.0079,0.32,15641000000
2020-12-31,194731000000,0.0381,0.94,48980000000
2020-09-30,149174000000,0.0477,0.73,36918000000
2020-06-30,102013000000,0.0951,0.52,25541000000
2020-03-31,51509000000,0.0865,0.3,14453000000
2019-12-31,187584000000,0.1379,0.95,48015000000
2019-09-30,142387000000,0.173,0.81,40752000000
2019-06-30,93150000000,0.1493,0.58,28307000000
2019-03-31,47410000000,0.1961,0.27,13216000000
2018-12-31,164854000000,0.052,0.88,44513000000
2018-09-30,121384000000,0.0527,0.72,36799000000
2018-06-30,81052000000,0.0585,0.53,25721000000
2018-03-31,39638000000,0.0491,0.25,12166000000
2017-12-31,156708000000,0.0186,0.84,42566000000
2017-09-30,115307000000,-0.0003,0.68,34738000000
2017-06-30,76580000000,-0.0208,0.49,24011000000
2017-03-31,37778000000,-0.0667,0.23,11389000000
2016-12-31,153781000000,0.0596,0.85,41629000000
2016-09-30,115336000000,0.0734,0.71,34543000000
2016-06-30,78205000000,0.1166,0.48,23600000000
