date,毛利率(GM),净资产收益率(ROE),资本回报率(ROIC),总资产收益率(ROA),净利润率
2026-03-31,0.905,0.312,0.2949,0.271,0.4888
2025-12-31,0.9118,0.344,0.3175,0.2831,0.4958
2025-09-30,0.9174,0.3631,0.3448,0.3151,0.5123
2025-06-30,0.9169,0.3904,0.3571,0.326,0.5124
2025-03-31,0.9177,0.357,0.3413,0.3085,0.5149
2024-12-31,0.9193,0.3837,0.3565,0.3126,0.513
2024-09-30,0.9181,0.3627,0.3464,0.3124,0.5092
2024-06-30,0.9193,0.3813,0.3544,0.3201,0.5114
2024-03-31,0.92,0.3405,0.329,0.2974,0.513
2023-12-31,0.9196,0.3617,0.3416,0.2942,0.5149
2023-09-30,0.9174,0.337,0.3235,0.2899,0.5164
2023-06-30,0.9173,0.3512,0.3298,0.2974,0.5148
2023-03-31,0.9196,0.3124,0.2987,0.2705,0.5155
2022-12-31,0.9187,0.3253,0.2992,0.2566,0.5125
2022-09-30,0.92,0.3168,0.294,0.2644,0.5111
2022-06-30,0.919,0.3312,0.298,0.2678,0.5129
2022-03-31,0.9175,0.2964,0.2772,0.2525,0.514
2021-12-31,0.9154,0.3056,0.2779,0.2378,0.509
2021-09-30,0.9131,0.3179,0.2896,0.2602,0.5049
2021-06-30,0.9137,0.3341,0.3013,0.2691,0.5025
2021-03-31,0.9142,0.2982,0.2787,0.2542,0.5005
2020-12-31,0.9141,0.3199,0.2958,0.2498,0.5054
2020-09-30,0.912,0.3327,0.3097,0.2731,0.4995
2020-06-30,0.9113,0.3563,0.3162,0.2769,0.5005
2020-03-31,0.9121,0.3222,0.3017,0.2689,0.5009
2019-12-31,0.913,0.3392,0.3121,0.2565,0.4949
2019-09-30,0.9141,0.3686,0.3279,0.282,0.5093
2019-06-30,0.9158,0.3897,,0.2854,0.5066
2019-03-31,0.9137,0.3464,,0.276,0.4997
2018-12-31,0.9114,0.3545,0.3215,0.2569,0.49
2018-09-30,0.9073,0.3518,,0.2489,0.4783
2018-06-30,0.9043,0.386,,0.2707,0.4784
2018-03-31,0.8993,0.3368,,0.2494,0.482
2017-12-31,0.898,0.3374,,0.2344,0.475
2017-09-30,0.9002,0.3252,,0.2229,0.4546
2017-06-30,0.9009,0.2814,,0.1908,0.4391
2017-03-31,0.9094,0.2512,,0.1838,0.4396
2016-12-31,0.9123,0.2523,,0.18,0.4465
2016-09-30,0.9165,0.2651,,0.1933,0.4741
