date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,1493159968314.45,18.0588,,,,,6.3307,,,,,8.5171,,,,,0.0436,18.0518,,,,,6.3307,,,,
2026-07-02,1503848166003.0,18.1881,,,,,6.3760,,,,,8.5780,,,,,0.0432,18.1811,,,,,6.3760,,,,
2026-07-01,1491359850809.01,18.0370,,,,,6.3230,,,,,8.5068,,,,,0.0436,18.0301,,,,,6.3230,,,,
2026-06-30,1481959237169.49,17.9233,,,,,6.2832,,,,,8.4532,,,,,0.0439,17.9164,,,,,6.2832,,,,
2026-06-29,1493797509930.96,18.0665,,,,,6.3334,,,,,8.5207,,,,,0.0435,18.0595,,,,,6.3334,,,,
2026-06-26,1460882861376.63,17.6684,,,,,6.1938,,,,,8.3330,,,,,0.0445,17.6616,,,,,6.1938,,,,
2026-06-25,1515223908572.1,18.3257,,,,,5.5934,,,,,8.6429,,,,,0.0429,18.3186,,,,,5.5934,,,,
2026-06-24,1509698547895.6802,18.2588,,,,,5.5730,,,,,8.6114,,,,,0.0431,18.2518,,,,,5.5730,,,,
2026-06-23,1528162253142.45,18.4821,,,,,5.6412,,,,,8.7167,,,,,0.0426,18.4750,,,,,5.6412,,,,
2026-06-22,1551863800297.4102,18.7688,,,,,5.7287,,,,,8.8519,,,,,0.0419,18.7616,,,,,5.7287,,,,
2026-06-18,1518849145215.0,18.3695,,,,,5.6068,,,,,8.6636,,,,,0.0428,18.3624,,,,,5.6068,,,,
2026-06-17,1550101185240.0,18.7475,,,,,5.7222,,,,,8.8419,,,,,0.0420,18.7402,,,,,5.7222,,,,
2026-06-16,1569689963927.6702,18.9844,,,,,5.7945,,,,,8.9536,,,,,0.0414,18.9771,,,,,5.7945,,,,
2026-06-15,1588978723031.1,19.2177,,,,,5.8657,,,,,9.0636,,,,,0.0409,19.2103,,,,,5.8657,,,,
2026-06-12,1614992921147.9102,19.5323,,,,,5.9617,,,,,9.2120,,,,,0.0403,19.5248,,,,,5.9617,,,,
2026-06-11,1598854367679.0,19.3371,,,,,5.9021,,,,,9.1200,,,,,0.0407,19.3297,,,,,5.9021,,,,
2026-06-10,1594954113083.88,19.2899,,,,,5.8877,,,,,9.0977,,,,,0.0408,19.2825,,,,,5.8877,,,,
2026-06-09,1570102490856.0,18.9894,,,,,5.7960,,,,,8.9560,,,,,0.0414,18.9821,,,,,5.7960,,,,
2026-06-08,1578828060430.98,19.0949,,,,,5.8282,,,,,9.0057,,,,,0.0412,19.0875,,,,,5.8282,,,,
2026-06-05,1591178866648.86,19.2443,,,,,5.8738,,,,,9.0762,,,,,0.0409,19.2369,,,,,5.8738,,,,
2026-06-04,1585103470068.0,19.1708,,,,,5.8514,,,,,9.0415,,,,,0.0411,19.1634,,,,,5.8514,,,,
2026-06-03,1602492105137.9102,19.3811,,,,,5.9156,,,,,9.1407,,,,,0.0406,19.3736,,,,,5.9156,,,,
2026-06-02,1634131670459.22,19.7638,,,,,6.0324,,,,,9.3212,,,,,0.0398,19.7561,,,,,6.0324,,,,
2026-06-01,1637106864669.6,19.7997,,,,,6.0433,,,,,9.3382,,,,,0.0398,19.7921,,,,,6.0433,,,,
2026-05-29,1657608202926.0,20.0477,,,,,6.1190,,,,,9.4551,,,,,0.0393,20.0400,,,,,6.1190,,,,
2026-05-28,1595079121243.98,19.2915,,,,,5.8882,,,,,9.0984,,,,,0.0408,19.2840,,,,,5.8882,,,,
2026-05-27,1631708090145.0,19.7345,,,,,6.0234,,,,,9.3074,,,,,0.0399,19.7268,,,,,6.0234,,,,
2026-05-26,1594615846376.7002,19.2858,,,,,5.8865,,,,,9.0958,,,,,0.0408,19.2784,,,,,5.8865,,,,
2026-05-25,1610269224064.2002,19.4752,,,,,5.9443,,,,,9.1851,,,,,0.0404,19.4677,,,,,5.9443,,,,
2026-05-22,1615679031393.0,19.5406,,,,,5.9642,,,,,9.2159,,,,,0.0403,19.5331,,,,,5.9642,,,,
2026-05-21,1641726251865.0,19.8556,,,,,6.0604,,,,,9.3645,,,,,0.0397,19.8480,,,,,6.0604,,,,
2026-05-20,1646735332725.0,19.9162,,,,,6.0789,,,,,9.3931,,,,,0.0395,19.9085,,,,,6.0789,,,,
2026-05-19,1658381445724.5,20.0571,,,,,6.1219,,,,,9.4595,,,,,0.0392,20.0493,,,,,6.1219,,,,
2026-05-18,1656753494445.0,20.0374,,,,,6.1159,,,,,9.4502,,,,,0.0393,20.0296,,,,,6.1159,,,,
2026-05-15,1669213583084.25,20.1881,,,,,6.1619,,,,,9.5213,,,,,0.0390,20.1803,,,,,6.1619,,,,
2026-05-14,1680759514466.55,20.3277,,,,,6.2045,,,,,9.5872,,,,,0.0387,20.3199,,,,,6.2045,,,,
2026-05-13,1683163873279.35,20.3568,,,,,6.2134,,,,,9.6009,,,,,0.0387,20.3489,,,,,6.2134,,,,
2026-05-12,1696262619728.25,20.5152,,,,,6.2617,,,,,9.6756,,,,,0.0384,20.5073,,,,,6.2617,,,,
2026-05-11,1704753011785.95,20.6179,,,,,6.2931,,,,,9.7240,,,,,0.0382,20.6099,,,,,6.2931,,,,
2026-05-08,1719354482492.85,20.7945,,,,,6.3470,,,,,9.8073,,,,,0.0378,20.7865,,,,,6.3470,,,,
2026-05-07,1716925078275.75,20.7651,,,,,6.3380,,,,,9.7934,,,,,0.0379,20.7571,,,,,6.3380,,,,
2026-05-06,1721871545625.0,20.8249,,,,,6.3563,,,,,9.8217,,,,,0.0378,20.8169,,,,,6.3563,,,,
2026-04-30,1734131271029.85,20.9732,,,,,6.4015,,,,,9.8916,,,,,0.0375,20.9651,,,,,6.4015,,,,
2026-04-29,1754643457151.55,21.2213,,,,,6.4772,,,,,10.0086,,,,,0.0371,21.2131,,,,,6.4772,,,,
2026-04-28,1759439652075.0,21.2793,,,,,6.4949,,,,,10.0360,,,,,0.0370,21.2711,,,,,6.4949,,,,
2026-04-27,1757185565688.0,21.2520,,,,,6.4866,,,,,10.0231,,,,,0.0370,21.2438,,,,,6.4866,,,,
2026-04-24,1826423585875.35,22.1941,,,,,7.4658,,,,,10.6154,,,,,0.0356,22.1869,,,,,7.4658,,,,
2026-04-23,1776971435085.0,21.5932,,,,,7.2637,,,,,10.3280,,,,,0.0366,21.5861,,,,,7.2637,,,,
2026-04-22,1765074868042.5,21.4486,,,,,7.2151,,,,,10.2588,,,,,0.0369,21.4416,,,,,7.2151,,,,
2026-04-21,1768218066282.15,21.4868,,,,,7.2279,,,,,10.2771,,,,,0.0368,21.4798,,,,,7.2279,,,,
2026-04-20,1766815523641.35,21.4698,,,,,7.2222,,,,,10.2689,,,,,0.0368,21.4628,,,,,7.2222,,,,
