date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,1.4413,20961433190,9677280198,0.3727
2025-12-31,1.3255,18324412647,35269272762,-0.1672
2025-09-30,1.1733,18530664368,27724204367,-0.2686
2025-06-30,1.2182,20002350831,15815129647,-0.2779
2025-03-31,1.1644,25909878639,7050005301,-0.1851
2024-12-31,1.1585,28533821906,42350239403,0.0087
2024-09-30,1.2856,30982146097,34736626290,0.2201
2024-06-30,1.22,31512223199,19966631407,0.2147
2024-03-31,1.1406,26834276872,7622722508,-0.0947
2023-12-31,1.0755,27812467807,38598156414,-0.3123
2023-09-30,1.1829,36465133875,28470384277,-0.3443
2023-06-30,1.4,44105168724,16978257523,-0.0575
2023-03-31,1.0821,48200632565,8963911175,0.4844
2022-12-31,1.0574,45972888342,56139223437,0.0671
2022-09-30,1.1021,48954104022,38487433318,0.2063
2022-06-30,1.0173,46992342162,18193591573,0.2569
2022-03-31,1.3825,45060357602,6203346641,0.3663
2021-12-31,1.515,43177409289,51120894751,1.4175
2021-09-30,1.5195,33269631401,31904874973,1.9037
2021-06-30,1.1973,22619841422,14470342227,2.1901
2021-03-31,1.0563,14553100711,4633338245,0.7735
2020-12-31,1.07,13060558380,21139927227,0.0908
2020-09-30,0.7795,9678507620,10542783727,-0.3243
2020-06-30,0.8337,7700530558,4481118828,-0.5939
2020-03-31,1.0146,11712236910,2688259253,-0.5014
2019-12-31,1.1544,14375957153,19200350253,-0.0282
2019-09-30,1.4205,17060215328,15601825036,0.2145
2019-06-30,1.5748,19640820424,11033981262,0.7372
2019-03-31,1.4214,17265689528,5391596640,0.6701
2018-12-31,1.2404,15348038802,19758268793,0.167
2018-09-30,1.1142,13603978004,12846696553,0.1757
2018-06-30,1.06,12100412274,6351647052,0.0988
2018-03-31,1.0506,11688682490,3228295832,-0.0274
2017-12-31,1.0766,11923192817,16930864645,1.0481
2017-09-30,0.9664,12147094551,10926850279,1.2012
2017-06-30,1.1292,11817224802,5780590316,8.1546
2017-03-31,1.3684,9521906669,3319233249,10.8679
2016-12-31,1.8875,6258519103,8266537896,10.303
2016-09-30,4.9861,1868398422,4964019482,13.8394
2016-06-30,0.9096,-3397367470,631438333,-0.2595
