date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-04-21,47.9862,0.1488,77.4896,61.8479,50.5108,6.0390,0.0326,15.4408,9.4290,6.8940,49.9128,0.1570,83.3558,64.7588,52.0098,6.0390,0.0326,15.4408,9.4290,6.8940,0.0036,11.6987,0.3207,16.9929,12.8992,10.9899
2026-04-20,48.4940,0.1488,77.4896,61.8479,50.5108,6.1029,0.0326,15.4408,9.4290,6.8940,50.4410,0.1570,83.3558,64.7588,52.0098,6.1029,0.0326,15.4408,9.4290,6.8940,0.0035,11.8225,0.3207,16.9929,12.8992,10.9899
2026-04-17,48.4854,0.1488,77.4896,61.8479,50.5108,6.1019,0.0326,15.4408,9.4290,6.8940,50.4321,0.1570,83.3558,64.7588,52.0098,6.1019,0.0326,15.4408,9.4290,6.8940,0.0036,11.8204,0.3207,16.9929,12.8992,10.9899
2026-04-16,49.4666,0.1488,77.4896,61.8479,50.5108,6.2253,0.0326,15.4408,9.4290,6.8940,51.4527,0.1570,83.3558,64.7588,52.0098,6.2253,0.0326,15.4408,9.4290,6.8940,0.0035,12.0597,0.3207,16.9929,12.8992,10.9899
2026-04-15,49.6904,0.1488,77.4896,61.8479,50.5108,6.2535,0.0326,15.4408,9.4290,6.8940,51.6855,0.1570,83.3558,64.7588,52.0098,6.2535,0.0326,15.4408,9.4290,6.8940,0.0035,12.1142,0.3207,16.9929,12.8992,10.9899
2026-04-14,48.3563,0.1488,77.4896,61.8479,50.5108,6.0856,0.0326,15.4408,9.4290,6.8940,50.2978,0.1570,83.3558,64.7588,52.0098,6.0856,0.0326,15.4408,9.4290,6.8940,0.0036,11.7890,0.3207,16.9929,12.8992,10.9899
2026-04-13,47.5128,0.1488,77.4896,61.8479,50.5108,5.9795,0.0326,15.4408,9.4290,6.8940,49.4204,0.1570,83.3558,64.7588,52.0098,5.9795,0.0326,15.4408,9.4290,6.8940,0.0036,11.5833,0.3207,16.9929,12.8992,10.9899
2026-04-10,49.1137,0.1488,77.4896,61.8479,50.5108,6.1809,0.0326,15.4408,9.4290,6.8940,51.0856,0.1570,83.3558,64.7588,52.0098,6.1809,0.0326,15.4408,9.4290,6.8940,0.0035,11.9736,0.3207,16.9929,12.8992,10.9899
2026-04-09,49.0277,0.1488,77.4896,61.8479,50.5108,6.1701,0.0326,15.4408,9.4290,6.8940,50.9961,0.1570,83.3558,64.7588,52.0098,6.1701,0.0326,15.4408,9.4290,6.8940,0.0035,11.9526,0.3207,16.9929,12.8992,10.9899
2026-04-08,49.4494,0.1488,77.4896,61.8479,50.5108,6.2232,0.0326,15.4408,9.4290,6.8940,51.4348,0.1570,83.3558,64.7588,52.0098,6.2232,0.0326,15.4408,9.4290,6.8940,0.0035,12.0555,0.3207,16.9929,12.8992,10.9899
2026-04-07,48.3046,0.1488,77.4896,61.8479,50.5108,6.0791,0.0326,15.4408,9.4290,6.8940,50.2441,0.1570,83.3558,64.7588,52.0098,6.0791,0.0326,15.4408,9.4290,6.8940,0.0036,11.7764,0.3207,16.9929,12.8992,10.9899
2026-04-03,48.5284,0.1488,77.4896,61.8479,50.5108,6.1073,0.0326,15.4408,9.4290,6.8940,50.4768,0.1570,83.3558,64.7588,52.0098,6.1073,0.0326,15.4408,9.4290,6.8940,0.0035,11.8309,0.3207,16.9929,12.8992,10.9899
2026-04-02,49.3806,0.1488,77.4896,61.8479,50.5108,6.2145,0.0326,15.4408,9.4290,6.8940,51.3632,0.1570,83.3558,64.7588,52.0098,6.2145,0.0326,15.4408,9.4290,6.8940,0.0035,12.0387,0.3207,16.9929,12.8992,10.9899
2026-04-01,49.6904,0.1488,77.4896,61.8479,50.5108,6.2535,0.0326,15.4408,9.4290,6.8940,51.6855,0.1570,83.3558,64.7588,52.0098,6.2535,0.0326,15.4408,9.4290,6.8940,0.0035,12.1142,0.3207,16.9929,12.8992,10.9899
2026-03-31,47.5300,0.1488,77.4896,61.8479,50.5108,5.9816,0.0326,15.4408,9.4290,6.8940,49.4383,0.1570,83.3558,64.7588,52.0098,5.9816,0.0326,15.4408,9.4290,6.8940,0.0036,11.5875,0.3207,16.9929,12.8992,10.9899
2026-03-30,47.9948,0.1488,77.4896,61.8479,50.5108,6.0401,0.0326,15.4408,9.4290,6.8940,49.9218,0.1570,83.3558,64.7588,52.0098,6.0401,0.0326,15.4408,9.4290,6.8940,0.0036,11.7008,0.3207,16.9929,12.8992,10.9899
2026-03-27,47.4955,0.1488,77.4896,61.8479,50.5108,5.9773,0.0326,15.4408,9.4290,6.8940,49.4025,0.1570,83.3558,64.7588,52.0098,5.9773,0.0326,15.4408,9.4290,6.8940,0.0036,11.5791,0.3207,16.9929,12.8992,10.9899
2026-03-26,44.4399,0.1488,77.4896,61.8479,50.5108,5.5927,0.0326,15.4408,9.4290,6.8940,46.2242,0.1570,83.3558,64.7588,52.0098,5.5927,0.0326,15.4408,9.4290,6.8940,0.0039,10.8342,0.3207,16.9929,12.8992,10.9899
2026-03-25,48.0807,0.1488,77.4896,61.8479,50.5108,6.0344,0.0326,15.4408,9.4290,6.8940,50.2129,0.1570,83.3558,64.7588,52.0098,6.0344,0.0326,15.4408,9.4290,6.8940,0.0035,11.5892,0.3207,16.9929,12.8992,10.9899
2026-03-24,47.6719,0.1488,77.4896,61.8479,50.5108,5.9831,0.0326,15.4408,9.4290,6.8940,49.7859,0.1570,83.3558,64.7588,52.0098,5.9831,0.0326,15.4408,9.4290,6.8940,0.0036,11.4907,0.3207,16.9929,12.8992,10.9899
2026-03-23,46.9076,0.1488,77.4896,61.8479,50.5108,5.8872,0.0326,15.4408,9.4290,6.8940,48.9877,0.1570,83.3558,64.7588,52.0098,5.8872,0.0326,15.4408,9.4290,6.8940,0.0036,11.3064,0.3207,16.9929,12.8992,10.9899
2026-03-20,49.0050,0.1488,77.4896,61.8479,50.5108,6.1504,0.0326,15.4408,9.4290,6.8940,51.1782,0.1570,83.3558,64.7588,52.0098,6.1504,0.0326,15.4408,9.4290,6.8940,0.0035,11.8120,0.3207,16.9929,12.8992,10.9899
2026-03-19,49.7871,0.1488,77.4896,61.8479,50.5108,6.2486,0.0326,15.4408,9.4290,6.8940,51.9949,0.1570,83.3558,64.7588,52.0098,6.2486,0.0326,15.4408,9.4290,6.8940,0.0034,12.0005,0.3207,16.9929,12.8992,10.9899
2026-03-18,50.5514,0.1488,77.4896,61.8479,50.5108,6.3445,0.0326,15.4408,9.4290,6.8940,52.7932,0.1570,83.3558,64.7588,52.0098,6.3445,0.0326,15.4408,9.4290,6.8940,0.0034,12.1847,0.3207,16.9929,12.8992,10.9899
2026-03-17,50.0359,0.1488,77.4896,61.8479,50.5108,6.2798,0.0326,15.4408,9.4290,6.8940,52.2548,0.1570,83.3558,64.7588,52.0098,6.2798,0.0326,15.4408,9.4290,6.8940,0.0034,12.0605,0.3207,16.9929,12.8992,10.9899
2026-03-16,49.4049,0.1488,77.4896,61.8479,50.5108,6.2006,0.0326,15.4408,9.4290,6.8940,51.5958,0.1570,83.3558,64.7588,52.0098,6.2006,0.0326,15.4408,9.4290,6.8940,0.0035,11.9084,0.3207,16.9929,12.8992,10.9899
2026-03-13,48.9783,0.1488,77.4896,61.8479,50.5108,6.1471,0.0326,15.4408,9.4290,6.8940,51.1503,0.1570,83.3558,64.7588,52.0098,6.1471,0.0326,15.4408,9.4290,6.8940,0.0035,11.8056,0.3207,16.9929,12.8992,10.9899
2026-03-12,49.1472,0.1488,77.4896,61.8479,50.5108,6.1683,0.0326,15.4408,9.4290,6.8940,51.3267,0.1570,83.3558,64.7588,52.0098,6.1683,0.0326,15.4408,9.4290,6.8940,0.0035,11.8463,0.3207,16.9929,12.8992,10.9899
2026-03-11,49.6182,0.1488,77.4896,61.8479,50.5108,6.2274,0.0326,15.4408,9.4290,6.8940,51.8186,0.1570,83.3558,64.7588,52.0098,6.2274,0.0326,15.4408,9.4290,6.8940,0.0034,11.9598,0.3207,16.9929,12.8992,10.9899
2026-03-10,50.2581,0.1488,77.4896,61.8479,50.5108,6.3077,0.0326,15.4408,9.4290,6.8940,52.4869,0.1570,83.3558,64.7588,52.0098,6.3077,0.0326,15.4408,9.4290,6.8940,0.0034,12.1140,0.3207,16.9929,12.8992,10.9899
2026-03-09,48.8272,0.1488,77.4896,61.8479,50.5108,6.1281,0.0326,15.4408,9.4290,6.8940,50.9925,0.1570,83.3558,64.7588,52.0098,6.1281,0.0326,15.4408,9.4290,6.8940,0.0035,11.7691,0.3207,16.9929,12.8992,10.9899
