date,流动负债合计,速动比率,资产合计,资产负债率,有息负债率,负债合计,长期负债合计,流动比率,所有者权益合计,流动资产合计
2026-03-31,1454498612,8.4531,71293862441,0.1002,0.0009,7146776163,0,9.2331,64147086278,0
2025-12-31,1912553216,7.4664,69867315774,0.1155,0.0011,8070492359,0,8.0842,61796823414,0
2025-09-30,3971298591,6.0147,68327540486,0.1214,0.0012,8295022483,0,6.5464,60032518003,0
2025-06-30,161335627,12.3243,62893517149,0.0614,0.0015,3863719109,0,13.4948,59029798039,0
2025-03-31,162694388,9.5136,51292781691,0.073,0.0021,3743012633,0,10.6961,47549769058,0
2024-12-31,159793448,8.7381,50135645304,0.0807,0.0022,4045394571,0,9.719,46090250733,0
2024-09-30,1277373860,7.902,48338099413,0.0829,0.0018,4006580717,0,8.9976,44331518695,0
2024-06-30,1225506649,6.4478,48181360044,0.1037,0.002,4994223888,0,7.2326,43187136156,0
2024-03-31,1451487264,8.1162,46340001351,0.0842,0.0017,3900646049,0,9.1162,42439355302,0
2023-12-31,198090504,10.8677,43784506636,0.0628,0.0017,2751420194,0,12.252,41033086441,0
2023-09-30,184581973,11.1429,42871390741,0.0622,0.0021,2664804605,0,12.5261,40206586136,0
2023-06-30,217295163,11.6132,41961333251,0.0602,0.0021,2525468198,0,13.2263,39435865052,0
2023-03-31,199745648,10.6666,42293829996,0.0667,0.0022,2819745941,0,12.0827,39474084055,0
2022-12-31,187075474,7.537,42355009128,0.0931,0.0321,3941852985,0,8.5002,38413156143,0
2022-09-30,305954459,10.1919,40175041689,0.0713,0.0037,2865322043,0,11.4735,37309719646,0
2022-06-30,206145923,7.1814,40745925627,0.1009,0.0032,4110887151,0,8.0528,36635038476,0
2022-03-31,177216187,9.6939,39817549289,0.0762,0.0036,3034768956,0,11.0853,36782780333,0
2021-12-31,219554459,7.8823,39266221700,0.0941,0.0039,3694413773,0,8.8747,35571807927,0
2021-09-30,171285766,6.8815,38950347935,0.1061,0.0013,4131024697,0,7.7031,34819323238,0
2021-06-30,346615111,7.7501,37000499019,0.0979,0.0014,3622878973,0,8.7322,33377620046,0
2021-03-31,389085385,7.6179,36157171063,0.1019,0.0013,3685279995,0,8.4602,32471891069,0
2020-12-31,358059364,6.8167,34729589915,0.1135,0,3942587977,0,7.4372,30787001939,0
2020-09-30,302450866,5.9567,32535474255,0.1269,0,4130229674,0,6.5238,28405244581,0
2020-06-30,0,7.5794,29677472567,0.0999,0,2964837818,0,8.5619,26712634749,0
2020-03-31,0,7.7737,29166504365,0.0994,0,2898356634,0,8.6904,26268147731,0
2019-12-31,0,8.1344,27556475495,0.095,0,2618947868,0,9.0233,24937527628,0
2019-09-30,0,7.6256,25952860480,0.1039,0,2697702939,0,8.3943,23255157541,0
2019-06-30,0,7.26,24411927045,0.1054,0,2573046330,0,8.1582,21838880716,0
2019-03-31,0,6.6241,23181490118,0.1159,0,2685714823,0,7.2616,20495775295,0
2018-12-31,0,6.6048,22361229608,0.1146,0,2563491135,0,7.2462,19797738474,0
2018-09-30,0,7.3294,20801332184,0.1036,0,2154493986,0,8.1491,18646838198,0
2018-06-30,0,6.4857,20064636123,0.1188,0,2382900766,0,7.085,17681735357,0
2018-03-31,0,7.557,18902238600,0.1009,0,1907223106,0,8.2151,16995015494,0
2017-12-31,0,6.5103,18039384776,0.1162,0,2096169951,0,7.0564,15943214825,0
2017-09-30,0,8.3947,16535582432,0.0938,0,1551149881,0,9.2193,14984432551,0
2017-06-30,0,7.9047,15734595639,0.0989,0,1555497855,0,8.6472,14179097784,0
2017-03-31,0,7.2377,15302432917,0.1057,0,1617491952,0,8.0787,13684940964,0
2016-12-31,0,7.5475,14330058675,0.1016,0,1455666832,0,8.3474,12874391843,0
2016-09-30,0,7.4245,13632052456,0.1064,0.0007,1450927050,0,8.1315,12181125406,0
2016-06-30,0,8.3701,12732783471,0.0969,0.0008,1233993433,0,9.1776,11498790038,0
