date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2025-12-31,1.4559,11235378131,0.5136,8292383631
2025-09-30,1.5971,9110430290,0.9868,9809610927
2025-06-30,1.1802,4300453251,0.418,6438126234
2025-03-31,0.9821,555174089,-0.5575,4634969063
2024-12-31,1.1713,7422753039,-0.0289,5475457290
2024-09-30,1.4551,4585446009,0.0642,6297388932
2024-06-30,1.4405,3032754841,0.0547,6359563812
2024-03-31,1.9684,1254598909,4.8635,7043452913
2023-12-31,1.7868,7643665075,5.0412,6180057227
2023-09-30,0.8121,4308871181,0.9697,1575708442
2023-06-30,0.8162,2875348469,2.4011,1806632928
2023-03-31,0.3466,213969281,0.4452,-323727601
2022-12-31,0.3316,1265264632,-0.7001,-706700102
2022-09-30,0.8583,2187574452,-0.3747,1054713623
2022-06-30,0.9168,845422388,-0.4357,1159872440
2022-03-31,0.9932,148056762,-0.2571,2118037208
2021-12-31,0.9409,4218816053,0.2293,2570294168
2021-09-30,0.4704,3498310526,-0.1225,1440743912
2021-06-30,0.2459,1498280918,-0.5563,429923875
2021-03-31,0.3212,199284858,-0.8709,1293784581
2020-12-31,0.544,3431934805,-0.1008,2881162636
2020-09-30,0.8902,3986528888,0.5285,4575041202
2020-06-30,1.0315,3376609109,1.3247,5177723538
2020-03-31,0.9071,1543646194,2.6131,4389362429
2019-12-31,0.7166,3816832867,0.3758,3256685241
2019-09-30,0.6882,2608099283,0.2719,2835085124
2019-06-30,0.64,1452490117,0.0943,2428535508
2019-03-31,0.6319,427238760,-0.1379,2262413914
2018-12-31,0.6831,2774212734,0.089,2248657546
2018-09-30,0.605,2050607777,-0.0933,2198703654
2018-06-30,0.6912,1327383917,-0.0214,2315479164
2018-03-31,0.7036,495597950,-0.1871,2064976425
2017-12-31,0.7736,2547385417,-0.0175,2168666140
2017-09-30,0.9528,2261631041,0.1743,1916106028
2017-06-30,0.917,1356355457,0.0572,1625143026
2017-03-31,0.9533,609660638,0.0654,1552887967
2016-12-31,0.9842,2592628396,0.1385,1482238974
2016-09-30,1.0347,1925955962,0.2426,1807486601
2016-06-30,1.0238,1282953577,0.23,1773343363
