date,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-04-21,6.0390,0.0326,15.4408,9.4290,6.8940,0.0036,47.9862,0.1488,77.4896,61.8479,50.5108,6.0390,0.0326,15.4408,9.4290,6.8940,11.6987,0.3207,16.9929,12.8992,10.9899,49.9128,0.1570,83.3558,64.7588,52.0098
2026-04-20,6.1029,0.0326,15.4408,9.4290,6.8940,0.0035,48.4940,0.1488,77.4896,61.8479,50.5108,6.1029,0.0326,15.4408,9.4290,6.8940,11.8225,0.3207,16.9929,12.8992,10.9899,50.4410,0.1570,83.3558,64.7588,52.0098
2026-04-17,6.1019,0.0326,15.4408,9.4290,6.8940,0.0036,48.4854,0.1488,77.4896,61.8479,50.5108,6.1019,0.0326,15.4408,9.4290,6.8940,11.8204,0.3207,16.9929,12.8992,10.9899,50.4321,0.1570,83.3558,64.7588,52.0098
2026-04-16,6.2253,0.0326,15.4408,9.4290,6.8940,0.0035,49.4666,0.1488,77.4896,61.8479,50.5108,6.2253,0.0326,15.4408,9.4290,6.8940,12.0597,0.3207,16.9929,12.8992,10.9899,51.4527,0.1570,83.3558,64.7588,52.0098
2026-04-15,6.2535,0.0326,15.4408,9.4290,6.8940,0.0035,49.6904,0.1488,77.4896,61.8479,50.5108,6.2535,0.0326,15.4408,9.4290,6.8940,12.1142,0.3207,16.9929,12.8992,10.9899,51.6855,0.1570,83.3558,64.7588,52.0098
2026-04-14,6.0856,0.0326,15.4408,9.4290,6.8940,0.0036,48.3563,0.1488,77.4896,61.8479,50.5108,6.0856,0.0326,15.4408,9.4290,6.8940,11.7890,0.3207,16.9929,12.8992,10.9899,50.2978,0.1570,83.3558,64.7588,52.0098
2026-04-13,5.9795,0.0326,15.4408,9.4290,6.8940,0.0036,47.5128,0.1488,77.4896,61.8479,50.5108,5.9795,0.0326,15.4408,9.4290,6.8940,11.5833,0.3207,16.9929,12.8992,10.9899,49.4204,0.1570,83.3558,64.7588,52.0098
2026-04-10,6.1809,0.0326,15.4408,9.4290,6.8940,0.0035,49.1137,0.1488,77.4896,61.8479,50.5108,6.1809,0.0326,15.4408,9.4290,6.8940,11.9736,0.3207,16.9929,12.8992,10.9899,51.0856,0.1570,83.3558,64.7588,52.0098
2026-04-09,6.1701,0.0326,15.4408,9.4290,6.8940,0.0035,49.0277,0.1488,77.4896,61.8479,50.5108,6.1701,0.0326,15.4408,9.4290,6.8940,11.9526,0.3207,16.9929,12.8992,10.9899,50.9961,0.1570,83.3558,64.7588,52.0098
2026-04-08,6.2232,0.0326,15.4408,9.4290,6.8940,0.0035,49.4494,0.1488,77.4896,61.8479,50.5108,6.2232,0.0326,15.4408,9.4290,6.8940,12.0555,0.3207,16.9929,12.8992,10.9899,51.4348,0.1570,83.3558,64.7588,52.0098
2026-04-07,6.0791,0.0326,15.4408,9.4290,6.8940,0.0036,48.3046,0.1488,77.4896,61.8479,50.5108,6.0791,0.0326,15.4408,9.4290,6.8940,11.7764,0.3207,16.9929,12.8992,10.9899,50.2441,0.1570,83.3558,64.7588,52.0098
2026-04-03,6.1073,0.0326,15.4408,9.4290,6.8940,0.0035,48.5284,0.1488,77.4896,61.8479,50.5108,6.1073,0.0326,15.4408,9.4290,6.8940,11.8309,0.3207,16.9929,12.8992,10.9899,50.4768,0.1570,83.3558,64.7588,52.0098
2026-04-02,6.2145,0.0326,15.4408,9.4290,6.8940,0.0035,49.3806,0.1488,77.4896,61.8479,50.5108,6.2145,0.0326,15.4408,9.4290,6.8940,12.0387,0.3207,16.9929,12.8992,10.9899,51.3632,0.1570,83.3558,64.7588,52.0098
2026-04-01,6.2535,0.0326,15.4408,9.4290,6.8940,0.0035,49.6904,0.1488,77.4896,61.8479,50.5108,6.2535,0.0326,15.4408,9.4290,6.8940,12.1142,0.3207,16.9929,12.8992,10.9899,51.6855,0.1570,83.3558,64.7588,52.0098
2026-03-31,5.9816,0.0326,15.4408,9.4290,6.8940,0.0036,47.5300,0.1488,77.4896,61.8479,50.5108,5.9816,0.0326,15.4408,9.4290,6.8940,11.5875,0.3207,16.9929,12.8992,10.9899,49.4383,0.1570,83.3558,64.7588,52.0098
2026-03-30,6.0401,0.0326,15.4408,9.4290,6.8940,0.0036,47.9948,0.1488,77.4896,61.8479,50.5108,6.0401,0.0326,15.4408,9.4290,6.8940,11.7008,0.3207,16.9929,12.8992,10.9899,49.9218,0.1570,83.3558,64.7588,52.0098
2026-03-27,5.9773,0.0326,15.4408,9.4290,6.8940,0.0036,47.4955,0.1488,77.4896,61.8479,50.5108,5.9773,0.0326,15.4408,9.4290,6.8940,11.5791,0.3207,16.9929,12.8992,10.9899,49.4025,0.1570,83.3558,64.7588,52.0098
2026-03-26,5.5927,0.0326,15.4408,9.4290,6.8940,0.0039,44.4399,0.1488,77.4896,61.8479,50.5108,5.5927,0.0326,15.4408,9.4290,6.8940,10.8342,0.3207,16.9929,12.8992,10.9899,46.2242,0.1570,83.3558,64.7588,52.0098
2026-03-25,6.0344,0.0326,15.4408,9.4290,6.8940,0.0035,48.0807,0.1488,77.4896,61.8479,50.5108,6.0344,0.0326,15.4408,9.4290,6.8940,11.5892,0.3207,16.9929,12.8992,10.9899,50.2129,0.1570,83.3558,64.7588,52.0098
