date,市值(元),股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,2064899899850.7,0.0423,7.0177,,,,,0.7454,,,,,2.7721,,,,,7.0164,,,,,0.7425,,,,
2026-07-02,2092898542560.54,0.0417,7.1128,,,,,0.7555,,,,,2.8097,,,,,7.1116,,,,,0.7525,,,,
2026-07-01,2117397354931.65,0.0412,7.1961,,,,,0.7644,,,,,2.8426,,,,,7.1948,,,,,0.7614,,,,
2026-06-30,2124397015609.11,0.0411,7.2199,,,,,0.7669,,,,,2.8520,,,,,7.2186,,,,,0.7639,,,,
2026-06-29,2183894131367.52,0.0400,7.4221,,,,,0.7884,,,,,2.9318,,,,,7.4208,,,,,0.7853,,,,
2026-06-26,2166394979673.87,0.0403,7.3626,,,,,0.7820,,,,,2.9084,,,,,7.3613,,,,,0.7790,,,,
2026-06-25,2187393961706.25,0.0399,7.4340,,,,,0.7896,,,,,2.9365,,,,,7.4327,,,,,0.7865,,,,
2026-06-24,2218892434754.82,0.0394,7.5410,,,,,0.8010,,,,,2.9788,,,,,7.5397,,,,,0.7978,,,,
2026-06-23,2299388532545.61,0.0380,7.8146,,,,,0.8301,,,,,3.0869,,,,,7.8132,,,,,0.8268,,,,
2026-06-22,2239891416787.2,0.0390,7.6124,,,,,0.8086,,,,,3.0070,,,,,7.6110,,,,,0.8054,,,,
2026-06-18,2229391925771.0103,0.0392,7.5767,,,,,0.8048,,,,,2.9929,,,,,7.5754,,,,,0.8016,,,,
2026-06-17,2285389211190.69,0.0382,7.7670,,,,,0.8250,,,,,3.0681,,,,,7.7656,,,,,0.8218,,,,
2026-06-16,2313387853900.5303,0.0377,7.8622,,,,,0.8351,,,,,3.1057,,,,,7.8608,,,,,0.8318,,,,
2026-06-15,2337886666271.64,0.0374,7.9455,,,,,0.8440,,,,,3.1386,,,,,7.9440,,,,,0.8406,,,,
2026-06-12,2379884630336.4,0.0367,8.0882,,,,,0.8591,,,,,3.1950,,,,,8.0867,,,,,0.8557,,,,
2026-06-11,2337886666271.64,0.0374,7.9455,,,,,0.8440,,,,,3.1386,,,,,7.9440,,,,,0.8406,,,,
2026-06-10,2348386157287.83,0.0372,7.9811,,,,,0.8477,,,,,3.1527,,,,,7.9797,,,,,0.8444,,,,
2026-06-09,2309888023561.8,0.0378,7.8503,,,,,0.8338,,,,,3.1010,,,,,7.8489,,,,,0.8306,,,,
2026-06-08,2299388532545.61,0.0380,7.8146,,,,,0.8301,,,,,3.0869,,,,,7.8132,,,,,0.8268,,,,
2026-06-05,2225892095432.2803,0.0392,7.5648,,,,,0.8035,,,,,2.9882,,,,,7.5635,,,,,0.8004,,,,
2026-06-04,2204893113399.9,0.0396,7.4935,,,,,0.7959,,,,,2.9600,,,,,7.4921,,,,,0.7928,,,,
2026-06-03,2225892095432.2803,0.0392,7.5648,,,,,0.8035,,,,,2.9882,,,,,7.5635,,,,,0.8004,,,,
2026-06-02,2257390568480.85,0.0387,7.6719,,,,,0.8149,,,,,3.0305,,,,,7.6705,,,,,0.8117,,,,
2026-06-01,2271389889835.77,0.0384,7.7195,,,,,0.8199,,,,,3.0493,,,,,7.7181,,,,,0.8167,,,,
2026-05-29,2211892774077.36,0.0395,7.5173,,,,,0.7985,,,,,2.9694,,,,,7.5159,,,,,0.7953,,,,
