date,净资产收益率(ROE),净利润率,总资产收益率(ROA)
2026-03-31,0.0917,0.3967,0.0062
2025-12-31,0.0921,0.4026,0.0063
2025-09-30,0.0937,0.4017,0.0063
2025-06-30,0.0922,0.4009,0.0064
2025-03-31,0.0925,0.3992,0.0065
2024-12-31,0.0943,0.3978,0.0068
2024-09-30,0.0951,0.3952,0.0067
2024-06-30,0.0943,0.3916,0.0068
2024-03-31,0.0937,0.3884,0.0068
2023-12-31,0.0969,0.3883,0.0073
2023-09-30,0.0987,0.3881,0.0074
2023-06-30,0.1005,0.3747,0.0075
2023-03-31,0.0988,0.3673,0.0077
2022-12-31,0.1015,0.3569,0.0082
2022-09-30,0.1016,0.3405,0.008
2022-06-30,0.1036,0.3345,0.0081
2022-03-31,0.1026,0.3369,0.0083
2021-12-31,0.1045,0.3361,0.0086
2021-09-30,0.1059,0.3376,0.0085
2021-06-30,0.1056,0.3362,0.0083
2021-03-31,0.1014,0.3278,0.008
2020-12-31,0.1038,0.3289,0.0083
2020-09-30,0.0964,0.3029,0.0076
2020-06-30,0.1043,0.3105,0.0079
2020-03-31,0.1141,0.3357,0.0086
2019-12-31,0.1172,0.3394,0.009
2019-09-30,0.1195,0.3451,0.0089
2019-06-30,0.1264,0.3396,0.0091
2019-03-31,0.1285,0.3341,0.0091
2018-12-31,0.1306,0.3385,0.0093
2018-09-30,0.1345,0.3494,0.0094
2018-06-30,0.1369,0.3539,0.0094
2018-03-31,0.1388,0.3607,0.0094
2017-12-31,0.1404,0.3596,0.0095
2017-09-30,0.1396,0.3597,0.0095
2017-06-30,0.1434,0.3591,0.0096
2017-03-31,0.1409,0.3588,0.0096
2016-12-31,0.1453,0.3637,0.0099
2016-09-30,0.146,0.3525,0.0099
