date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-07-03,2064899899850.7,2.7721,,,,,0.7454,,,,,7.0177,,,,,0.7425,,,,,7.0164,,,,,0.0423
2026-07-02,2092898542560.54,2.8097,,,,,0.7555,,,,,7.1128,,,,,0.7525,,,,,7.1116,,,,,0.0417
2026-07-01,2117397354931.65,2.8426,,,,,0.7644,,,,,7.1961,,,,,0.7614,,,,,7.1948,,,,,0.0412
2026-06-30,2124397015609.11,2.8520,,,,,0.7669,,,,,7.2199,,,,,0.7639,,,,,7.2186,,,,,0.0411
2026-06-29,2183894131367.52,2.9318,,,,,0.7884,,,,,7.4221,,,,,0.7853,,,,,7.4208,,,,,0.0400
2026-06-26,2166394979673.87,2.9084,,,,,0.7820,,,,,7.3626,,,,,0.7790,,,,,7.3613,,,,,0.0403
2026-06-25,2187393961706.25,2.9365,,,,,0.7896,,,,,7.4340,,,,,0.7865,,,,,7.4327,,,,,0.0399
2026-06-24,2218892434754.82,2.9788,,,,,0.8010,,,,,7.5410,,,,,0.7978,,,,,7.5397,,,,,0.0394
2026-06-23,2299388532545.61,3.0869,,,,,0.8301,,,,,7.8146,,,,,0.8268,,,,,7.8132,,,,,0.0380
2026-06-22,2239891416787.2,3.0070,,,,,0.8086,,,,,7.6124,,,,,0.8054,,,,,7.6110,,,,,0.0390
2026-06-18,2229391925771.0103,2.9929,,,,,0.8048,,,,,7.5767,,,,,0.8016,,,,,7.5754,,,,,0.0392
2026-06-17,2285389211190.69,3.0681,,,,,0.8250,,,,,7.7670,,,,,0.8218,,,,,7.7656,,,,,0.0382
2026-06-16,2313387853900.5303,3.1057,,,,,0.8351,,,,,7.8622,,,,,0.8318,,,,,7.8608,,,,,0.0377
2026-06-15,2337886666271.64,3.1386,,,,,0.8440,,,,,7.9455,,,,,0.8406,,,,,7.9440,,,,,0.0374
2026-06-12,2379884630336.4,3.1950,,,,,0.8591,,,,,8.0882,,,,,0.8557,,,,,8.0867,,,,,0.0367
2026-06-11,2337886666271.64,3.1386,,,,,0.8440,,,,,7.9455,,,,,0.8406,,,,,7.9440,,,,,0.0374
2026-06-10,2348386157287.83,3.1527,,,,,0.8477,,,,,7.9811,,,,,0.8444,,,,,7.9797,,,,,0.0372
2026-06-09,2309888023561.8,3.1010,,,,,0.8338,,,,,7.8503,,,,,0.8306,,,,,7.8489,,,,,0.0378
2026-06-08,2299388532545.61,3.0869,,,,,0.8301,,,,,7.8146,,,,,0.8268,,,,,7.8132,,,,,0.0380
