date,资产负债率
2026-03-31,0.9353
2025-12-31,0.9335
2025-09-30,0.934
2025-06-30,0.9328
2025-03-31,0.9299
2024-12-31,0.9284
2024-09-30,0.9309
2024-06-30,0.9272
2024-03-31,0.9289
2023-12-31,0.9273
2023-09-30,0.9271
2023-06-30,0.9285
2023-03-31,0.9258
2022-12-31,0.9212
2022-09-30,0.9222
2022-06-30,0.9221
2022-03-31,0.918
2021-12-31,0.9167
2021-09-30,0.9197
2021-06-30,0.921
2021-03-31,0.9205
2020-12-31,0.9187
2020-09-30,0.9207
2020-06-30,0.9209
2020-03-31,0.9225
2019-12-31,0.9212
2019-09-30,0.9227
2019-06-30,0.9275
2019-03-31,0.9266
2018-12-31,0.9259
2018-09-30,0.928
2018-06-30,0.9284
2018-03-31,0.9324
2017-12-31,0.9321
2017-09-30,0.9326
2017-06-30,0.934
2017-03-31,0.9328
2016-12-31,0.9325
2016-09-30,0.9311
2016-06-30,0.9326
