date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.27,-0.4706,1310444000,34988057000
2025-12-31,1.17,-0.3352,5617745000,133895460000
2025-09-30,1.11,-0.3273,5321985000,100519599000
2025-06-30,1.06,-0.1167,5057571000,71552734000
2025-03-31,0.51,-0.1053,2453172000,32968196000
2024-12-31,1.76,-0.102,8424792000,121298752000
2024-09-30,1.65,0,7906403000,90044542000
2024-06-30,1.2,0.0435,5732446000,62487098000
2024-03-31,0.57,0.0179,2740979000,30578301000
2023-12-31,1.96,0.1462,9325753000,124250878000
2023-09-30,1.65,0.1458,7841166000,89393443000
2023-06-30,1.15,0.1979,5472153000,60704794000
2023-03-31,0.56,0.1915,2642269000,29142882000
2022-12-31,1.71,0.1633,8080295000,122954418000
2022-09-30,1.44,0.1429,6819991000,92559013000
2022-06-30,0.96,0.0909,4565826000,59818300000
2022-03-31,0.47,0,2216659000,27930271000
2021-12-31,1.47,0.5978,6812941000,114521641000
2021-09-30,1.26,1.1356,5852907000,83825169000
2021-06-30,0.88,1.2,4078613000,53070970000
2021-03-31,0.47,1.6111,2181649000,26241647000
2020-12-31,0.92,-0.2459,4259752000,101450670000
2020-09-30,0.59,-0.398,2712049000,74129424000
2020-06-30,0.4,0.1429,1857289000,47199373000
2020-03-31,0.18,-0.1429,779988000,21484493000
2019-12-31,1.22,-0.2695,5147877000,90736582000
2019-09-30,0.98,1.5665,4127850000,64240698000
2019-06-30,0.35,1.1872,1470699000,44609219000
2019-03-31,0.21,1.1628,862604000,22201814000
2018-12-31,-1.67,-2.5321,-6983662000,85513150000
2018-09-30,-1.73,-2.8602,-7259723000,58766186000
2018-06-30,-1.87,-4.4,-7824190000,39433777000
2018-03-31,-1.29,-5.4483,-5407237000,27526342000
2017-12-31,1.09,0.9123,4568172000,108815273000
2017-09-30,0.93,0.3478,3904652000,76579739000
2017-06-30,0.55,0.2791,2292867000,54010596000
2017-03-31,0.29,0.2609,1213607000,25744612000
2016-12-31,-0.57,-1.7308,-2357418000,101233182000
2016-09-30,0.69,0.0952,2858887000,71564004000
2016-06-30,0.43,0.1026,1766397000,47757302000
