date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2026-03-31,-1978648000,-2.0688,-3656127000,0.0201
2025-12-31,3918746000,-0.6586,102987000,0.7042
2025-09-30,1777478000,-0.7792,1072913000,0.8898
2025-06-30,1299408000,-0.8144,1864599000,0.7503
2025-03-31,1851253000,-0.3793,6432601000,1.2842
2024-12-31,11479844000,-0.3405,8000550000,1.3739
2024-09-30,8049065000,-0.131,12930626000,1.7354
2024-06-30,7000399000,0.0894,14343673000,1.881
2024-03-31,2982601000,0.2825,14538442000,1.924
2023-12-31,17405699000,1.297,13505502000,1.8836
2023-09-30,9262015000,1.4878,8961189000,1.4807
2023-06-30,6425897000,0.8362,6000252000,1.2161
2023-03-31,2325584000,0.9589,3602301000,1.0413
2022-12-31,7577700000,-0.5181,2649957000,0.9725
2022-09-30,3723015000,-0.6667,3575949000,1.0982
2022-06-30,3499634000,-0.5021,7381871000,1.7342
2022-03-31,1187207000,-0.5029,9751012000,2.0786
2021-12-31,15723527000,0.5366,10257780000,2.2348
2021-09-30,11171178000,1.8874,11203319000,2.278
2021-06-30,7028435000,2.444,8499014000,2.1903
2021-03-31,2388242000,5.4138,5376089000,2.0426
2020-12-31,10232651000,0.3741,3770397000,2.1672
2020-09-30,3868898000,0.3317,2444676000,2.0152
2020-06-30,2040770000,0.6112,5087285000,1.31
2020-03-31,372361000,-0.7045,1839314000,1.1976
2019-12-31,7446554000,-0.1919,2779636000,1.2891
2019-09-30,2905228000,1.2842,-675392000,0.7552
2019-06-30,1266617000,1.251,-9623292000,-1.0608
2019-03-31,1259978000,8.3619,-12452667000,14.6632
2018-12-31,-9215386000,-2.2764,-13722310000,1.3261
2018-09-30,-10222894000,-2.2244,-4734721000,-0.0269
2018-06-30,-5046386000,-0.1996,431098000,-1.2715
2018-03-31,-171149000,0.8238,1706622000,-6.4663
2017-12-31,7219974000,0.588,1364685000,1.3404
2017-09-30,-3170483000,-3.6002,-4729672000,-1.6267
2017-06-30,-4206552000,-2.7863,-5564389000,1.2358
2017-03-31,-971165000,-1.2461,-3514230000,-0.2983
2016-12-31,5260206000,-0.2896,1356366000,-3.7363
2016-09-30,1219302000,2.4377,5443132000,1.9383
2016-06-30,2354931000,0.5617,5568565000,2.0144
