日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2026-07-03,=61.8400,=61.8400,=61.8400,=61.8400,=107724357718.24,=96297457761.0,=53449485475.84,,=0.0176
2026-07-02,=60.3800,=60.3800,=60.3800,=60.3800,=105181059492.68,=94023940809.0,=52187579770.88,,=0.0181
2026-07-01,=61.1500,=61.1500,=61.1500,=61.1500,=106522388008.9,=95222987421.0,=52853105382.4,,=0.0178
2026-06-30,=61.2500,=61.2500,=61.2500,=61.2500,=106696586517.5,=95378707760.0,=52939537280.0,,=0.0178
2026-06-29,=60.7200,=60.7200,=60.7200,=60.7200,=105773334421.92,=94553389962.0,=52481448222.72,,=0.0179
2026-06-26,=59.8000,=59.8000,=59.8000,=59.8000,=104170708142.8,=93120762842.0,=51686274764.8,,=0.0182
2026-06-25,=62.7000,=62.7000,=62.7000,=62.7000,=109222464892.2,=97636652678.0,=54192799795.2,,=0.0174
2026-06-24,=61.8000,=61.8000,=61.8000,=61.8000,=107654678314.8,=96235169626.0,=53414912716.8,,=0.0176
2026-06-23,=63.0000,=63.0000,=63.0000,=63.0000,=109745060418.0,=98103813696.0,=54452095488.0,,=0.0173
2026-06-22,=65.3000,=65.3000,=65.3000,=65.3000,=113751626115.8,=101685381498.0,=56440029132.8,,=0.0167
2026-06-18,=64.8100,=64.8100,=64.8100,=64.8100,=112898053423.66,=100922351836.0,=56016512834.56,,=0.0168
2026-06-17,=66.1400,=66.1400,=66.1400,=66.1400,=115214893588.04,=102993432347.0,=57166057072.64,,=0.0165
2026-06-16,=68.7800,=68.7800,=68.7800,=68.7800,=119813734215.08,=107104449302.0,=59447859169.28,,=0.0158
2026-06-15,=68.2000,=68.2000,=68.2000,=68.2000,=118803382865.2,=106201271334.0,=58946554163.2,,=0.0160
2026-06-12,=68.6700,=68.6700,=68.6700,=68.6700,=119622115855.62,=106933156929.0,=59352784081.92,,=0.0159
2026-06-11,=67.7100,=67.7100,=67.7100,=67.7100,=117949810173.06,=105438241672.0,=58523037864.96,,=0.0161
2026-06-10,=68.8800,=68.8800,=68.8800,=68.8800,=119987932723.68,=107260169641.0,=59534291066.88,,=0.0158
2026-06-09,=71.7100,=71.7100,=71.7100,=71.7100,=124917750517.06,=111667055240.0,=61980313768.96,,=0.0152
2026-06-08,=72.9000,=72.9000,=72.9000,=72.9000,=126990712769.4,=113520127277.0,=63008853350.4,,=0.0150
2026-06-05,=75.0100,=75.0100,=75.0100,=75.0100,=130666301300.86,=116805826434.0,=64832566389.76,,=0.0145
