date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,199020566345.44,28.2470,,,,,0.0399,5.3292,,,,,5.3454,,,,,6.7266,,,,,27.3386,,,,
2026-07-02,196387245120.64,27.8733,,,,,0.0405,5.2587,,,,,5.2746,,,,,6.6376,,,,,26.9769,,,,
2026-07-01,195919099125.12,27.8068,,,,,0.0406,5.2462,,,,,5.2621,,,,,6.6218,,,,,26.9126,,,,
2026-06-30,194046515143.04,27.5410,,,,,0.0410,5.1960,,,,,5.2118,,,,,6.5585,,,,,26.6554,,,,
2026-06-29,199430194091.52,28.3051,,,,,0.0399,5.3402,,,,,5.3564,,,,,6.7405,,,,,27.3949,,,,
2026-06-26,192993186653.12,27.3915,,,,,0.0412,5.1678,,,,,5.1835,,,,,6.5229,,,,,26.5107,,,,
2026-06-25,198493902100.48,28.1723,,,,,0.0401,5.3151,,,,,5.3312,,,,,6.7088,,,,,27.2663,,,,
2026-06-24,204872391289.44,29.0776,,,,,0.0388,5.4859,,,,,5.5025,,,,,6.9244,,,,,28.1425,,,,
2026-06-23,200015376585.92,28.3882,,,,,0.0397,5.3558,,,,,5.3721,,,,,6.7603,,,,,27.4753,,,,
2026-06-22,193344296149.76,27.4414,,,,,0.0411,5.1772,,,,,5.1929,,,,,6.5348,,,,,26.5589,,,,
2026-06-18,189833201183.36,26.9430,,,,,0.0419,5.0832,,,,,5.0986,,,,,6.4161,,,,,26.0766,,,,
2026-06-17,194982807134.08,27.6739,,,,,0.0408,5.2211,,,,,5.2369,,,,,6.5902,,,,,26.7840,,,,
2026-06-16,197733164857.76,28.0643,,,,,0.0402,5.2947,,,,,5.3108,,,,,6.6831,,,,,27.1618,,,,
