date,应收账款,流动比率,负债合计,长期负债合计,资产负债率,所有者权益合计,流动资产合计,货币资金,有息负债率,资产合计,流动负债合计,速动比率
2026-03-31,301606360,6.3081,5846594038,0,0.1209,42531916383,0,239924822704,0.0075,48378510421,1275586424,5.9149
2025-12-31,295624145,3.8549,10344267800,0,0.1982,41839677126,0,216634559426.88,0.0054,52183944926,4128488830,3.5976
2025-09-30,266501265,4.7819,7284229410,4000000,0.1538,40063893167,0,227987099818.24,0.0047,47348122577,1359812218,4.5172
2025-06-30,276170077,5.8279,7107189714,8000000,0.1518,39701512656,0,227220090614.04,0.0042,46808702370,1184044540,5.5609
2025-03-31,273247486,5.3543,6460456506,12500000,0.1612,33608546888,0,225649170075.52,0.0047,40069003394,1377465441,5.059
2024-12-31,242260970,3.6549,9456491552,33200000,0.2314,31401943584,0,255231564969.6,0.0094,40858435136,4335313047,3.37
2024-09-30,257514614,4.9189,6127219461,43750000,0.1702,29880919714,0,267854128204.48,0.0113,36008139175,1681110357,4.5783
2024-06-30,195523273,4.3944,6638512493,49750000,0.1888,28530756390,0,191673900751.68,0.0194,35169268883,1446625133,4.0887
2024-03-31,183149481,5.0043,6294143916,67914300,0.1701,30703509015,0,219143267439.04,0.0187,36997652930,1859181087,4.6552
2023-12-31,223149082,3.4438,9390542814,70270400,0.2444,29032975592,0,211024790644.8,0.0129,38423518406,4527027103,3.1486
2023-09-30,185836215,4.3663,6830723958,196579954,0.1962,27979661997,0,211247214666.56,0.0181,34810385955,2007347898,4.0282
2023-06-30,136321659,4.4324,6326709144,164057663,0.1913,26744276918,0,260514135486.4,0.0085,33070986062,1950092584,4.1152
2023-03-31,143012358,5.0197,5949873533,119137942,0.1722,28608169297,0,354673638056.98,0.0083,34558042830,2251878470,4.6406
2022-12-31,188395321,4.0144,7174696439,93653456,0.2107,26884479411,0,368853169445.2,0.0081,34059175850,2948110991,3.6546
2022-09-30,193581701,3.8021,7330828932,50930931,0.2243,25351721977,0,383774114239.34,0.0063,32682550909,2685557832,3.4706
2022-06-30,128006228,3.3642,7975257171,0,0.2488,24074306038,0,418713220993.32,0.0064,32049563209,2829327517,3.0959
2022-03-31,83097429,4.2305,6497923271,0,0.2031,25499169073,0,368263408781.4,0.005,31997092344,2629528986,3.8649
2021-12-31,56045139,2.9102,9837875983,0,0.2951,23499848566,0,442783881228.7,0.0054,33337724550,4708621289,2.6735
2021-09-30,46259551,3.3976,7200818079,0,0.2506,21538049010,0,463383378700,0.0065,28738867089,2787539771,3.1798
2021-06-30,28320368,3.5859,6197073545,0,0.2349,20183388374,0,543211697121.5,0.0074,26380461919,2317835221,3.2737
2021-03-31,23070681,3.5698,7030684192,0,0.2412,22121791011,0,517822824638.4,0.0076,29152475203,2475264426,3.3024
2020-12-31,41492650,2.6651,9367585494,0,0.3172,20166034545,0,649838480932.32,0.0031,29533620039,4451535500,2.4321
2020-09-30,43322608,3.0373,6853062315,0,0.2721,18334197491,0,525275844016.8,0.0049,25187259806,2597473083,2.8235
2020-06-30,52353898,2.878,6625628452,0,0.2803,17012880655,0,403111135324,0.0048,23638509108,2542195480,2.6424
2020-03-31,46412639,3.0109,6958614287,0,0.2756,18292233290,0,338005230287.8,0.0052,25250847577,2513727898,2.7871
2019-12-31,2463315,2.5405,8156181317,0,0.3295,16597706782,0,290316707743.4,0.0008,24753888099,0,2.3122
2019-09-30,2427247,2.9924,5549137717,0,0.269,15078757323,0,296797594159.4,0.001,20627895039,0,2.801
2019-06-30,2268816,3.2668,4472892261,0,0.2422,13992926149,0,283538780700,0.0011,18465818410,0,3.015
2019-03-31,2991825,3.3704,4856306413,0,0.2402,15365470659,0,234122021778,0.001,20221777072,0,3.1311
2018-12-31,2444555,2.5711,6255962713,0,0.3106,13887826141,0,185785410592,0.001,20143788853,0,2.3726
2018-09-30,2517864,3.1735,3974499614,0,0.2396,12613400192,0,213935570640,0.0009,16587899806,0,2.9694
2018-06-30,2520521,3.3072,3356019344,0,0.2225,11730167160,0,198916861388,0.0009,15086186504,0,3.1118
2018-03-31,4760419,3.6141,3414461006,0,0.2084,12966822422,0,153320492292,0.0008,16381283428,0,3.4222
2017-12-31,2466645,2.6127,4571838748,0,0.2799,11764173508,0,145324920460,0,16336012256,0,2.378
2017-09-30,3665368,3.2183,2812698959,0,0.2076,10737317525,0,128187613673,0.0004,13550016485,0,2.9224
2017-06-30,2535359,3.3093,2391055813,0,0.1927,10016423414,0,110307889546,0.0011,12407479227,0,3.0002
2017-03-31,3151968,3.916,2233102259,0,0.1687,11001383685,0,94159333867,0.0013,13234485944,0,3.5367
2016-12-31,0,2.5938,3449823565,0,0.2562,10013769433,0,79336204031,0,13463592998,0,2.3126
2016-09-30,0,3.3829,1984722904,0,0.1776,9189712657,0,82122303252,0,11174435560,0,2.9723
