date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,199020566345.44,5.3454,,,,,27.3386,,,,,28.2470,,,,,5.3292,,,,,0.0399,6.7266,,,,
2026-07-02,196387245120.64,5.2746,,,,,26.9769,,,,,27.8733,,,,,5.2587,,,,,0.0405,6.6376,,,,
2026-07-01,195919099125.12,5.2621,,,,,26.9126,,,,,27.8068,,,,,5.2462,,,,,0.0406,6.6218,,,,
2026-06-30,194046515143.04,5.2118,,,,,26.6554,,,,,27.5410,,,,,5.1960,,,,,0.0410,6.5585,,,,
2026-06-29,199430194091.52,5.3564,,,,,27.3949,,,,,28.3051,,,,,5.3402,,,,,0.0399,6.7405,,,,
2026-06-26,192993186653.12,5.1835,,,,,26.5107,,,,,27.3915,,,,,5.1678,,,,,0.0412,6.5229,,,,
2026-06-25,198493902100.48,5.3312,,,,,27.2663,,,,,28.1723,,,,,5.3151,,,,,0.0401,6.7088,,,,
2026-06-24,204872391289.44,5.5025,,,,,28.1425,,,,,29.0776,,,,,5.4859,,,,,0.0388,6.9244,,,,
2026-06-23,200015376585.92,5.3721,,,,,27.4753,,,,,28.3882,,,,,5.3558,,,,,0.0397,6.7603,,,,
2026-06-22,193344296149.76,5.1929,,,,,26.5589,,,,,27.4414,,,,,5.1772,,,,,0.0411,6.5348,,,,
2026-06-18,189833201183.36,5.0986,,,,,26.0766,,,,,26.9430,,,,,5.0832,,,,,0.0419,6.4161,,,,
2026-06-17,194982807134.08,5.2369,,,,,26.7840,,,,,27.6739,,,,,5.2211,,,,,0.0408,6.5902,,,,
2026-06-16,197733164857.76,5.3108,,,,,27.1618,,,,,28.0643,,,,,5.2947,,,,,0.0402,6.6831,,,,
2026-06-15,199781303588.16,5.3658,,,,,27.4431,,,,,28.3550,,,,,5.3496,,,,,0.0398,6.7523,,,,
2026-06-12,207915340260.32,4.9611,,,,,28.5605,,,,,29.5094,,,,,4.9477,,,,,0.0382,7.0273,,,,
2026-06-11,205808683280.48,4.9108,,,,,28.2711,,,,,29.2104,,,,,4.8976,,,,,0.0386,6.9561,,,,
2026-06-10,205399055534.4,4.9010,,,,,28.2148,,,,,29.1523,,,,,4.8878,,,,,0.0387,6.9422,,,,
2026-06-09,204170172296.16,4.8717,,,,,28.0460,,,,,28.9779,,,,,4.8586,,,,,0.0389,6.9007,,,,
2026-06-08,199371675842.08,4.7572,,,,,27.3869,,,,,28.2968,,,,,4.7444,,,,,0.0399,6.7385,,,,
