date,总资产收益率(ROA),净利润率,毛利率(GM),净资产收益率(ROE),资本回报率(ROIC)
2026-03-31,0.1647,0.2461,0.4081,0.1913,0.1903
2025-12-31,0.1514,0.244,0.4022,0.1924,0.1913
2025-09-30,0.1645,0.2438,0.3944,0.1961,0.195
2025-06-30,0.1662,0.2435,0.3876,0.1997,0.1978
2025-03-31,0.1722,0.2411,0.3783,0.2063,0.2043
2024-12-31,0.1603,0.2363,0.37,0.2103,0.2081
2024-09-30,0.1732,0.2331,0.3579,0.212,0.209
2024-06-30,0.176,0.2332,0.3531,0.2172,0.2143
2024-03-31,0.1634,0.2313,0.3491,0.1971,0.1945
2023-12-31,0.1557,0.2297,0.3474,0.2018,0.1995
2023-09-30,0.174,0.2333,0.3512,0.2201,0.2173
2023-06-30,0.1816,0.2361,0.3529,0.2327,0.2311
2023-03-31,0.1832,0.2402,0.3532,0.2253,0.2242
2022-12-31,0.1841,0.2422,0.3568,0.2462,0.2448
2022-09-30,0.216,0.2541,0.3675,0.2829,0.2816
2022-06-30,0.2297,0.2561,0.3731,0.3033,0.3014
2022-03-31,0.2141,0.2613,0.3787,0.2749,0.2735
2021-12-31,0.2122,0.2668,0.3866,0.3056,0.304
2021-09-30,0.2426,0.276,0.3959,0.3281,0.3257
2021-06-30,0.2602,0.2766,0.4029,0.3499,0.3474
2021-03-31,0.2482,0.2805,0.4091,0.3341,0.3314
2020-12-31,0.2361,0.2812,0.4217,0.3487,0.3478
2020-09-30,0.2661,0.2764,0.4361,0.3649,0.3636
2020-06-30,0.2784,0.276,0.4435,0.378,0.3766
2020-03-31,0.2416,0.272,0.4546,0.3264,0.3251
2019-12-31,0.2386,0.2706,0.4544,0.3514,0.351
2019-09-30,0.2725,0.2649,0.4495,0.3663,0.3659
2019-06-30,0.2903,0.2636,0.4528,0.3786,
2019-03-31,0.2536,0.2603,0.4619,0.3276,
2018-12-31,0.2394,0.2563,0.4647,0.3405,0.3402
2018-09-30,0.2738,0.2508,0.465,0.3534,
2018-06-30,0.2879,0.2495,0.4685,0.364,
2018-03-31,0.2539,0.2462,0.4627,0.3137,
2017-12-31,0.237,0.2421,0.4569,0.3243,
2017-09-30,0.2703,0.233,0.4481,0.3354,
2017-06-30,0.2779,0.2316,0.444,0.3409,
2017-03-31,0.2451,0.2307,0.44,0.3175,
2016-12-31,0.2278,0.2282,0.4395,0.303,
2016-09-30,0.2579,0.2232,0.4287,0.3137,
