日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-03,=126.1600,=126.1600,=126.1600,=126.1600,=261556353251.84,=200282554432.0,=180643034837.84,,=21.9309,,,,
2026-07-02,=127.8400,=127.8400,=127.8400,=127.8400,=265039348444.16,=202949601764.0,=183048554008.16,,=22.2229,,,,
2026-07-01,=136.9200,=136.9200,=136.9200,=136.9200,=283864108174.08,=217364357584.0,=196049812381.08,,=23.8013,,,,
2026-06-30,=159.0200,=159.0200,=159.0200,=159.0200,=329682080644.4801,=252448730229.0,=227693844323.98,,=27.6431,,,,
2026-06-29,=155.6400,=155.6400,=155.6400,=155.6400,=322674626031.36,=247082885001.0,=222854168850.36,,=27.0555,,,,
2026-06-26,=151.0500,=151.0500,=151.0500,=151.0500,=313158585595.2,=239796130683.0,=216281946831.45,,=26.2576,,,,
2026-06-25,=152.6600,=152.6600,=152.6600,=152.6600,=316496455987.84,=242352051043.0,=218587236036.34,,=26.5375,,,,
2026-06-24,=154.8000,=154.8000,=154.8000,=154.8000,=320933128435.2,=245749361335.0,=221651409265.2,,=26.9095,,,,
2026-06-23,=152.0000,=152.0000,=152.0000,=152.0000,=315128136448.0,=241304282448.0,=217642210648.0,,=26.4228,,,,
2026-06-22,=163.4600,=163.4600,=163.4600,=163.4600,=338887139367.0401,=259497355322.0,=234051287845.54,,=28.4149,,,,
2026-06-18,=146.9800,=146.9800,=146.9800,=146.9800,=304720615099.52,=233334891015.0,=210454290270.02,,=25.5501,,,,
2026-06-17,=149.1500,=149.1500,=149.1500,=149.1500,=309219483889.6001,=236779827152.0,=213561419198.35,,=25.9273,,,,
2026-06-16,=152.4900,=152.4900,=152.4900,=152.4900,=316144010045.76,=242082171253.0,=218343820406.01,,=26.5079,,,,
2026-06-15,=149.1000,=149.1000,=149.1000,=149.1000,=309115823318.4,=236700450743.0,=213489826365.9,,=25.9186,,,,
2026-06-12,=148.7600,=148.7600,=148.7600,=148.7600,=308410931434.24,=236160691164.0,=213002995105.24,,=25.8595,,,,
2026-06-11,=146.7500,=146.7500,=146.7500,=146.7500,=304243776472.0,=232969759535.0,=210124963240.75,,=25.5101,,,,
2026-06-10,=143.5500,=143.5500,=143.5500,=143.5500,=297609499915.2,=227889669378.0,=205543021963.95,,=24.9539,,,,
2026-06-09,=152.5000,=152.5000,=152.5000,=152.5000,=316164742160.0,=242098046535.0,=218358138972.5,,=26.5097,,,,
2026-06-08,=146.8000,=146.8000,=146.8000,=146.8000,=304347437043.2,=233049135943.0,=210196556073.2,,=25.5188,,,,
2026-06-05,=153.7500,=153.7500,=153.7500,=153.7500,=318756256440.0,=244082456753.0,=220147959783.75,,=26.7270,,,,
