date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-07-03,137267154534.0,4.4083,,,,,3.0491,,,,,19.8149,,,,,3.0462,,,,,17.3535,,,,,0.0188
2026-07-02,133472121438.06,4.2865,,,,,2.9648,,,,,19.2671,,,,,2.9620,,,,,16.8737,,,,,0.0194
2026-07-01,136217464528.74,4.3746,,,,,3.0257,,,,,19.6633,,,,,3.0229,,,,,17.2208,,,,,0.0190
2026-06-30,141869641480.14,4.5562,,,,,3.1513,,,,,20.4793,,,,,3.1484,,,,,17.9353,,,,,0.0182
2026-06-29,147441073046.52,4.7351,,,,,3.2751,,,,,21.2835,,,,,3.2720,,,,,18.6397,,,,,0.0175
2026-06-26,157937973099.12,5.0722,,,,,3.5082,,,,,22.7988,,,,,3.5050,,,,,19.9667,,,,,0.0164
2026-06-25,174410031643.2,5.6012,,,,,3.8741,,,,,25.1765,,,,,3.8705,,,,,22.0491,,,,,0.0148
2026-06-24,176913138578.82,5.6816,,,,,3.9297,,,,,25.5379,,,,,3.9261,,,,,22.3656,,,,,0.0146
2026-06-23,160844806959.84,5.1655,,,,,3.5728,,,,,23.2184,,,,,3.5695,,,,,20.3342,,,,,0.0161
2026-06-22,152205050762.7,4.8881,,,,,3.3809,,,,,21.9712,,,,,3.3777,,,,,19.2419,,,,,0.0170
2026-06-18,138397589924.28,4.4446,,,,,3.0742,,,,,19.9781,,,,,3.0713,,,,,17.4964,,,,,0.0187
2026-06-17,138074608384.2,4.4343,,,,,3.0670,,,,,19.9314,,,,,3.0642,,,,,17.4556,,,,,0.0187
2026-06-16,132260940662.76,4.2476,,,,,2.9379,,,,,19.0922,,,,,2.9351,,,,,16.7206,,,,,0.0195
2026-06-15,138559080694.32,4.4498,,,,,3.0778,,,,,20.0014,,,,,3.0749,,,,,17.5168,,,,,0.0186
2026-06-12,125962800631.2,4.0453,,,,,2.7980,,,,,18.1831,,,,,2.7954,,,,,15.9244,,,,,0.0205
2026-06-11,116434845198.84,3.7393,,,,,2.5863,,,,,16.8077,,,,,2.5839,,,,,14.7198,,,,,0.0222
2026-06-10,118049752899.24,3.7912,,,,,2.6222,,,,,17.0408,,,,,2.6198,,,,,14.9240,,,,,0.0219
2026-06-09,115869627503.7,3.7212,,,,,2.5738,,,,,16.7261,,,,,2.5714,,,,,14.6484,,,,,0.0223
2026-06-08,114173974418.28,3.6667,,,,,2.5361,,,,,16.4813,,,,,2.5338,,,,,14.4340,,,,,0.0226
2026-06-05,119503169829.6,3.8379,,,,,2.6545,,,,,17.2506,,,,,2.6520,,,,,15.1077,,,,,0.0216
2026-06-04,120795095989.92,3.8793,,,,,2.6832,,,,,17.4371,,,,,2.6807,,,,,15.2711,,,,,0.0214
2026-06-03,122167767535.26,3.9234,,,,,2.7137,,,,,17.6352,,,,,2.7111,,,,,15.4446,,,,,0.0212
2026-06-02,125074601395.98,4.0168,,,,,2.7782,,,,,18.0548,,,,,2.7757,,,,,15.8121,,,,,0.0207
2026-06-01,125397582936.06,4.0271,,,,,2.7854,,,,,18.1015,,,,,2.7828,,,,,15.8529,,,,,0.0206
2026-05-29,128062180641.72,4.1127,,,,,2.8446,,,,,18.4861,,,,,2.8420,,,,,16.1898,,,,,0.0202
2026-05-28,129919324497.18,4.1724,,,,,2.8859,,,,,18.7542,,,,,2.8832,,,,,16.4246,,,,,0.0199
2026-05-27,131534232197.58,4.2242,,,,,2.9217,,,,,18.9873,,,,,2.9190,,,,,16.6287,,,,,0.0196
2026-05-26,139366534544.52,4.4758,,,,,3.0957,,,,,20.1179,,,,,3.0928,,,,,17.6189,,,,,0.0185
2026-05-25,143484549180.54,4.6080,,,,,3.1872,,,,,20.7124,,,,,3.1842,,,,,18.1395,,,,,0.0180
