date,净资产收益率(ROE),净利润率,总资产收益率(ROA)
2026-03-31,0.0955,0.4383,0.0076
2025-12-31,0.0967,0.4465,0.0079
2025-09-30,0.0965,0.4473,0.0078
2025-06-30,0.0976,0.4402,0.0079
2025-03-31,0.0998,0.4506,0.0081
2024-12-31,0.1032,0.4483,0.0085
2024-09-30,0.1038,0.4453,0.0085
2024-06-30,0.1063,0.4371,0.0084
2024-03-31,0.1061,0.4325,0.0086
2023-12-31,0.1099,0.4319,0.0091
2023-09-30,0.1123,0.4253,0.0092
2023-06-30,0.1166,0.4178,0.0091
2023-03-31,0.1146,0.407,0.0094
2022-12-31,0.1177,0.3929,0.01
2022-09-30,0.1184,0.3823,0.0099
2022-06-30,0.1211,0.3692,0.0098
2022-03-31,0.1195,0.3676,0.0101
2021-12-31,0.1215,0.3687,0.0104
2021-09-30,0.1222,0.3698,0.0102
2021-06-30,0.1212,0.3687,0.01
2021-03-31,0.1147,0.3612,0.0098
2020-12-31,0.1183,0.3619,0.0102
2020-09-30,0.1109,0.3383,0.0094
2020-06-30,0.1155,0.3443,0.0097
2020-03-31,0.1236,0.374,0.0106
2019-12-31,0.1274,0.3815,0.0111
2019-09-30,0.1311,0.3839,0.0112
2019-06-30,0.1341,0.3878,0.0112
2019-03-31,0.1323,0.3915,0.011
2018-12-31,0.135,0.388,0.0113
2018-09-30,0.1405,0.3943,0.0113
2018-06-30,0.1437,0.3931,0.0113
2018-03-31,0.1412,0.3903,0.0111
2017-12-31,0.1439,0.3919,0.0113
2017-09-30,0.1463,0.397,0.0113
2017-06-30,0.1508,0.4008,0.0115
2017-03-31,0.1485,0.3992,0.0115
2016-12-31,0.1532,0.3841,0.0118
2016-09-30,0.1572,0.3731,0.0119
2016-06-30,0.1636,0.3677,0.0121
