date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-08,2702331940471.47,0.0376,3.4546,0.9884,2.8822,2.3938,1.9504,0.7618,0.5701,0.9442,0.7286,0.5963,7.9051,0.9752,7.0807,6.2845,5.0781
2026-06-05,2673555898510.98,0.0380,3.4178,0.9827,2.8800,2.3936,1.9504,0.7537,0.5573,0.9442,0.7287,0.5963,7.8209,0.9707,7.0768,6.2843,5.0781
2026-06-04,2623851826033.77,0.0388,3.3543,0.9674,2.8789,2.3935,1.9504,0.7397,0.5270,0.9442,0.7286,0.5963,7.6755,0.9592,7.0768,6.2833,5.0781
2026-06-03,2631699837477.54,0.0386,3.3643,0.9695,2.8789,2.3934,1.9504,0.7419,0.5347,0.9442,0.7286,0.5963,7.6985,0.9620,7.0734,6.2822,5.0781
2026-06-02,2663091883252.62,0.0382,3.4045,0.9802,2.8772,2.3927,1.9501,0.7507,0.5524,0.9442,0.7286,0.5963,7.7903,0.9699,7.0712,6.2814,5.0781
2026-06-01,2636931845106.72,0.0386,3.3710,0.9728,2.8756,2.3927,1.9497,0.7434,0.5363,0.9442,0.7286,0.5963,7.7138,0.9653,7.0712,6.2814,5.0781
2026-05-29,2605539799331.64,0.0390,3.3309,0.9625,2.8745,2.3910,1.9461,0.7345,0.5181,0.9442,0.7287,0.5963,7.6220,0.9542,7.0710,6.2799,5.0781
2026-05-28,2639547848921.31,0.0385,3.3744,0.9736,2.8745,2.3906,1.9461,0.7441,0.5381,0.9442,0.7286,0.5963,7.7215,0.9666,7.0684,6.2776,5.0781
2026-05-27,2673555898510.98,0.0380,3.4178,0.9831,2.8745,2.3902,1.9461,0.7537,0.5553,0.9442,0.7286,0.5963,7.8209,0.9711,7.0633,6.2752,5.0781
2026-05-26,2697099932842.29,0.0377,3.4479,0.9872,2.8745,2.3898,1.9461,0.7603,0.5644,0.9442,0.7286,0.5963,7.8898,0.9740,7.0633,6.2716,5.0781
2026-05-25,2652627867994.2603,0.0383,3.3911,0.9790,2.8744,2.3898,1.9448,0.7478,0.5470,0.9442,0.7286,0.5963,7.7597,0.9699,7.0614,6.2716,5.0781
2026-05-22,2642163852735.9,0.0385,3.3777,0.9753,2.8744,2.3898,1.9441,0.7448,0.5392,0.9442,0.7287,0.5963,7.7291,0.9683,7.0614,6.2661,5.0781
2026-05-21,2629083833662.95,0.0387,3.3610,0.9715,2.8743,2.3886,1.9441,0.7411,0.5328,0.9442,0.7286,0.5963,7.6908,0.9645,7.0613,6.2640,5.0781
2026-05-20,2576763757371.15,0.0395,3.2941,0.9563,2.8722,2.3874,1.9441,0.7264,0.4893,0.9442,0.7286,0.5963,7.5378,0.9398,7.0606,6.2620,5.0781
2026-05-19,2597691787887.87,0.0391,3.3209,0.9620,2.8702,2.3873,1.9441,0.7323,0.5116,0.9442,0.7287,0.5963,7.5990,0.9513,7.0555,6.2620,5.0781
2026-05-18,2553219723039.84,0.0398,3.2640,0.9509,2.8665,2.3857,1.9441,0.7198,0.4674,0.9442,0.7287,0.5963,7.4689,0.9249,7.0529,6.2605,5.0781
2026-05-15,2568915745927.38,0.0396,3.2841,0.9555,2.8661,2.3857,1.9431,0.7242,0.4823,0.9442,0.7293,0.5963,7.5148,0.9357,7.0529,6.2528,5.0781
2026-05-14,2547987715410.66,0.0399,3.2573,0.9501,2.8660,2.3857,1.9431,0.7183,0.4606,0.9442,0.7293,0.5963,7.4536,0.9229,7.0487,6.2524,5.0781
2026-05-13,2513979665820.9897,0.0404,3.2138,0.9361,2.8645,2.3857,1.9431,0.7087,0.4130,0.9442,0.7293,0.5963,7.3541,0.8956,7.0472,6.2520,5.0781
2026-05-12,2519211673450.1704,0.0404,3.2205,0.9377,2.8622,2.3848,1.9431,0.7102,0.4216,0.9442,0.7296,0.5963,7.3694,0.9010,7.0457,6.2478,5.0781
2026-05-11,2511363662006.4,0.0405,3.2105,0.9361,2.8622,2.3836,1.9431,0.7080,0.4088,0.9442,0.7296,0.5963,7.3465,0.8952,7.0427,6.2470,5.0781
2026-05-08,2534907696337.71,0.0401,3.2406,0.9444,2.8622,2.3828,1.9421,0.7146,0.4423,0.9442,0.7296,0.5963,7.4153,0.9151,7.0427,6.2441,5.0781
2026-05-07,2540139703966.89,0.0400,3.2473,0.9460,2.8618,2.3823,1.9421,0.7161,0.4491,0.9442,0.7297,0.5963,7.4307,0.9184,7.0419,6.2438,5.0781
2026-05-06,2563683738298.2,0.0397,3.2774,0.9554,2.8603,2.3817,1.9421,0.7227,0.4748,0.9442,0.7298,0.5963,7.4995,0.9332,7.0411,6.2434,5.0781
2026-04-30,2602923795517.05,0.0391,3.3275,0.9646,2.8589,2.3803,1.9398,0.7338,0.5126,0.9442,0.7302,0.5963,7.6143,0.9551,7.0411,6.2391,5.0781
2026-04-29,2566299742112.79,0.0396,3.3721,0.9753,2.8589,2.3803,1.9398,0.7410,0.5260,0.9442,0.7300,0.5963,7.5723,0.9468,7.0411,6.2388,5.0781
2026-04-28,2563683738298.2,0.0397,3.3686,0.9744,2.8589,2.3799,1.9394,0.7402,0.5231,0.9442,0.7300,0.5963,7.5646,0.9452,7.0376,6.2361,5.0781
2026-04-27,2532291692523.12,0.0402,3.3274,0.9654,2.8589,2.3799,1.9394,0.7312,0.5025,0.9442,0.7300,0.5963,7.4720,0.9275,7.0373,6.2344,5.0781
2026-04-24,2547987715410.66,0.0399,3.3480,0.9703,2.8507,2.3767,1.9382,0.7357,0.5148,0.9442,0.7304,0.5963,7.5183,0.9374,7.0322,6.2340,5.0781
2026-04-23,2545371711596.0703,0.0399,3.3446,0.9695,2.8507,2.3764,1.9381,0.7349,0.5134,0.9442,0.7302,0.5963,7.5106,0.9365,7.0322,6.2332,5.0781
2026-04-22,2561067734483.61,0.0397,3.3652,0.9744,2.8490,2.3762,1.9381,0.7395,0.5198,0.9442,0.7300,0.5963,7.5569,0.9444,7.0322,6.2324,5.0781
2026-04-21,2576763757371.15,0.0395,3.3858,0.9777,2.8490,2.3762,1.9381,0.7440,0.5297,0.9442,0.7300,0.5963,7.6032,0.9526,7.0309,6.2324,5.0781
2026-04-20,2545371711596.0703,0.0399,3.3446,0.9707,2.8489,2.3749,1.9379,0.7349,0.5136,0.9442,0.7300,0.5963,7.5106,0.9378,7.0296,6.2320,5.0781
2026-04-17,2461659589529.19,0.0413,3.2346,0.9465,2.8456,2.3738,1.9381,0.7108,0.4238,0.9442,0.7304,0.5963,7.2635,0.8773,7.0294,6.2320,5.0781
2026-04-16,2472123604787.55,0.0411,3.2483,0.9506,2.8456,2.3737,1.9379,0.7138,0.4388,0.9442,0.7304,0.5963,7.2944,0.8855,7.0294,6.2307,5.0781
2026-04-15,2474739608602.14,0.0411,3.2517,0.9518,2.8456,2.3737,1.9379,0.7145,0.4411,0.9442,0.7304,0.5963,7.3021,0.8887,7.0284,6.2295,5.0781
2026-04-14,2448579570456.2397,0.0415,3.2174,0.9435,2.8444,2.3737,1.9379,0.7070,0.4052,0.9442,0.7307,0.5963,7.2250,0.8636,7.0281,6.2295,5.0781
2026-04-13,2438115555197.88,0.0417,3.2036,0.9406,2.8444,2.3737,1.9379,0.7040,0.3990,0.9442,0.7308,0.5963,7.1941,0.8541,7.0281,6.2290,5.0781
2026-04-10,2417187524681.16,0.0421,3.1761,0.9308,2.8423,2.3731,1.9381,0.6979,0.3810,0.9442,0.7312,0.5963,7.1323,0.8340,7.0261,6.2261,5.0781
2026-04-09,2425035536124.9297,0.0419,3.1864,0.9357,2.8423,2.3731,1.9379,0.7002,0.3861,0.9442,0.7313,0.5963,7.1555,0.8393,7.0261,6.2261,5.0781
2026-04-08,2432883547568.7,0.0418,3.1968,0.9398,2.8423,2.3731,1.9379,0.7024,0.3928,0.9442,0.7314,0.5963,7.1786,0.8479,7.0241,6.2261,5.0781
2026-04-07,2409339513237.39,0.0422,3.1658,0.9291,2.8398,2.3716,1.9379,0.6957,0.3788,0.9442,0.7314,0.5963,7.1092,0.8265,7.0218,6.2246,5.0781
2026-04-03,2459043585714.6,0.0414,3.2311,0.9469,2.8389,2.3710,1.9381,0.7100,0.4172,0.9442,0.7319,0.5963,7.2558,0.8773,7.0208,6.2245,5.0781
2026-04-02,2506131654377.22,0.0406,3.2930,0.9604,2.8389,2.3703,1.9379,0.7236,0.4730,0.9442,0.7319,0.5963,7.3948,0.9139,7.0208,6.2245,5.0781
2026-04-01,2472123604787.55,0.0411,3.2483,0.9518,2.8356,2.3696,1.9379,0.7138,0.4361,0.9442,0.7319,0.5963,7.2944,0.8866,7.0183,6.2245,5.0781
2026-03-31,2524443681079.35,0.0403,3.3171,0.9654,2.8331,2.3696,1.9379,0.7289,0.4913,0.9442,0.7319,0.5963,7.4488,0.9258,7.0141,6.2217,5.0781
2026-03-30,2487819627675.09,0.0409,3.2689,0.9571,2.8323,2.3696,1.9379,0.7183,0.4542,0.9442,0.7319,0.5963,7.3407,0.8978,7.0128,6.2217,5.0781
2026-03-27,2464275593343.78,0.0406,3.2647,0.9572,2.8323,2.3695,1.9381,0.7280,0.4864,0.9442,0.7321,0.5963,7.3089,0.8917,7.0098,6.2161,5.0781
2026-03-26,2469507600972.96,0.0405,3.2716,0.9588,2.8323,2.3695,1.9379,0.7296,0.4916,0.9442,0.7321,0.5963,7.3244,0.8941,7.0098,6.2150,5.0781
2026-03-25,2456427581900.0103,0.0408,3.2543,0.9551,2.8323,2.3695,1.9379,0.7257,0.4773,0.9442,0.7321,0.5963,7.2856,0.8858,7.0085,6.2139,5.0781
2026-03-24,2438115555197.88,0.0411,3.2300,0.9497,2.8321,2.3683,1.9379,0.7203,0.4596,0.9442,0.7324,0.5963,7.2313,0.8685,7.0085,6.2128,5.0781
2026-03-23,2396259494164.44,0.0418,3.1746,0.9345,2.8320,2.3672,1.9379,0.7079,0.4048,0.9442,0.7324,0.5963,7.1072,0.8293,7.0065,6.2128,5.0781
2026-03-20,2453811578085.4204,0.0408,3.2508,0.9543,2.8310,2.3650,1.9381,0.7249,0.4728,0.9442,0.7325,0.5963,7.2779,0.8839,7.0065,6.2112,5.0781
2026-03-19,2443347562827.06,0.0410,3.2369,0.9514,2.8310,2.3648,1.9379,0.7219,0.4660,0.9442,0.7325,0.5963,7.2468,0.8776,7.0065,6.2112,5.0781
2026-03-18,2414571520866.5703,0.0415,3.1988,0.9452,2.8310,2.3646,1.9379,0.7134,0.4324,0.9442,0.7325,0.5963,7.1615,0.8467,7.0063,6.2112,5.0781
2026-03-17,2422419532310.34,0.0413,3.2092,0.9468,2.8296,2.3639,1.9379,0.7157,0.4419,0.9442,0.7325,0.5963,7.1848,0.8549,7.0031,6.2094,5.0781
2026-03-16,2401491501793.62,0.0417,3.1815,0.9398,2.8293,2.3630,1.9379,0.7095,0.4159,0.9442,0.7325,0.5963,7.1227,0.8372,7.0031,6.2094,5.0781
2026-03-13,2393643490349.85,0.0418,3.1711,0.9362,2.8289,2.3624,1.9381,0.7072,0.4032,0.9442,0.7336,0.5963,7.0994,0.8295,7.0004,6.2061,5.0781
2026-03-12,2380563471276.9,0.0421,3.1538,0.9341,2.8289,2.3620,1.9379,0.7033,0.3956,0.9442,0.7336,0.5963,7.0606,0.8187,7.0004,6.2060,5.0781
2026-03-11,2367483452203.95,0.0423,3.1364,0.9291,2.8289,2.3616,1.9379,0.6994,0.3842,0.9442,0.7336,0.5963,7.0218,0.8075,6.9985,6.2058,5.0781
2026-03-10,2338707410243.46,0.0428,3.0983,0.9143,2.8289,2.3588,1.9379,0.6909,0.3685,0.9442,0.7336,0.5963,6.9365,0.7807,6.9981,6.2058,5.0781
2026-03-09,2370099456018.54,0.0422,3.1399,0.9299,2.8289,2.3574,1.9379,0.7002,0.3862,0.9442,0.7336,0.5963,7.0296,0.8108,6.9981,6.2020,5.0781
2026-03-06,2346555421687.23,0.0427,3.1087,0.9213,2.8270,2.3563,1.9381,0.6933,0.3740,0.9442,0.7345,0.5963,6.9597,0.7904,6.9967,6.1961,5.0781
2026-03-05,2338707410243.46,0.0428,3.0983,0.9155,2.8270,2.3563,1.9379,0.6909,0.3684,0.9442,0.7346,0.5963,6.9365,0.7820,6.9967,6.1961,5.0781
2026-03-04,2328243394985.1,0.0430,3.0845,0.9122,2.8256,2.3563,1.9379,0.6879,0.3631,0.9442,0.7348,0.5963,6.9054,0.7721,6.9967,6.1961,5.0781
2026-03-03,2328243394985.1,0.0430,3.0845,0.9126,2.8256,2.3563,1.9379,0.6879,0.3631,0.9442,0.7348,0.5963,6.9054,0.7725,6.9967,6.1954,5.0781
2026-03-02,2278539322507.89,0.0439,3.0186,0.8883,2.8256,2.3550,1.9379,0.6732,0.3425,0.9442,0.7353,0.5963,6.7580,0.7003,6.9967,6.1944,5.0781
2026-02-27,2247147276732.81,0.0445,2.9770,0.8690,2.8245,2.3535,1.9379,0.6639,0.3283,0.9442,0.7359,0.5963,6.6649,0.6553,6.9967,6.1889,5.0750
2026-02-26,2254995288176.5796,0.0444,2.9874,0.8727,2.8245,2.3535,1.9379,0.6662,0.3304,0.9442,0.7360,0.5963,6.6882,0.6671,6.9967,6.1889,5.0746
