date,净资产收益率(ROE),资本回报率(ROIC),净利润率,毛利率(GM),总资产收益率(ROA)
2026-03-31,0.0943,0.0415,0.0767,0.1518,0.0254
2025-12-31,0.1019,0.0438,0.0806,0.1554,0.0271
2025-09-30,0.1071,0.0466,0.0844,0.1565,0.0289
2025-06-30,0.1014,0.0445,0.078,0.1497,0.0272
2025-03-31,0.1265,0.0525,0.0945,0.144,0.0338
2024-12-31,0.1327,0.0553,0.0929,0.1424,0.035
2024-09-30,0.1252,0.0543,0.0883,0.1438,0.034
2024-06-30,0.1346,0.0573,0.0913,0.1491,0.0361
2024-03-31,0.1103,0.049,0.0721,0.1462,0.0293
2023-12-31,0.1042,0.0475,0.0661,0.1462,0.0275
2023-09-30,0.062,0.0341,0.0394,0.1489,0.0171
2023-06-30,0.0672,0.0366,0.0406,0.1413,0.0182
2023-03-31,0.0567,0.034,0.0336,0.1346,0.0156
2022-12-31,0.062,0.0366,0.0356,0.1348,0.0169
2022-09-30,0.032,0.0262,0.0188,0.0965,0.0093
2022-06-30,-0.0223,0.1257,-0.0131,0.0693,-0.0069
2022-03-31,-0.033,0.0428,-0.021,0.0689,-0.0104
2021-12-31,-0.0298,0.047,-0.0203,0.0725,-0.0091
2021-09-30,0.0371,0.0319,0.0285,0.1186,0.0117
2021-06-30,0.0717,0.049,0.0689,0.1789,0.0241
2021-03-31,0.0885,0.0584,0.087,0.198,0.03
2020-12-31,0.0655,0.047,0.0662,0.2079,0.0213
2020-09-30,0.0454,0.0387,0.0481,0.1873,0.0149
2020-06-30,0.035,0.0332,0.0364,0.1796,0.0112
2020-03-31,0.023,0.0264,0.024,0.1769,0.0074
2019-12-31,0.0524,0.0431,0.0422,0.1751,0.0154
2019-09-30,0.0454,,0.0427,0.1956,0.0135
2019-06-30,0.0365,,0.0388,0.1951,0.0106
2019-03-31,0.0286,,0.0351,0.1918,0.0084
2018-12-31,0.0251,0.0276,0.0276,0.1861,0.0066
2018-09-30,0.0416,,0.0483,0.1922,0.0111
2018-06-30,0.0415,,0.0486,0.1836,0.0109
2018-03-31,0.041,,0.0502,0.1774,0.0111
2017-12-31,0.0377,,0.0462,0.1703,0.0101
2017-09-30,0.0448,,0.0541,0.1675,0.0125
2017-06-30,0.055,,0.0677,0.1911,0.0153
2017-03-31,0.0768,,0.0951,0.2219,0.0215
2016-12-31,0.0977,,0.1201,0.2558,0.0269
2016-09-30,0.0949,,0.1265,0.3094,0.0271
