date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率
2026-07-03,84184122067.04,1.3782,,,,,0.4964,,,,,12.4739,,,,,1.3979,,,,,12.8993,,,,,0.0511
2026-07-02,83827409685.4,1.3724,,,,,0.4943,,,,,12.4211,,,,,1.3920,,,,,12.8446,,,,,0.0513
2026-07-01,83113984922.12,1.3607,,,,,0.4901,,,,,12.3154,,,,,1.3802,,,,,12.7353,,,,,0.0517
2026-06-30,83292341112.94,1.3636,,,,,0.4911,,,,,12.3418,,,,,1.3831,,,,,12.7626,,,,,0.0516
2026-06-29,85075903021.14,1.3928,,,,,0.5016,,,,,12.6061,,,,,1.4127,,,,,13.0359,,,,,0.0505
2026-06-26,83649053494.58,1.3694,,,,,0.4932,,,,,12.3946,,,,,1.3890,,,,,12.8173,,,,,0.0514
2026-06-25,83113984922.12,1.3607,,,,,0.4901,,,,,12.3154,,,,,1.3802,,,,,12.7353,,,,,0.0517
2026-06-24,84005765876.22,1.3753,,,,,0.4953,,,,,12.4475,,,,,1.3950,,,,,12.8720,,,,,0.0512
2026-06-23,85789327784.42,1.4045,,,,,0.5058,,,,,12.7118,,,,,1.4246,,,,,13.1452,,,,,0.0501
2026-06-22,84897546830.32,1.3899,,,,,0.5006,,,,,12.5796,,,,,1.4098,,,,,13.0086,,,,,0.0506
2026-06-18,84540834448.68,1.3840,,,,,0.4985,,,,,12.5268,,,,,1.4039,,,,,12.9539,,,,,0.0508
2026-06-17,88107958265.08,1.4424,,,,,0.5195,,,,,13.0553,,,,,1.4631,,,,,13.5005,,,,,0.0488
2026-06-16,88464670646.72,1.4483,,,,,0.5216,,,,,13.1082,,,,,1.4690,,,,,13.5552,,,,,0.0486
2026-06-15,89713163982.46,1.4687,,,,,0.5290,,,,,13.2932,,,,,1.4897,,,,,13.7465,,,,,0.0479
2026-06-12,89356451600.82,1.4629,,,,,0.5269,,,,,13.2403,,,,,1.4838,,,,,13.6918,,,,,0.0481
2026-06-11,88999739219.18,1.4570,,,,,0.5248,,,,,13.1875,,,,,1.4779,,,,,13.6372,,,,,0.0483
2026-06-10,87751245883.44,1.4366,,,,,0.5174,,,,,13.0025,,,,,1.4572,,,,,13.4459,,,,,0.0490
2026-06-09,88999739219.18,1.4570,,,,,0.5248,,,,,13.1875,,,,,1.4779,,,,,13.6372,,,,,0.0483
2026-06-08,89178095410.0,1.4600,,,,,0.5258,,,,,13.2139,,,,,1.4809,,,,,13.6645,,,,,0.0482
2026-06-05,90426588745.74,1.4804,,,,,0.5332,,,,,13.3989,,,,,1.5016,,,,,13.8558,,,,,0.0475
2026-06-04,92031794463.12,1.5067,,,,,0.5426,,,,,13.6367,,,,,1.5282,,,,,14.1018,,,,,0.0467
2026-06-03,93280287798.86,1.5271,,,,,0.5500,,,,,13.8217,,,,,1.5490,,,,,14.2931,,,,,0.0461
2026-06-02,94885493516.24,1.5534,,,,,0.5595,,,,,14.0596,,,,,1.5756,,,,,14.5390,,,,,0.0453
2026-06-01,93637000180.5,1.5330,,,,,0.5521,,,,,13.8746,,,,,1.5549,,,,,14.3477,,,,,0.0459
2026-05-29,91853438272.3,1.5038,,,,,0.5416,,,,,13.6103,,,,,1.5253,,,,,14.0744,,,,,0.0468
2026-05-28,89178095410.0,1.4600,,,,,0.5258,,,,,13.2139,,,,,1.4809,,,,,13.6645,,,,,0.0482
2026-05-27,88464670646.72,1.4483,,,,,0.5216,,,,,13.1082,,,,,1.4690,,,,,13.5552,,,,,0.0486
2026-05-26,88286314455.9,1.4454,,,,,0.5206,,,,,13.0818,,,,,1.4661,,,,,13.5278,,,,,0.0487
2026-05-25,88643026837.54,1.4512,,,,,0.5227,,,,,13.1346,,,,,1.4720,,,,,13.5825,,,,,0.0485
2026-05-22,87394533501.8,1.4308,,,,,0.5153,,,,,12.9496,,,,,1.4512,,,,,13.3912,,,,,0.0492
2026-05-21,87394533501.8,1.4308,,,,,0.5153,,,,,12.9496,,,,,1.4512,,,,,13.3912,,,,,0.0492
2026-05-20,88107958265.08,1.4424,,,,,0.5195,,,,,13.0553,,,,,1.4631,,,,,13.5005,,,,,0.0488
2026-05-19,92210150653.94,1.5096,,,,,0.5437,,,,,13.6632,,,,,1.5312,,,,,14.1291,,,,,0.0466
2026-05-18,87572889692.62,1.4337,,,,,0.5163,,,,,12.9760,,,,,1.4542,,,,,13.4185,,,,,0.0491
2026-05-15,87751245883.44,1.4366,,,,,0.5174,,,,,13.0025,,,,,1.4572,,,,,13.4459,,,,,0.0490
2026-05-14,87929602074.26,1.4395,,,,,0.5185,,,,,13.0289,,,,,1.4601,,,,,13.4732,,,,,0.0489
2026-05-13,90069876364.1,1.4746,,,,,0.5311,,,,,13.3460,,,,,1.4957,,,,,13.8011,,,,,0.0477
2026-05-12,88999739219.18,1.4570,,,,,0.5248,,,,,13.1875,,,,,1.4779,,,,,13.6372,,,,,0.0483
2026-05-11,88286314455.9,1.4454,,,,,0.5206,,,,,13.0818,,,,,1.4661,,,,,13.5278,,,,,0.0487
2026-05-08,87037821120.16,1.4249,,,,,0.5132,,,,,12.8968,,,,,1.4453,,,,,13.3365,,,,,0.0494
2026-05-07,87216177310.98,1.4278,,,,,0.5142,,,,,12.9232,,,,,1.4483,,,,,13.3639,,,,,0.0493
2026-05-06,85789327784.42,1.4045,,,,,0.5058,,,,,12.7118,,,,,1.4246,,,,,13.1452,,,,,0.0501
2026-04-30,84540834448.68,1.3840,,,,,0.4985,,,,,12.5268,,,,,1.4039,,,,,12.9539,,,,,0.0508
2026-04-29,86681108738.52,1.4191,,,,,0.5111,,,,,12.8439,,,,,1.4394,,,,,13.2819,,,,,0.0496
