date,归属于母公司普通股股东的净利润,累积同比,基本每股收益,营业收入
2026-03-31,4392391000,-0.1472,0.28,231582129000
2025-12-31,18362618000,-0.1734,1.18,1029784460000
2025-09-30,14811266000,-0.0563,0.96,728403247000
2025-06-30,10701474000,-0.1009,0.7,489199045000
2025-03-31,5150787000,-0.1451,0.34,256762012000
2024-12-31,22215074000,-0.1487,1.46,1067171337000
2024-09-30,15695439000,-0.1918,1.02,758125120000
2024-06-30,11902158000,-0.128,0.79,516136718000
2024-03-31,6025004000,0.0198,0.399,274948792000
2023-12-31,26096971000,-0.0219,1.73,1137993486000
2023-09-30,19419540000,0.0347,1.29,806463195000
2023-06-30,13648610000,0.0118,0.91,541059991000
2023-03-31,5907923000,0.051,0.389,273538545000
2022-12-31,26642094000,0.079,1.76,1096312867000
2022-09-30,18747442000,0.049,1.23,798421540000
2022-06-30,13473989000,0.0948,0.89,540496534000
2022-03-31,5621071000,0.1231,0.364,264477801000
2021-12-31,24690556000,0.1026,1.6,1020010179000
2021-09-30,17872402000,0.2012,1.15,735474689000
2021-06-30,12307363000,0.3211,0.79,488514865000
2021-03-31,5005139000,0.685,0.31,233954738000
2020-12-31,22392983000,0.1087,1.5,910324763000
2020-09-30,14879203000,0.013,0.99,624007869000
2020-06-30,9316253000,0.0035,0.62,370789433000
2020-03-31,2970391000,-0.2355,0.183,145102647000
2019-12-31,20197378000,0.1261,1.4,830452157000
2019-09-30,14688564000,0.1615,1.04,561356874000
2019-06-30,9284178000,0.1593,0.65,352934879000
2019-03-31,3885577000,0.1356,0.281,157089287000
2018-12-31,17935281000,0.117,1.26,730123045000
2018-09-30,12646122000,0.2011,0.9,489870617000
2018-06-30,8008700000,0.2278,0.56,308980930000
2018-03-31,3421661000,0.1886,0.252,131648728000
2017-12-31,16057235000,0.147,1.16,680981127000
2017-09-30,10528783000,0.1541,0.78,460384535000
2017-06-30,6523039000,0.1204,0.48,288960909000
2017-03-31,2878644000,0.1193,0.212,123065019000
2016-12-31,13999610000,0.1071,1.03,629327090000
2016-09-30,9123331000,0.1243,0.67,423885124000
