date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,-69147768000,-62576016000,-0.6067,-1.0091
2025-12-31,-41950980000,2956977000,1.0941,0.1363
2025-09-30,-61430751000,-79756621000,0.104,-0.9103
2025-06-30,-66515126000,-79457258000,0.0272,-1.1832
2025-03-31,-56060418000,-38946530000,0.1641,-0.9114
2024-12-31,-66612762000,-31423832000,-2.5395,-1.1605
2024-09-30,-61120690000,-89018002000,-1.0614,-0.8801
2024-06-30,-76005133000,-81676283000,-3.2225,-1.3613
2024-03-31,-17366674000,-46593910000,-0.1881,0.4007
2023-12-31,-10652541000,20412048000,-0.6364,0.6314
2023-09-30,-9067388000,-43182574000,-35.9866,0.429
2023-06-30,28727313000,-19342977000,0.0133,1.7438
2023-03-31,28901845000,-39215590000,0.0458,1.8013
2022-12-31,28344319000,56134952000,8.6856,1.7679
2022-09-30,7888321000,-1167520000,0.9758,1.2915
2022-06-30,-2058678000,-19604382000,0.6511,0.9408
2022-03-31,-31083810000,-41097977000,0.1803,0.0576
2021-12-31,-38229695000,-7303911000,-1.1821,-0.2492
2021-09-30,-13616366000,-48231132000,-0.5455,0.7935
2021-06-30,-104723000,-56186368000,-0.1686,1.1065
2021-03-31,2299298000,-50135350000,-0.1825,1.1639
2020-12-31,10614875000,40109248000,0.0026,1.5601
2020-09-30,1575066000,-31207044000,-0.5649,1.2164
2020-06-30,-5443739000,-48078512000,-0.4806,1.052
2020-03-31,7609166000,-42398833000,-0.0699,1.7088
2019-12-31,8998940000,40005838000,6.3434,1.7683
2019-09-30,2216833000,-19941601000,0.5814,1.5019
2019-06-30,-12099887000,-32471913000,0.2924,0.8873
2019-03-31,-24499543000,-39630503000,0.0254,0.3148
2018-12-31,-25056557000,5447861000,-0.7856,0.2746
2018-09-30,-32820403000,-47638249000,-1.4007,-0.1198
2018-06-30,-23475209000,-45888144000,-0.8026,0.2632
2018-03-31,-24250110000,-40663574000,-1.0776,0.2459
2017-12-31,-3430366000,25404178000,-0.3159,1.5015
2017-09-30,-1046582000,-19843228000,-1.0799,1.6491
2017-06-30,-3050882000,-25456858000,-0.8528,1.6325
2017-03-31,55066000,-19572435000,-0.8022,1.8747
2016-12-31,9048371000,37137579000,-0.2628,2.5007
2016-09-30,1711806000,-9540664000,-1.9556,2.1272
