date,资本回报率(ROIC),净资产收益率(ROE),毛利率(GM),净利润率,总资产收益率(ROA)
2026-03-31,0.0297,0.0474,0.0986,0.0204,0.0101
2025-12-31,0.0324,0.0511,0.0972,0.0211,0.011
2025-09-30,0.0337,0.0573,0.1003,0.0235,0.0126
2025-06-30,0.0354,0.0584,0.1017,0.0237,0.0132
2025-03-31,0.039,0.0617,0.1024,0.0249,0.0144
2024-12-31,0.0419,0.0645,0.1027,0.0254,0.0154
2024-09-30,0.0436,0.0696,0.1045,0.0265,0.0165
2024-06-30,0.0472,0.0756,0.1053,0.0277,0.0182
2024-03-31,0.0512,0.0805,0.104,0.0285,0.0197
2023-12-31,0.0549,0.0805,0.104,0.0284,0.0203
2023-09-30,0.0519,0.0844,0.104,0.0298,0.0205
2023-06-30,0.0532,0.0846,0.102,0.0295,0.0206
2023-03-31,0.0547,0.0866,0.1018,0.0291,0.0212
2022-12-31,0.0601,0.0867,0.1009,0.029,0.0221
2022-09-30,0.0552,0.0875,0.0966,0.0284,0.0212
2022-06-30,0.0578,0.0902,0.0967,0.029,0.022
2022-03-31,0.0581,0.0897,0.095,0.0287,0.0221
2021-12-31,0.0616,0.0888,0.096,0.0287,0.0226
2021-09-30,0.0593,0.0953,0.0905,0.0285,0.0227
2021-06-30,0.0606,0.0974,0.0892,0.0281,0.0233
2021-03-31,0.0613,0.0957,0.0891,0.0278,0.0234
2020-12-31,0.061,0.0893,0.0926,0.0282,0.0221
2020-09-30,0.0582,0.0949,0.0897,0.0265,0.0212
2020-06-30,0.0605,0.096,0.0935,0.0273,0.0216
2020-03-31,0.0588,0.0919,0.0943,0.0266,0.0214
2019-12-31,0.065,0.0964,0.0964,0.0272,0.0226
2019-09-30,0.0736,0.1045,0.0964,0.0275,0.0229
2019-06-30,0.0715,0.1043,0.0982,0.0275,0.0228
2019-03-31,,0.1041,0.098,0.0272,0.0233
2018-12-31,0.0682,0.1028,0.0978,0.0272,0.0228
2018-09-30,,0.111,0.1004,0.0281,0.0231
2018-06-30,,0.1093,0.096,0.027,0.0226
2018-03-31,,0.1041,0.0937,0.0254,0.0219
2017-12-31,,0.1034,0.0924,0.0248,0.0214
2017-09-30,,0.1069,0.0856,0.0244,0.0206
2017-06-30,,0.1056,0.0862,0.0239,0.0203
2017-03-31,,0.107,0.0895,0.0239,0.0206
2016-12-31,,0.107,0.0921,0.0236,0.0204
2016-09-30,,0.1078,0.106,0.0237,0.0203
