date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,83106793980.0,0.0827,,,,,0.2990,,,,,0.0490,5.4547,,,,,0.2991,,,,,4.7208,,,,
2026-07-02,82563612320.0,0.0822,,,,,0.2971,,,,,0.0493,5.4190,,,,,0.2971,,,,,4.6900,,,,
2026-07-01,82156226075.0,0.0818,,,,,0.2956,,,,,0.0496,5.3923,,,,,0.2957,,,,,4.6668,,,,
2026-06-30,80798271925.0,0.0804,,,,,0.2907,,,,,0.0504,5.3031,,,,,0.2908,,,,,4.5897,,,,
2026-06-29,82020430660.0,0.0816,,,,,0.2951,,,,,0.0497,5.3834,,,,,0.2952,,,,,4.6591,,,,
2026-06-26,81748839830.0,0.0814,,,,,0.2941,,,,,0.0498,5.3655,,,,,0.2942,,,,,4.6437,,,,
2026-06-25,83378384810.0,0.0830,,,,,0.3000,,,,,0.0489,5.4725,,,,,0.3001,,,,,4.7363,,,,
2026-06-24,84600543545.0,0.0842,,,,,0.3044,,,,,0.0482,5.5527,,,,,0.3045,,,,,4.8057,,,,
2026-06-23,85551111450.0,0.0852,,,,,0.3078,,,,,0.0476,5.6151,,,,,0.3079,,,,,4.8597,,,,
2026-06-22,86365883940.0,0.0860,,,,,0.3107,,,,,0.0472,5.6686,,,,,0.3108,,,,,4.9060,,,,
2026-06-18,85551111450.0,0.0852,,,,,0.3078,,,,,0.0476,5.6151,,,,,0.3079,,,,,4.8597,,,,
2026-06-17,87995428920.0,0.0876,,,,,0.3166,,,,,0.0463,5.7755,,,,,0.3167,,,,,4.9985,,,,
2026-06-16,85958497695.0,0.0856,,,,,0.3093,,,,,0.0474,5.6418,,,,,0.3093,,,,,4.8828,,,,
2026-06-15,87180656430.0,0.0868,,,,,0.3137,,,,,0.0467,5.7221,,,,,0.3137,,,,,4.9523,,,,
2026-06-12,87044861015.0,0.0866,,,,,0.3132,,,,,0.0468,5.7131,,,,,0.3132,,,,,4.9445,,,,
2026-06-11,85686906865.0,0.0853,,,,,0.3083,,,,,0.0475,5.6240,,,,,0.3084,,,,,4.8674,,,,
2026-06-10,85822702280.0,0.0854,,,,,0.3088,,,,,0.0475,5.6329,,,,,0.3089,,,,,4.8751,,,,
2026-06-09,85143725205.0,0.0848,,,,,0.3064,,,,,0.0478,5.5884,,,,,0.3064,,,,,4.8366,,,,
2026-06-08,84872134375.0,0.0845,,,,,0.3054,,,,,0.0480,5.5705,,,,,0.3054,,,,,4.8211,,,,
