date,总资产收益率(ROA),净资产收益率(ROE),净利润率
2026-03-31,0.007,0.0889,0.4371
2025-12-31,0.0072,0.0898,0.4423
2025-09-30,0.0073,0.0908,0.4409
2025-06-30,0.0073,0.0911,0.44
2025-03-31,0.0073,0.0916,0.4463
2024-12-31,0.0078,0.0945,0.4465
2024-09-30,0.0079,0.0963,0.4469
2024-06-30,0.008,0.097,0.4432
2024-03-31,0.0081,0.0969,0.4339
2023-12-31,0.0087,0.1002,0.4331
2023-09-30,0.0087,0.1026,0.4248
2023-06-30,0.0088,0.1048,0.4136
2023-03-31,0.0091,0.1037,0.4025
2022-12-31,0.0097,0.1064,0.3933
2022-09-30,0.0097,0.1102,0.3857
2022-06-30,0.0097,0.1123,0.3723
2022-03-31,0.0099,0.1118,0.3706
2021-12-31,0.0102,0.1133,0.3715
2021-09-30,0.0099,0.1139,0.3669
2021-06-30,0.0097,0.1147,0.3685
2021-03-31,0.0096,0.1105,0.3584
2020-12-31,0.01,0.1134,0.3599
2020-09-30,0.0091,0.1059,0.3328
2020-06-30,0.0093,0.1138,0.3421
2020-03-31,0.0103,0.1212,0.3729
2019-12-31,0.0108,0.1244,0.3664
2019-09-30,0.0106,0.1257,0.369
2019-06-30,0.0107,0.1328,0.3699
2019-03-31,0.0108,0.1311,0.3723
2018-12-31,0.0111,0.1332,0.3861
2018-09-30,0.0111,0.1362,0.3888
2018-06-30,0.0111,0.1394,0.3916
2018-03-31,0.0113,0.1374,0.3957
2017-12-31,0.0114,0.1395,0.3957
2017-09-30,0.0115,0.1404,0.4103
2017-06-30,0.0115,0.1447,0.4147
2017-03-31,0.0117,0.143,0.4173
2016-12-31,0.012,0.1476,0.4129
2016-09-30,0.0122,0.153,0.4037
