date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.24,0.0435,86941000000,230370000000
2025-12-31,1,0.0204,368562000000,838270000000
2025-09-30,0.73,0.0139,269908000000,640028000000
2025-06-30,0.46,-0.0213,168103000000,427092000000
2025-03-31,0.23,-0.0417,84156000000,212774000000
2024-12-31,0.98,0,365863000000,821803000000
2024-09-30,0.72,0,269025000000,626422000000
2024-06-30,0.47,-0.0208,170467000000,420499000000
2024-03-31,0.24,-0.04,87653000000,219843000000
2023-12-31,0.98,0.0103,363993000000,843070000000
2023-09-30,0.72,2,268673000000,651268000000
2023-06-30,0.48,0.0213,173744000000,447494000000
2023-03-31,0.25,0,90164000000,227596000000
2022-12-31,0.97,0.0211,360483000000,917989000000
2022-09-30,0.71,0.029,265822000000,711392000000
2022-06-30,0.47,0.0217,171506000000,487270000000
2022-03-31,0.25,0.0417,90633000000,249467000000
2021-12-31,0.95,0.1047,348338000000,942762000000
2021-09-30,0.69,0.0781,251821000000,712093000000
2021-06-30,0.46,0.0952,163473000000,467793000000
2021-03-31,0.24,0,85730000000,234191000000
2020-12-31,0.86,0,315906000000,882665000000
2020-09-30,0.64,-0.0986,228675000000,665693000000
2020-06-30,0.42,-0.1064,148790000000,448456000000
2020-03-31,0.24,0.0435,84494000000,226979000000
2019-12-31,0.86,0.0488,312224000000,855164000000
2019-09-30,0.71,0.0597,251712000000,646942000000
2019-06-30,0.47,0.0444,167931000000,442915000000
2019-03-31,0.23,0.0455,82005000000,235501000000
2018-12-31,0.82,0.038,297676000000,773789000000
2018-09-30,0.67,0.0469,239627000000,577055000000
2018-06-30,0.45,0.0465,160442000000,387451000000
2018-03-31,0.22,0.0476,78802000000,197198000000
2017-12-31,0.79,0.026,286049000000,726502000000
2017-09-30,0.64,0.0159,227999000000,535773000000
2017-06-30,0.43,0.0238,152995000000,362151000000
2017-03-31,0.21,0,75786000000,189525000000
2016-12-31,0.77,0,278249000000,675891000000
2016-09-30,0.63,0.0161,222792000000,517774000000
