date,资产负债率
2026-03-31,0.9219
2025-12-31,0.9201
2025-09-30,0.9206
2025-06-30,0.9209
2025-03-31,0.9212
2024-12-31,0.9183
2024-09-30,0.9189
2024-06-30,0.918
2024-03-31,0.9186
2023-12-31,0.9155
2023-09-30,0.9174
2023-06-30,0.9176
2023-03-31,0.9143
2022-12-31,0.9113
2022-09-30,0.9133
2022-06-30,0.914
2022-03-31,0.91
2021-12-31,0.9069
2021-09-30,0.9106
2021-06-30,0.9133
2021-03-31,0.9129
2020-12-31,0.9127
2020-09-30,0.9157
2020-06-30,0.917
2020-03-31,0.9134
2019-12-31,0.9106
2019-09-30,0.9122
2019-06-30,0.919
2019-03-31,0.9169
2018-12-31,0.9153
2018-09-30,0.9191
2018-06-30,0.9197
2018-03-31,0.9175
2017-12-31,0.9179
2017-09-30,0.9184
2017-06-30,0.9204
2017-03-31,0.9179
2016-12-31,0.9179
2016-09-30,0.9174
