date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-04-28,2683739115880.17,3.2015,,,,,0.6953,,,,,7.2903,,,,,0.6953,,,,,0.0412,7.2816,,,,
2026-04-27,2676610990738.39,3.1930,,,,,0.6935,,,,,7.2709,,,,,0.6935,,,,,0.0413,7.2623,,,,
2026-04-24,2701559428734.62,3.2228,,,,,0.7000,,,,,7.3387,,,,,0.7000,,,,,0.0409,7.3300,,,,
2026-04-23,2701559428734.62,3.2228,,,,,0.7000,,,,,7.3387,,,,,0.7000,,,,,0.0409,7.3300,,,,
2026-04-22,2680175053309.28,3.1973,,,,,0.6944,,,,,7.2806,,,,,0.6944,,,,,0.0413,7.2720,,,,
2026-04-21,2715815679018.18,3.2398,,,,,0.7037,,,,,7.3774,,,,,0.7037,,,,,0.0407,7.3687,,,,
2026-04-20,2697995366163.73,3.2185,,,,,0.6990,,,,,7.3290,,,,,0.6990,,,,,0.0410,7.3203,,,,
2026-04-17,2651662552742.16,3.1633,,,,,0.6870,,,,,7.2031,,,,,0.6870,,,,,0.0417,7.1946,,,,
2026-04-16,2658790677883.94,3.1718,,,,,0.6889,,,,,7.2225,,,,,0.6889,,,,,0.0416,7.2140,,,,
2026-04-15,2673046928167.5,3.1888,,,,,0.6926,,,,,7.2612,,,,,0.6926,,,,,0.0414,7.2526,,,,
2026-04-14,2658790677883.94,3.1718,,,,,0.6889,,,,,7.2225,,,,,0.6889,,,,,0.0416,7.2140,,,,
2026-04-13,2626714114745.93,3.1335,,,,,0.6806,,,,,7.1354,,,,,0.6806,,,,,0.0421,7.1269,,,,
2026-04-10,2605329739320.59,3.1080,,,,,0.6750,,,,,7.0773,,,,,0.6750,,,,,0.0424,7.0689,,,,
2026-04-09,2612457864462.37,3.1165,,,,,0.6769,,,,,7.0966,,,,,0.6769,,,,,0.0423,7.0882,,,,
2026-04-08,2608893801891.48,3.1122,,,,,0.6759,,,,,7.0870,,,,,0.6759,,,,,0.0424,7.0786,,,,
2026-04-07,2637406302458.6,3.1462,,,,,0.6833,,,,,7.1644,,,,,0.6833,,,,,0.0419,7.1559,,,,
2026-04-03,2673046928167.5,3.1888,,,,,0.6926,,,,,7.2612,,,,,0.6926,,,,,0.0414,7.2526,,,,
2026-04-02,2719379741589.07,3.2440,,,,,0.7046,,,,,7.3871,,,,,0.7046,,,,,0.0407,7.3784,,,,
2026-04-01,2701559428734.62,3.2228,,,,,0.7000,,,,,7.3387,,,,,0.7000,,,,,0.0409,7.3300,,,,
2026-03-31,2722943804159.96,3.2483,,,,,0.7055,,,,,7.3968,,,,,0.7055,,,,,0.0406,7.3880,,,,
2026-03-30,2697995366163.73,3.2185,,,,,0.6990,,,,,7.3290,,,,,0.6990,,,,,0.0410,7.3203,,,,
2026-03-27,2637406302458.6,3.1570,,,,,0.6990,,,,,7.2048,,,,,0.6990,,,,,0.0414,7.1914,,,,
2026-03-26,2644534427600.38,3.1656,,,,,0.7008,,,,,7.2242,,,,,0.7008,,,,,0.0412,7.2108,,,,
2026-03-25,2616021927033.26,3.1314,,,,,0.6933,,,,,7.1464,,,,,0.6933,,,,,0.0417,7.1331,,,,
2026-03-24,2608893801891.48,3.1229,,,,,0.6914,,,,,7.1269,,,,,0.6914,,,,,0.0418,7.1136,,,,
2026-03-23,2583945363895.25,3.0930,,,,,0.6848,,,,,7.0587,,,,,0.6848,,,,,0.0422,7.0456,,,,
2026-03-20,2673046928167.5,3.1997,,,,,0.7084,,,,,7.3021,,,,,0.7084,,,,,0.0408,7.2886,,,,
2026-03-19,2683739115880.17,3.2125,,,,,0.7112,,,,,7.3313,,,,,0.7112,,,,,0.0406,7.3177,,,,
2026-03-18,2633842239887.71,3.1528,,,,,0.6980,,,,,7.1950,,,,,0.6980,,,,,0.0414,7.1817,,,,
2026-03-17,2633842239887.71,3.1528,,,,,0.6980,,,,,7.1950,,,,,0.6980,,,,,0.0414,7.1817,,,,
2026-03-16,2583945363895.25,3.0930,,,,,0.6848,,,,,7.0587,,,,,0.6848,,,,,0.0422,7.0456,,,,
2026-03-13,2566125051040.8003,3.0717,,,,,0.6801,,,,,7.0100,,,,,0.6801,,,,,0.0425,6.9970,,,,
2026-03-12,2551868800757.24,3.0546,,,,,0.6763,,,,,6.9711,,,,,0.6763,,,,,0.0427,6.9581,,,,
2026-03-11,2537612550473.68,3.0376,,,,,0.6725,,,,,6.9322,,,,,0.6725,,,,,0.0430,6.9193,,,,
2026-03-10,2509100049906.56,3.0034,,,,,0.6649,,,,,6.8543,,,,,0.6649,,,,,0.0435,6.8415,,,,
2026-03-09,2530484425331.9,3.0290,,,,,0.6706,,,,,6.9127,,,,,0.6706,,,,,0.0431,6.8998,,,,
2026-03-06,2534048487902.79,3.0333,,,,,0.6716,,,,,6.9224,,,,,0.6716,,,,,0.0430,6.9095,,,,
2026-03-05,2534048487902.79,3.0333,,,,,0.6716,,,,,6.9224,,,,,0.6716,,,,,0.0430,6.9095,,,,
2026-03-04,2523356300190.12,3.0205,,,,,0.6687,,,,,6.8932,,,,,0.6687,,,,,0.0432,6.8804,,,,
2026-03-03,2537612550473.68,3.0376,,,,,0.6725,,,,,6.9322,,,,,0.6725,,,,,0.0430,6.9193,,,,
2026-03-02,2480587549339.44,2.9693,,,,,0.6574,,,,,6.7764,,,,,0.6574,,,,,0.0440,6.7638,,,,
2026-02-27,2466331299055.88,2.9522,,,,,0.6536,,,,,6.7374,,,,,0.6536,,,,,0.0442,6.7249,,,,
2026-02-26,2480587549339.44,2.9693,,,,,0.6574,,,,,6.7764,,,,,0.6574,,,,,0.0440,6.7638,,,,
2026-02-25,2512664112477.4497,3.0077,,,,,0.6659,,,,,6.8640,,,,,0.6659,,,,,0.0434,6.8512,,,,
2026-02-24,2516228175048.34,3.0120,,,,,0.6668,,,,,6.8737,,,,,0.6668,,,,,0.0433,6.8610,,,,
2026-02-13,2534048487902.79,3.0333,,,,,0.6716,,,,,6.9224,,,,,0.6716,,,,,0.0430,6.9095,,,,
2026-02-12,2558996925899.02,3.0632,,,,,0.6782,,,,,6.9906,,,,,0.6782,,,,,0.0426,6.9776,,,,
2026-02-11,2598201614178.81,3.1101,,,,,0.6886,,,,,7.0977,,,,,0.6886,,,,,0.0420,7.0845,,,,
2026-02-10,2601765676749.6997,3.1144,,,,,0.6895,,,,,7.1074,,,,,0.6895,,,,,0.0419,7.0942,,,,
2026-02-09,2594637551607.92,3.1058,,,,,0.6876,,,,,7.0879,,,,,0.6876,,,,,0.0420,7.0748,,,,
2026-02-06,2587509426466.14,3.0973,,,,,0.6857,,,,,7.0685,,,,,0.6857,,,,,0.0421,7.0553,,,,
2026-02-05,2601765676749.6997,3.1144,,,,,0.6895,,,,,7.1074,,,,,0.6895,,,,,0.0419,7.0942,,,,
2026-02-04,2580381301324.36,3.0888,,,,,0.6838,,,,,7.0490,,,,,0.6838,,,,,0.0423,7.0359,,,,
2026-02-03,2558996925899.02,3.0632,,,,,0.6782,,,,,6.9906,,,,,0.6782,,,,,0.0426,6.9776,,,,
2026-02-02,2608893801891.48,3.1229,,,,,0.6914,,,,,7.1269,,,,,0.6914,,,,,0.0418,7.1136,,,,
2026-01-30,2583945363895.25,3.0930,,,,,0.6848,,,,,7.0587,,,,,0.6848,,,,,0.0422,7.0456,,,,
2026-01-29,2587509426466.14,3.0973,,,,,0.6857,,,,,7.0685,,,,,0.6857,,,,,0.0421,7.0553,,,,
2026-01-28,2566125051040.8003,3.0717,,,,,0.6801,,,,,7.0100,,,,,0.6801,,,,,0.0425,6.9970,,,,
2026-01-27,2576817238753.47,3.0845,,,,,0.6829,,,,,7.0393,,,,,0.6829,,,,,0.0423,7.0262,,,,
2026-01-26,2580381301324.36,3.0888,,,,,0.6838,,,,,7.0490,,,,,0.6838,,,,,0.0423,7.0359,,,,
2026-01-23,2569689113611.69,3.0760,,,,,0.6810,,,,,7.0198,,,,,0.6810,,,,,0.0424,7.0067,,,,
2026-01-22,2591073489037.03,3.1016,,,,,0.6867,,,,,7.0782,,,,,0.6867,,,,,0.0421,7.0650,,,,
2026-01-21,2619585989604.15,3.1357,,,,,0.6942,,,,,7.1561,,,,,0.6942,,,,,0.0416,7.1428,,,,
2026-01-20,2687303178451.06,3.2168,,,,,0.7122,,,,,7.3411,,,,,0.7122,,,,,0.0406,7.3274,,,,
2026-01-19,2683739115880.17,3.2125,,,,,0.7112,,,,,7.3313,,,,,0.7112,,,,,0.0406,7.3177,,,,
2026-01-16,2712251616447.29,3.2466,,,,,0.7188,,,,,7.4092,,,,,0.7188,,,,,0.0402,7.3954,,,,
2026-01-15,2737200054443.52,3.2765,,,,,0.7254,,,,,7.4774,,,,,0.7254,,,,,0.0398,7.4635,,,,
2026-01-14,2740764117014.41,3.2807,,,,,0.7263,,,,,7.4871,,,,,0.7263,,,,,0.0398,7.4732,,,,
2026-01-13,2783532867865.09,3.3319,,,,,0.7377,,,,,7.6040,,,,,0.7377,,,,,0.0392,7.5898,,,,
2026-01-12,2758584429868.86,3.3021,,,,,0.7311,,,,,7.5358,,,,,0.7311,,,,,0.0395,7.5218,,,,
2026-01-09,2747892242156.19,3.2893,,,,,0.7282,,,,,7.5066,,,,,0.7282,,,,,0.0397,7.4926,,,,
2026-01-08,2740764117014.41,3.2807,,,,,0.7263,,,,,7.4871,,,,,0.7263,,,,,0.0398,7.4732,,,,
2026-01-07,2762148492439.75,3.3063,,,,,0.7320,,,,,7.5455,,,,,0.7320,,,,,0.0395,7.5315,,,,
2026-01-06,2779968805294.1997,3.3277,,,,,0.7367,,,,,7.5942,,,,,0.7367,,,,,0.0392,7.5801,,,,
2026-01-05,2787096930435.98,3.3362,,,,,0.7386,,,,,7.6137,,,,,0.7386,,,,,0.0391,7.5995,,,,
2025-12-31,2826301618715.77,3.3831,,,,,0.7490,,,,,7.7208,,,,,0.7490,,,,,0.0386,7.7064,,,,
2025-12-30,2797789118148.65,3.3490,,,,,0.7415,,,,,7.6429,,,,,0.7415,,,,,0.0390,7.6287,,,,
2025-12-29,2804917243290.43,3.3575,,,,,0.7433,,,,,7.6624,,,,,0.7433,,,,,0.0389,7.6481,,,,
2025-12-26,2783532867865.09,3.3319,,,,,0.7377,,,,,7.6040,,,,,0.7377,,,,,0.0392,7.5898,,,,
2025-12-25,2801353180719.54,3.3533,,,,,0.7424,,,,,7.6526,,,,,0.7424,,,,,0.0389,7.6384,,,,
2025-12-24,2819173493573.99,3.3746,,,,,0.7471,,,,,7.7013,,,,,0.7471,,,,,0.0387,7.6870,,,,
2025-12-23,2822737556144.88,3.3789,,,,,0.7481,,,,,7.7110,,,,,0.7481,,,,,0.0386,7.6967,,,,
2025-12-22,2812045368432.21,3.3661,,,,,0.7452,,,,,7.6818,,,,,0.7452,,,,,0.0388,7.6676,,,,
2025-12-19,2808481305861.32,3.3618,,,,,0.7443,,,,,7.6721,,,,,0.7443,,,,,0.0388,7.6578,,,,
2025-12-18,2847685994141.11,3.4087,,,,,0.7547,,,,,7.7792,,,,,0.7547,,,,,0.0383,7.7647,,,,
2025-12-17,2783532867865.09,3.3319,,,,,0.7377,,,,,7.6040,,,,,0.7377,,,,,0.0392,7.5898,,,,
2025-12-16,2776404742723.31,3.3234,,,,,0.7358,,,,,7.5845,,,,,0.7358,,,,,0.0393,7.5704,,,,
2025-12-15,2783532867865.09,3.3319,,,,,0.7377,,,,,7.6040,,,,,0.7377,,,,,0.0392,7.5898,,,,
2025-12-12,2840557868999.33,3.4002,,,,,0.7429,,,,,7.7597,,,,,0.7429,,,,,0.0384,7.7453,,,,
2025-12-11,2851250056712.0,3.4130,,,,,0.7457,,,,,7.7889,,,,,0.7457,,,,,0.0382,7.7745,,,,
2025-12-10,2829865681286.66,3.3874,,,,,0.7401,,,,,7.7305,,,,,0.7401,,,,,0.0385,7.7161,,,,
2025-12-09,2886890682420.9,3.4557,,,,,0.7550,,,,,7.8863,,,,,0.7550,,,,,0.0378,7.8716,,,,
2025-12-08,2847685994141.11,3.4087,,,,,0.7447,,,,,7.7792,,,,,0.7447,,,,,0.0383,7.7647,,,,
2025-12-05,2847685994141.11,3.4087,,,,,0.7447,,,,,7.7792,,,,,0.7447,,,,,0.0383,7.7647,,,,
2025-12-04,2869070369566.45,3.4343,,,,,0.7503,,,,,7.8376,,,,,0.7503,,,,,0.0380,7.8230,,,,
2025-12-03,2869070369566.45,3.4343,,,,,0.7503,,,,,7.8376,,,,,0.7503,,,,,0.0380,7.8230,,,,
2025-12-02,2883326619850.01,3.4514,,,,,0.7541,,,,,7.8766,,,,,0.7541,,,,,0.0378,7.8619,,,,
2025-12-01,2883326619850.01,3.4514,,,,,0.7541,,,,,7.8766,,,,,0.7541,,,,,0.0378,7.8619,,,,
2025-11-28,2890454744991.79,3.4599,,,,,0.7559,,,,,7.8960,,,,,0.7559,,,,,0.0377,7.8814,,,,
2025-11-27,2908275057846.24,3.4813,,,,,0.7606,,,,,7.9447,,,,,0.7606,,,,,0.0375,7.9299,,,,
2025-11-26,2908275057846.24,3.4813,,,,,0.7606,,,,,7.9447,,,,,0.7606,,,,,0.0375,7.9299,,,,
2025-11-25,2961735996409.5903,3.5453,,,,,0.7746,,,,,8.0908,,,,,0.7746,,,,,0.0368,8.0757,,,,
2025-11-24,2922531308129.8,3.4983,,,,,0.7643,,,,,7.9837,,,,,0.7643,,,,,0.0373,7.9688,,,,
2025-11-21,2940351620984.25,3.5197,,,,,0.7690,,,,,8.0323,,,,,0.7690,,,,,0.0371,8.0174,,,,
2025-11-20,2947479746126.03,3.5282,,,,,0.7708,,,,,8.0518,,,,,0.7708,,,,,0.0370,8.0368,,,,
2025-11-19,2933223495842.47,3.5111,,,,,0.7671,,,,,8.0129,,,,,0.7671,,,,,0.0372,7.9980,,,,
2025-11-18,2922531308129.8,3.4983,,,,,0.7643,,,,,7.9837,,,,,0.7643,,,,,0.0373,7.9688,,,,
2025-11-17,2911839120417.13,3.4855,,,,,0.7615,,,,,7.9545,,,,,0.7615,,,,,0.0375,7.9397,,,,
2025-11-14,2940351620984.25,3.5197,,,,,0.7690,,,,,8.0323,,,,,0.7690,,,,,0.0371,8.0174,,,,
2025-11-13,2926095370700.6904,3.5026,,,,,0.7652,,,,,7.9934,,,,,0.7652,,,,,0.0373,7.9785,,,,
2025-11-12,2918967245558.9097,3.4941,,,,,0.7634,,,,,7.9739,,,,,0.7634,,,,,0.0374,7.9591,,,,
2025-11-11,2908275057846.24,3.4813,,,,,0.7606,,,,,7.9447,,,,,0.7606,,,,,0.0375,7.9299,,,,
2025-11-10,2894018807562.6797,3.4642,,,,,0.7568,,,,,7.9058,,,,,0.7568,,,,,0.0377,7.8911,,,,
