date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,2509100049906.56,0.6463,,,,,6.7621,,,,,6.7568,,,,,0.6463,,,,,0.0441,2.9317,,,,
2026-07-02,2512664112477.4497,0.6472,,,,,6.7717,,,,,6.7664,,,,,0.6472,,,,,0.0440,2.9358,,,,
2026-07-01,2516228175048.34,0.6481,,,,,6.7813,,,,,6.7759,,,,,0.6481,,,,,0.0440,2.9400,,,,
2026-06-30,2519792237619.23,0.6490,,,,,6.7909,,,,,6.7855,,,,,0.6490,,,,,0.0439,2.9441,,,,
2026-06-29,2573253176182.58,0.6628,,,,,6.9350,,,,,6.9295,,,,,0.6628,,,,,0.0430,3.0066,,,,
2026-06-26,2548304738186.35,0.6564,,,,,6.8678,,,,,6.8623,,,,,0.6564,,,,,0.0434,2.9775,,,,
2026-06-25,2562560988469.91,0.6600,,,,,6.9062,,,,,6.9007,,,,,0.6600,,,,,0.0432,2.9941,,,,
2026-06-24,2573253176182.58,0.6628,,,,,6.9350,,,,,6.9295,,,,,0.6628,,,,,0.0430,3.0066,,,,
2026-06-23,2630278177316.82,0.6775,,,,,7.0887,,,,,7.0831,,,,,0.6775,,,,,0.0420,3.0732,,,,
2026-06-22,2566125051040.8003,0.6609,,,,,6.9158,,,,,6.9103,,,,,0.6609,,,,,0.0431,2.9983,,,,
2026-06-18,2551868800757.24,0.6573,,,,,6.8774,,,,,6.8719,,,,,0.6573,,,,,0.0433,2.9816,,,,
2026-06-17,2623150052175.04,0.6756,,,,,7.0695,,,,,7.0639,,,,,0.6756,,,,,0.0422,3.0649,,,,
2026-06-16,2644534427600.38,0.6811,,,,,7.1271,,,,,7.1215,,,,,0.6811,,,,,0.0418,3.0899,,,,
2026-06-15,2697995366163.73,0.6949,,,,,7.2712,,,,,7.2654,,,,,0.6949,,,,,0.0410,3.1524,,,,
2026-06-12,2772840680152.42,0.7142,,,,,7.4729,,,,,7.4670,,,,,0.7142,,,,,0.0399,3.2398,,,,
2026-06-11,2730071929301.74,0.7032,,,,,7.3576,,,,,7.3518,,,,,0.7032,,,,,0.0405,3.1898,,,,
2026-06-10,2740764117014.41,0.7059,,,,,7.3864,,,,,7.3806,,,,,0.7059,,,,,0.0404,3.2023,,,,
2026-06-09,2687303178451.06,0.6922,,,,,7.2424,,,,,7.2366,,,,,0.6922,,,,,0.0412,3.1399,,,,
2026-06-08,2673046928167.5,0.6885,,,,,7.2039,,,,,7.1982,,,,,0.6885,,,,,0.0414,3.1232,,,,
