日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=6.1200,=6.1200,=6.1200,=6.1200,=83106793980.0,=70399862460.0,=27827204929.2,,=5.4547,,,,
2026-07-02,=6.0800,=6.0800,=6.0800,=6.0800,=82563612320.0,=69939732640.0,=27645327772.8,,=5.4190,,,,
2026-07-01,=6.0500,=6.0500,=6.0500,=6.0500,=82156226075.0,=69594635275.0,=27508919905.5,,=5.3923,,,,
2026-06-30,=5.9500,=5.9500,=5.9500,=5.9500,=80798271925.0,=68444310725.0,=27054227014.5,,=5.3031,,,,
2026-06-29,=6.0400,=6.0400,=6.0400,=6.0400,=82020430660.0,=69479602820.0,=27463450616.4,,=5.3834,,,,
2026-06-26,=6.0200,=6.0200,=6.0200,=6.0200,=81748839830.0,=69249537910.0,=27372512038.2,,=5.3655,,,,
2026-06-25,=6.1400,=6.1400,=6.1400,=6.1400,=83378384810.0,=70629927370.0,=27918143507.4,,=5.4725,,,,
2026-06-24,=6.2300,=6.2300,=6.2300,=6.2300,=84600543545.0,=71665219465.0,=28327367109.3,,=5.5527,,,,
2026-06-23,=6.3000,=6.3000,=6.3000,=6.3000,=85551111450.0,=72470446650.0,=28645652133.0,,=5.6151,,,,
2026-06-22,=6.3600,=6.3600,=6.3600,=6.3600,=86365883940.0,=73160641380.0,=28918467867.6,,=5.6686,,,,
2026-06-18,=6.3000,=6.3000,=6.3000,=6.3000,=85551111450.0,=72470446650.0,=28645652133.0,,=5.6151,,,,
2026-06-17,=6.4800,=6.4800,=6.4800,=6.4800,=87995428920.0,=74541030840.0,=29464099336.8,,=5.7755,,,,
2026-06-16,=6.3300,=6.3300,=6.3300,=6.3300,=85958497695.0,=72815544015.0,=28782060000.3,,=5.6418,,,,
2026-06-15,=6.4200,=6.4200,=6.4200,=6.4200,=87180656430.0,=73850836110.0,=29191283602.2,,=5.7221,,,,
2026-06-12,=6.4100,=6.4100,=6.4100,=6.4100,=87044861015.0,=73735803655.0,=29145814313.1,,=5.7131,,,,
2026-06-11,=6.3100,=6.3100,=6.3100,=6.3100,=85686906865.0,=72585479105.0,=28691121422.1,,=5.6240,,,,
2026-06-10,=6.3200,=6.3200,=6.3200,=6.3200,=85822702280.0,=72700511560.0,=28736590711.2,,=5.6329,,,,
2026-06-09,=6.2700,=6.2700,=6.2700,=6.2700,=85143725205.0,=72125349285.0,=28509244265.7,,=5.5884,,,,
2026-06-08,=6.2500,=6.2500,=6.2500,=6.2500,=84872134375.0,=71895284375.0,=28418305687.5,,=5.5705,,,,
2026-06-05,=6.3600,=6.3600,=6.3600,=6.3600,=86365883940.0,=73160641380.0,=28918467867.6,,=5.6686,,,,
2026-06-04,=6.3100,=6.3100,=6.3100,=6.3100,=85686906865.0,=72585479105.0,=28691121422.1,,=5.6240,,,,
2026-06-03,=6.3900,=6.3900,=6.3900,=6.3900,=86773270185.0,=73505738745.0,=29054875734.9,,=5.6953,,,,
2026-06-02,=6.4400,=6.4400,=6.4400,=6.4400,=87452247260.0,=74080901020.0,=29282222180.4,,=5.7399,,,,
2026-06-01,=6.4900,=6.4900,=6.4900,=6.4900,=88131224335.0,=74656063295.0,=29509568625.9,,=5.7844,,,,
2026-05-29,=6.4000,=6.4000,=6.4000,=6.4000,=86909065600.0,=73620771200.0,=29100345024.0,,=5.7042,,,,
2026-05-28,=6.2300,=6.2300,=6.2300,=6.2300,=84600543545.0,=71665219465.0,=28327367109.3,,=5.5527,,,,
2026-05-27,=6.2600,=6.2600,=6.2600,=6.2600,=85007929790.0,=72010316830.0,=28463774976.6,,=5.5794,,,,
2026-05-26,=6.3400,=6.3400,=6.3400,=6.3400,=86094293110.0,=72930576470.0,=28827529289.4,,=5.6508,,,,
2026-05-25,=6.3500,=6.3500,=6.3500,=6.3500,=86230088525.0,=73045608925.0,=28872998578.5,,=5.6597,,,,
2026-05-22,=6.3700,=6.3700,=6.3700,=6.3700,=86501679355.0,=73275673835.0,=28963937156.7,,=5.6775,,,,
2026-05-21,=6.4200,=6.4200,=6.4200,=6.4200,=87180656430.0,=73850836110.0,=29191283602.2,,=5.7221,,,,
2026-05-20,=6.4900,=6.4900,=6.4900,=6.4900,=88131224335.0,=74656063295.0,=29509568625.9,,=5.7844,,,,
2026-05-19,=6.5900,=6.5900,=6.5900,=6.5900,=89489178485.0,=75806387845.0,=29964261516.9,,=5.8736,,,,
