代码,名称,股价,PE,PB,PS,股息率(%),ROE(%),ROA(%)
601398,工商银行,5.28,5.20,0.68,1.20,4.20,13.20,1.10
601988,中国银行,3.45,4.80,0.55,0.95,5.20,12.50,0.90
601328,交通银行,6.28,6.20,0.72,1.10,4.50,11.80,0.85
