日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2026-07-03,=61.1600,=61.1600,=61.1600,=61.1600,=132918840544.6,=129199606819.0,=83481060446.52,,=0.0076
2026-07-02,=61.2700,=61.2700,=61.2700,=61.2700,=133157903207.45,=129431980213.0,=83631206238.69,,=0.0076
2026-07-01,=63.2500,=63.2500,=63.2500,=63.2500,=137461031138.75,=133614701297.0,=86333830497.75,,=0.0073
2026-06-30,=65.0300,=65.0300,=65.0300,=65.0300,=141329499683.05,=137374925302.0,=88763462407.41,,=0.0071
2026-06-29,=64.6000,=64.6000,=64.6000,=64.6000,=140394982001.0,=136466556582.0,=88176528856.2,,=0.0072
2026-06-26,=62.2100,=62.2100,=62.2100,=62.2100,=135200802326.35,=131417716485.0,=84914270280.87,,=0.0075
2026-06-25,=66.8100,=66.8100,=66.8100,=66.8100,=145197968227.35,=141135149307.0,=91193094317.07,,=0.0069
2026-06-24,=67.4500,=67.4500,=67.4500,=67.4500,=146588878265.75,=142487139960.0,=92066669835.15,,=0.0069
2026-06-23,=67.2800,=67.2800,=67.2800,=67.2800,=146219417786.8,=142128017443.0,=91834626338.16,,=0.0069
2026-06-22,=70.2300,=70.2300,=70.2300,=70.2300,=152630643745.05,=148359849361.0,=95861263491.81,,=0.0066
2026-06-18,=66.6600,=66.6600,=66.6600,=66.6600,=144871973687.1,=140818276497.0,=90988350055.02,,=0.0070
2026-06-17,=67.5400,=67.5400,=67.5400,=67.5400,=146784474989.9,=142677263646.0,=92189516392.38,,=0.0069
2026-06-16,=66.8800,=66.8800,=66.8800,=66.8800,=145350099012.8,=141283023284.0,=91288641639.36,,=0.0069
2026-06-15,=58.7700,=58.7700,=58.7700,=58.7700,=127724660869.95,=124150766723.0,=80218801871.19,,=0.0079
2026-06-12,=57.6700,=57.6700,=57.6700,=57.6700,=125334034241.45,=121827032787.0,=78717343949.49,,=0.0080
2026-06-11,=55.1000,=55.1000,=55.1000,=55.1000,=119748661118.5,=116397945320.0,=75209392259.7,,=0.0084
2026-06-10,=55.3600,=55.3600,=55.3600,=55.3600,=120313718321.6,=116947191523.0,=75564282313.92,,=0.0084
2026-06-09,=56.8600,=56.8600,=56.8600,=56.8600,=123573663724.1,=120115919617.0,=77611724934.42,,=0.0082
2026-06-08,=54.3300,=54.3300,=54.3300,=54.3300,=118075222478.55,=114771331565.0,=74158371714.51,,=0.0085
2026-06-05,=58.2300,=58.2300,=58.2300,=58.2300,=126551080525.05,=123010024609.0,=79481722527.81,,=0.0080
